[0][PRUNE] Pm=100.000% | fc1.w 3920000/3920000 (100.00%) | fc1.b 5000/5000 (100.00%) | fc2.w 50000/50000 (100.00%) | fc2.b 10/10 (100.00%) | val_loss: 0.1572641357421875 | val_acc: 0.9555
[1][PRUNE] Pm=96.005% | fc1.w 3763200/3920000 (96.00%) | fc1.b 5000/5000 (100.00%) | fc2.w 48000/50000 (96.00%) | fc2.b 10/10 (100.00%) | val_loss: 0.15514711806178094 | val_acc: 0.9562
[2][PRUNE] Pm=92.170% | fc1.w 3612672/3920000 (92.16%) | fc1.b 5000/5000 (100.00%) | fc2.w 46080/50000 (92.16%) | fc2.b 10/10 (100.00%) | val_loss: 0.15330992999076842 | val_acc: 0.9568
[3][PRUNE] Pm=88.488% | fc1.w 3468166/3920000 (88.47%) | fc1.b 5000/5000 (100.00%) | fc2.w 44237/50000 (88.47%) | fc2.b 10/10 (100.00%) | val_loss: 0.15182794213593007 | val_acc: 0.9567
[4][PRUNE] Pm=84.954% | fc1.w 3329440/3920000 (84.93%) | fc1.b 5000/5000 (100.00%) | fc2.w 42468/50000 (84.94%) | fc2.b 10/10 (100.00%) | val_loss: 0.15040572207272052 | val_acc: 0.957
[5][PRUNE] Pm=81.561% | fc1.w 3196263/3920000 (81.54%) | fc1.b 5000/5000 (100.00%) | fc2.w 40770/50000 (81.54%) | fc2.b 10/10 (100.00%) | val_loss: 0.14919519347846508 | val_acc: 0.9575
[6][PRUNE] Pm=78.303% | fc1.w 3068413/3920000 (78.28%) | fc1.b 5000/5000 (100.00%) | fc2.w 39140/50000 (78.28%) | fc2.b 10/10 (100.00%) | val_loss: 0.14824224051237106 | val_acc: 0.9577
[7][PRUNE] Pm=75.176% | fc1.w 2945677/3920000 (75.14%) | fc1.b 5000/5000 (100.00%) | fc2.w 37575/50000 (75.15%) | fc2.b 10/10 (100.00%) | val_loss: 0.14717747810184956 | val_acc: 0.9581
[8][PRUNE] Pm=72.174% | fc1.w 2827850/3920000 (72.14%) | fc1.b 5000/5000 (100.00%) | fc2.w 36072/50000 (72.14%) | fc2.b 10/10 (100.00%) | val_loss: 0.1464308005362749 | val_acc: 0.9583
[9][PRUNE] Pm=69.292% | fc1.w 2714736/3920000 (69.25%) | fc1.b 5000/5000 (100.00%) | fc2.w 34630/50000 (69.26%) | fc2.b 10/10 (100.00%) | val_loss: 0.1456261610418558 | val_acc: 0.9588
[10][PRUNE] Pm=66.526% | fc1.w 2606147/3920000 (66.48%) | fc1.b 5000/5000 (100.00%) | fc2.w 33245/50000 (66.49%) | fc2.b 10/10 (100.00%) | val_loss: 0.14517567402124404 | val_acc: 0.9588
[11][PRUNE] Pm=63.870% | fc1.w 2501902/3920000 (63.82%) | fc1.b 5000/5000 (100.00%) | fc2.w 31916/50000 (63.83%) | fc2.b 10/10 (100.00%) | val_loss: 0.14482246589064598 | val_acc: 0.9588
[12][PRUNE] Pm=61.320% | fc1.w 2401826/3920000 (61.27%) | fc1.b 5000/5000 (100.00%) | fc2.w 30640/50000 (61.28%) | fc2.b 10/10 (100.00%) | val_loss: 0.14447925719618798 | val_acc: 0.9591
