dataset=mnist | hidden=300 | batch_size=256 | epochs=30 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=test_mlp.txt | cpu=None | model_name=MLP | use_cache=False | calkowity_oczekiwany_stopien_kompresji=90.0 | rozmiar_kroku=10.0
1 | PRUN | fc1.w 235200/235200 (100.00%) | fc1.b 300/300 (100.00%) | fc2.w 3000/3000 (100.00%) | fc2.b 10/10 (100.00%) | val_loss: 0.2152328 | val_acc: 0.9381000
2 | PRUN | fc1.w 211680/235200 (90.00%) | fc1.b 300/300 (100.00%) | fc2.w 2700/3000 (90.00%) | fc2.b 10/10 (100.00%) | val_loss: 0.2070374 | val_acc: 0.9406000
3 | PRUN | fc1.w 190512/235200 (81.00%) | fc1.b 300/300 (100.00%) | fc2.w 2430/3000 (81.00%) | fc2.b 10/10 (100.00%) | val_loss: 0.1988179 | val_acc: 0.9436000
4 | PRUN | fc1.w 171461/235200 (72.90%) | fc1.b 300/300 (100.00%) | fc2.w 2187/3000 (72.90%) | fc2.b 10/10 (100.00%) | val_loss: 0.1940503 | val_acc: 0.9445000
5 | PRUN | fc1.w 154315/235200 (65.61%) | fc1.b 300/300 (100.00%) | fc2.w 1969/3000 (65.63%) | fc2.b 10/10 (100.00%) | val_loss: 0.1908925 | val_acc: 0.9455000
6 | PRUN | fc1.w 138884/235200 (59.05%) | fc1.b 300/300 (100.00%) | fc2.w 1773/3000 (59.10%) | fc2.b 10/10 (100.00%) | val_loss: 0.1890001 | val_acc: 0.9453000
7 | PRUN | fc1.w 124996/235200 (53.14%) | fc1.b 300/300 (100.00%) | fc2.w 1596/3000 (53.20%) | fc2.b 10/10 (100.00%) | val_loss: 0.1875367 | val_acc: 0.9465000
8 | PRUN | fc1.w 112497/235200 (47.83%) | fc1.b 300/300 (100.00%) | fc2.w 1437/3000 (47.90%) | fc2.b 10/10 (100.00%) | val_loss: 0.1878943 | val_acc: 0.9462000
9 | PRUN | fc1.w 101248/235200 (43.05%) | fc1.b 300/300 (100.00%) | fc2.w 1294/3000 (43.13%) | fc2.b 10/10 (100.00%) | val_loss: 0.1882311 | val_acc: 0.9463000
10 | PRUN | fc1.w 91124/235200 (38.74%) | fc1.b 300/300 (100.00%) | fc2.w 1165/3000 (38.83%) | fc2.b 10/10 (100.00%) | val_loss: 0.1892723 | val_acc: 0.9457000
11 | PRUN | fc1.w 82012/235200 (34.87%) | fc1.b 300/300 (100.00%) | fc2.w 1049/3000 (34.97%) | fc2.b 10/10 (100.00%) | val_loss: 0.1910221 | val_acc: 0.9459000
12 | PRUN | fc1.w 73811/235200 (31.38%) | fc1.b 300/300 (100.00%) | fc2.w 945/3000 (31.50%) | fc2.b 10/10 (100.00%) | val_loss: 0.1932937 | val_acc: 0.9455000
13 | PRUN | fc1.w 66430/235200 (28.24%) | fc1.b 300/300 (100.00%) | fc2.w 851/3000 (28.37%) | fc2.b 10/10 (100.00%) | val_loss: 0.1949548 | val_acc: 0.9449000
14 | PRUN | fc1.w 59787/235200 (25.42%) | fc1.b 300/300 (100.00%) | fc2.w 766/3000 (25.53%) | fc2.b 10/10 (100.00%) | val_loss: 0.1979289 | val_acc: 0.9444000
15 | PRUN | fc1.w 53809/235200 (22.88%) | fc1.b 300/300 (100.00%) | fc2.w 690/3000 (23.00%) | fc2.b 10/10 (100.00%) | val_loss: 0.2014518 | val_acc: 0.9436000
16 | PRUN | fc1.w 48429/235200 (20.59%) | fc1.b 300/300 (100.00%) | fc2.w 621/3000 (20.70%) | fc2.b 10/10 (100.00%) | val_loss: 0.2058634 | val_acc: 0.9424000
17 | PRUN | fc1.w 43587/235200 (18.53%) | fc1.b 300/300 (100.00%) | fc2.w 559/3000 (18.63%) | fc2.b 10/10 (100.00%) | val_loss: 0.2093883 | val_acc: 0.9407000
18 | PRUN | fc1.w 39229/235200 (16.68%) | fc1.b 300/300 (100.00%) | fc2.w 504/3000 (16.80%) | fc2.b 10/10 (100.00%) | val_loss: 0.2136957 | val_acc: 0.9396000
19 | PRUN | fc1.w 35307/235200 (15.01%) | fc1.b 300/300 (100.00%) | fc2.w 454/3000 (15.13%) | fc2.b 10/10 (100.00%) | val_loss: 0.2176839 | val_acc: 0.9383000
20 | PRUN | fc1.w 31777/235200 (13.51%) | fc1.b 300/300 (100.00%) | fc2.w 409/3000 (13.63%) | fc2.b 10/10 (100.00%) | val_loss: 0.2234800 | val_acc: 0.9353000
21 | PRUN | fc1.w 28600/235200 (12.16%) | fc1.b 300/300 (100.00%) | fc2.w 369/3000 (12.30%) | fc2.b 10/10 (100.00%) | val_loss: 0.2281520 | val_acc: 0.9339000
22 | PRUN | fc1.w 25740/235200 (10.94%) | fc1.b 300/300 (100.00%) | fc2.w 333/3000 (11.10%) | fc2.b 10/10 (100.00%) | val_loss: 0.2330207 | val_acc: 0.9327000
23 | PRUN | fc1.w 23166/235200 (9.85%) | fc1.b 300/300 (100.00%) | fc2.w 300/3000 (10.00%) | fc2.b 10/10 (100.00%) | val_loss: 0.2358412 | val_acc: 0.9315000
