Using device: cuda, type: cuda
Model: MLP(hidden=300, num_classes=10)
dataset=mnist | hidden=300 | batch_size=256 | epochs=100 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=test_mlp.txt | cpu=None | model_name=MLP | use_cache=False
[Epoch 01] train_loss=1.279878 | train_acc=75.441667% | train_correct=45265 | train_total=60000 | val_loss=0.7177179 | val_acc=85.6400000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.593306 | train_acc=86.383333% | train_correct=51830 | train_total=60000 | val_loss=0.4825449 | val_acc=88.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.457757 | train_acc=88.178333% | train_correct=52907 | train_total=60000 | val_loss=0.4061281 | val_acc=89.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.403035 | train_acc=89.085000% | train_correct=53451 | train_total=60000 | val_loss=0.3677568 | val_acc=90.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.372349 | train_acc=89.640000% | train_correct=53784 | train_total=60000 | val_loss=0.3444034 | val_acc=90.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.351507 | train_acc=90.061667% | train_correct=54037 | train_total=60000 | val_loss=0.3273137 | val_acc=90.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.335877 | train_acc=90.436667% | train_correct=54262 | train_total=60000 | val_loss=0.3153068 | val_acc=91.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.323339 | train_acc=90.775000% | train_correct=54465 | train_total=60000 | val_loss=0.3059566 | val_acc=91.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.312670 | train_acc=91.045000% | train_correct=54627 | train_total=60000 | val_loss=0.2965094 | val_acc=91.7300000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.303658 | train_acc=91.326667% | train_correct=54796 | train_total=60000 | val_loss=0.2882884 | val_acc=91.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.295143 | train_acc=91.555000% | train_correct=54933 | train_total=60000 | val_loss=0.2820471 | val_acc=92.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.287620 | train_acc=91.805000% | train_correct=55083 | train_total=60000 | val_loss=0.2746112 | val_acc=92.3000000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.280830 | train_acc=92.003333% | train_correct=55202 | train_total=60000 | val_loss=0.2691175 | val_acc=92.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.273889 | train_acc=92.166667% | train_correct=55300 | train_total=60000 | val_loss=0.2635492 | val_acc=92.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.267744 | train_acc=92.338333% | train_correct=55403 | train_total=60000 | val_loss=0.2593645 | val_acc=92.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.262018 | train_acc=92.541667% | train_correct=55525 | train_total=60000 | val_loss=0.2533243 | val_acc=92.8500000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.255852 | train_acc=92.738333% | train_correct=55643 | train_total=60000 | val_loss=0.2484279 | val_acc=92.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.250532 | train_acc=92.898333% | train_correct=55739 | train_total=60000 | val_loss=0.2418996 | val_acc=93.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.244830 | train_acc=93.125000% | train_correct=55875 | train_total=60000 | val_loss=0.2385015 | val_acc=93.2100000% | interpolacja=False | soft_intepolacja=False
