Using device: cuda, type: cuda
Model: Net(num_classes=47)
dataset=emnist_balanced | ch1=16 | ch2=32 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_emnist_balanced_hidden_16.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=2.289614 | train_acc=44.281028% | train_correct=49949 | train_total=112800 | val_loss=1.3584934 | val_acc=61.4734043% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.240652 | train_acc=64.751773% | train_correct=73040 | train_total=112800 | val_loss=1.1805044 | val_acc=66.4148936% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.067718 | train_acc=69.202128% | train_correct=78060 | train_total=112800 | val_loss=0.9959277 | val_acc=71.9202128% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.899508 | train_acc=73.733156% | train_correct=83171 | train_total=112800 | val_loss=0.8556735 | val_acc=74.8404255% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.764210 | train_acc=77.176418% | train_correct=87055 | train_total=112800 | val_loss=0.7665589 | val_acc=76.8670213% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.676057 | train_acc=79.476064% | train_correct=89649 | train_total=112800 | val_loss=0.6734470 | val_acc=79.5425532% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.623562 | train_acc=80.795213% | train_correct=91137 | train_total=112800 | val_loss=0.6386418 | val_acc=80.5106383% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.581483 | train_acc=81.873227% | train_correct=92353 | train_total=112800 | val_loss=0.6136319 | val_acc=81.3563830% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.554998 | train_acc=82.536348% | train_correct=93101 | train_total=112800 | val_loss=0.5961498 | val_acc=81.5957447% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.535110 | train_acc=83.100177% | train_correct=93737 | train_total=112800 | val_loss=0.5881260 | val_acc=81.3829787% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.514299 | train_acc=83.642730% | train_correct=94349 | train_total=112800 | val_loss=0.5604252 | val_acc=82.4361702% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.498833 | train_acc=84.090426% | train_correct=94854 | train_total=112800 | val_loss=0.5563270 | val_acc=82.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.489703 | train_acc=84.201241% | train_correct=94979 | train_total=112800 | val_loss=0.5397234 | val_acc=83.3138298% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.480605 | train_acc=84.415780% | train_correct=95221 | train_total=112800 | val_loss=0.5457813 | val_acc=82.9255319% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.469288 | train_acc=84.879433% | train_correct=95744 | train_total=112800 | val_loss=0.5393827 | val_acc=82.8776596% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.461899 | train_acc=84.932624% | train_correct=95804 | train_total=112800 | val_loss=0.5336522 | val_acc=83.3670213% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.455063 | train_acc=85.180851% | train_correct=96084 | train_total=112800 | val_loss=0.5178344 | val_acc=83.6170213% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.448689 | train_acc=85.247340% | train_correct=96159 | train_total=112800 | val_loss=0.5211060 | val_acc=83.7393617% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.441916 | train_acc=85.561170% | train_correct=96513 | train_total=112800 | val_loss=0.5238495 | val_acc=83.5797872% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.436914 | train_acc=85.597518% | train_correct=96554 | train_total=112800 | val_loss=0.5097517 | val_acc=84.0585106% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.432858 | train_acc=85.785461% | train_correct=96766 | train_total=112800 | val_loss=0.5144441 | val_acc=84.0212766% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.427034 | train_acc=85.960993% | train_correct=96964 | train_total=112800 | val_loss=0.5100319 | val_acc=83.7978723% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.420072 | train_acc=86.174645% | train_correct=97205 | train_total=112800 | val_loss=0.5056364 | val_acc=84.1968085% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.416514 | train_acc=86.257979% | train_correct=97299 | train_total=112800 | val_loss=0.5081930 | val_acc=83.7021277% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.414047 | train_acc=86.243794% | train_correct=97283 | train_total=112800 | val_loss=0.5077197 | val_acc=83.4734043% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.409039 | train_acc=86.448582% | train_correct=97514 | train_total=112800 | val_loss=0.5026097 | val_acc=84.0904255% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.405667 | train_acc=86.505319% | train_correct=97578 | train_total=112800 | val_loss=0.4982713 | val_acc=84.3776596% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.402846 | train_acc=86.612589% | train_correct=97699 | train_total=112800 | val_loss=0.4929318 | val_acc=84.4627660% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.397684 | train_acc=86.716312% | train_correct=97816 | train_total=112800 | val_loss=0.5046782 | val_acc=83.8404255% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.393271 | train_acc=86.842199% | train_correct=97958 | train_total=112800 | val_loss=0.4985577 | val_acc=84.2287234% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.391888 | train_acc=86.950355% | train_correct=98080 | train_total=112800 | val_loss=0.4986111 | val_acc=84.0159574% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.389289 | train_acc=87.004433% | train_correct=98141 | train_total=112800 | val_loss=0.4956349 | val_acc=84.2659574% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.383680 | train_acc=87.139184% | train_correct=98293 | train_total=112800 | val_loss=0.4894206 | val_acc=84.6968085% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.381770 | train_acc=87.183511% | train_correct=98343 | train_total=112800 | val_loss=0.4933748 | val_acc=84.5425532% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.379748 | train_acc=87.265957% | train_correct=98436 | train_total=112800 | val_loss=0.4952267 | val_acc=84.2393617% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.376464 | train_acc=87.370567% | train_correct=98554 | train_total=112800 | val_loss=0.4888699 | val_acc=84.3563830% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.373870 | train_acc=87.440603% | train_correct=98633 | train_total=112800 | val_loss=0.4992695 | val_acc=83.8723404% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.372213 | train_acc=87.500887% | train_correct=98701 | train_total=112800 | val_loss=0.4943609 | val_acc=84.3138298% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.369113 | train_acc=87.578014% | train_correct=98788 | train_total=112800 | val_loss=0.5006932 | val_acc=84.5797872% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.368304 | train_acc=87.578901% | train_correct=98789 | train_total=112800 | val_loss=0.4897794 | val_acc=84.6170213% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.363784 | train_acc=87.745567% | train_correct=98977 | train_total=112800 | val_loss=0.4842202 | val_acc=84.9414894% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.360477 | train_acc=87.779255% | train_correct=99015 | train_total=112800 | val_loss=0.4822199 | val_acc=84.8138298% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.357048 | train_acc=87.969858% | train_correct=99230 | train_total=112800 | val_loss=0.4862441 | val_acc=84.8138298% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.354861 | train_acc=88.085993% | train_correct=99361 | train_total=112800 | val_loss=0.5010154 | val_acc=84.7234043% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.354819 | train_acc=88.046099% | train_correct=99316 | train_total=112800 | val_loss=0.4869607 | val_acc=84.5265957% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.351792 | train_acc=88.113475% | train_correct=99392 | train_total=112800 | val_loss=0.4990586 | val_acc=84.1436170% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.350497 | train_acc=88.110816% | train_correct=99389 | train_total=112800 | val_loss=0.4892635 | val_acc=84.2180851% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.346912 | train_acc=88.298759% | train_correct=99601 | train_total=112800 | val_loss=0.4864873 | val_acc=84.9361702% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.343103 | train_acc=88.437943% | train_correct=99758 | train_total=112800 | val_loss=0.4982997 | val_acc=84.5851064% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.344175 | train_acc=88.345745% | train_correct=99654 | train_total=112800 | val_loss=0.5029760 | val_acc=84.1010638% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.341540 | train_acc=88.401596% | train_correct=99717 | train_total=112800 | val_loss=0.4930063 | val_acc=84.5638298% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.340197 | train_acc=88.492021% | train_correct=99819 | train_total=112800 | val_loss=0.4907432 | val_acc=84.6117021% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.335335 | train_acc=88.646277% | train_correct=99993 | train_total=112800 | val_loss=0.4845505 | val_acc=84.8670213% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.334641 | train_acc=88.614362% | train_correct=99957 | train_total=112800 | val_loss=0.5058011 | val_acc=84.4627660% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.332853 | train_acc=88.711879% | train_correct=100067 | train_total=112800 | val_loss=0.4810209 | val_acc=84.9148936% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.329059 | train_acc=88.819149% | train_correct=100188 | train_total=112800 | val_loss=0.4899459 | val_acc=84.4308511% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.330319 | train_acc=88.836879% | train_correct=100208 | train_total=112800 | val_loss=0.4901668 | val_acc=84.2127660% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.325706 | train_acc=88.891844% | train_correct=100270 | train_total=112800 | val_loss=0.4920724 | val_acc=84.4893617% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.326012 | train_acc=88.882092% | train_correct=100259 | train_total=112800 | val_loss=0.5045205 | val_acc=84.6914894% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.323130 | train_acc=88.929965% | train_correct=100313 | train_total=112800 | val_loss=0.4881342 | val_acc=84.8085106% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.320173 | train_acc=89.076241% | train_correct=100478 | train_total=112800 | val_loss=0.4892464 | val_acc=84.8404255% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.318663 | train_acc=89.142730% | train_correct=100553 | train_total=112800 | val_loss=0.4865113 | val_acc=84.9255319% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.314959 | train_acc=89.230496% | train_correct=100652 | train_total=112800 | val_loss=0.4990891 | val_acc=84.3776596% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.316147 | train_acc=89.225177% | train_correct=100646 | train_total=112800 | val_loss=0.4870969 | val_acc=84.7872340% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.313877 | train_acc=89.237589% | train_correct=100660 | train_total=112800 | val_loss=0.5057623 | val_acc=84.1010638% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.308886 | train_acc=89.379433% | train_correct=100820 | train_total=112800 | val_loss=0.5059680 | val_acc=84.1010638% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.310217 | train_acc=89.396277% | train_correct=100839 | train_total=112800 | val_loss=0.4901348 | val_acc=84.5851064% | interpolacja=False | soft_intepolacja=False
[Epoch 68] train_loss=0.308497 | train_acc=89.358156% | train_correct=100796 | train_total=112800 | val_loss=0.4853525 | val_acc=84.8085106% | interpolacja=False | soft_intepolacja=False
[Epoch 69] train_loss=0.303166 | train_acc=89.570035% | train_correct=101035 | train_total=112800 | val_loss=0.4849461 | val_acc=85.0372340% | interpolacja=False | soft_intepolacja=False
[Epoch 70] train_loss=0.302497 | train_acc=89.652482% | train_correct=101128 | train_total=112800 | val_loss=0.4973397 | val_acc=84.5372340% | interpolacja=False | soft_intepolacja=False
[Epoch 71] train_loss=0.300879 | train_acc=89.658688% | train_correct=101135 | train_total=112800 | val_loss=0.5149314 | val_acc=83.8404255% | interpolacja=False | soft_intepolacja=False
[Epoch 72] train_loss=0.299079 | train_acc=89.656028% | train_correct=101132 | train_total=112800 | val_loss=0.4950071 | val_acc=84.6861702% | interpolacja=False | soft_intepolacja=False
[Epoch 73] train_loss=0.299430 | train_acc=89.773050% | train_correct=101264 | train_total=112800 | val_loss=0.4956744 | val_acc=84.0638298% | interpolacja=False | soft_intepolacja=False
