Using device: cuda, type: cuda
Model: Net(num_classes=62)
dataset=emnist_byclass | ch1=4 | ch2=8 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_emnist_byclass_hidden_4.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=1.335532 | train_acc=63.969269% | train_correct=446462 | train_total=697932 | val_loss=0.9623149 | val_acc=72.0390636% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.822223 | train_acc=75.476264% | train_correct=526773 | train_total=697932 | val_loss=0.7265455 | val_acc=77.4937029% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.659893 | train_acc=79.356442% | train_correct=553854 | train_total=697932 | val_loss=0.6113909 | val_acc=80.7948557% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.589582 | train_acc=81.008322% | train_correct=565383 | train_total=697932 | val_loss=0.5665835 | val_acc=81.7594113% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.554967 | train_acc=81.879323% | train_correct=571462 | train_total=697932 | val_loss=0.5483963 | val_acc=81.8118515% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.533974 | train_acc=82.391121% | train_correct=575034 | train_total=697932 | val_loss=0.5312610 | val_acc=82.6577719% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.519949 | train_acc=82.706052% | train_correct=577232 | train_total=697932 | val_loss=0.5367062 | val_acc=82.3414114% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.508530 | train_acc=82.988457% | train_correct=579203 | train_total=697932 | val_loss=0.5097643 | val_acc=83.0661176% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.500001 | train_acc=83.226016% | train_correct=580861 | train_total=697932 | val_loss=0.5023270 | val_acc=83.2122624% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.493030 | train_acc=83.408412% | train_correct=582134 | train_total=697932 | val_loss=0.5122609 | val_acc=82.7523362% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.487148 | train_acc=83.561866% | train_correct=583205 | train_total=697932 | val_loss=0.4938917 | val_acc=83.1692786% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.481435 | train_acc=83.717898% | train_correct=584294 | train_total=697932 | val_loss=0.4911840 | val_acc=83.5243245% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.476202 | train_acc=83.840976% | train_correct=585153 | train_total=697932 | val_loss=0.4886069 | val_acc=83.4246022% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.473118 | train_acc=83.931099% | train_correct=585782 | train_total=697932 | val_loss=0.4849186 | val_acc=83.5888002% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.468368 | train_acc=84.054464% | train_correct=586643 | train_total=697932 | val_loss=0.4875705 | val_acc=83.6592935% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.465145 | train_acc=84.134701% | train_correct=587203 | train_total=697932 | val_loss=0.4813801 | val_acc=83.8157544% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.462122 | train_acc=84.232418% | train_correct=587885 | train_total=697932 | val_loss=0.4804410 | val_acc=83.8260705% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.459107 | train_acc=84.314374% | train_correct=588457 | train_total=697932 | val_loss=0.4762591 | val_acc=83.6747677% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.456758 | train_acc=84.353203% | train_correct=588728 | train_total=697932 | val_loss=0.4789024 | val_acc=83.8303689% | interpolacja=False | soft_intepolacja=False
