Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=fashion | ch1=50 | ch2=100 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_fashion_hidden_50.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=0.796067 | train_acc=73.248333% | train_correct=43949 | train_total=60000 | val_loss=0.5526953 | val_acc=80.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.505244 | train_acc=81.986667% | train_correct=49192 | train_total=60000 | val_loss=0.4945090 | val_acc=81.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.459465 | train_acc=83.601667% | train_correct=50161 | train_total=60000 | val_loss=0.4685468 | val_acc=83.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.433162 | train_acc=84.686667% | train_correct=50812 | train_total=60000 | val_loss=0.4394689 | val_acc=84.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.411140 | train_acc=85.555000% | train_correct=51333 | train_total=60000 | val_loss=0.4564159 | val_acc=83.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.395166 | train_acc=86.201667% | train_correct=51721 | train_total=60000 | val_loss=0.4369953 | val_acc=83.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.383037 | train_acc=86.480000% | train_correct=51888 | train_total=60000 | val_loss=0.4019717 | val_acc=85.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.374715 | train_acc=86.945000% | train_correct=52167 | train_total=60000 | val_loss=0.3877052 | val_acc=86.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.362682 | train_acc=87.301667% | train_correct=52381 | train_total=60000 | val_loss=0.3995589 | val_acc=85.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.351736 | train_acc=87.683333% | train_correct=52610 | train_total=60000 | val_loss=0.3701629 | val_acc=87.0500000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.345311 | train_acc=88.061667% | train_correct=52837 | train_total=60000 | val_loss=0.3725675 | val_acc=86.8800000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.337522 | train_acc=88.125000% | train_correct=52875 | train_total=60000 | val_loss=0.3605486 | val_acc=87.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.331185 | train_acc=88.300000% | train_correct=52980 | train_total=60000 | val_loss=0.3560734 | val_acc=87.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.328266 | train_acc=88.540000% | train_correct=53124 | train_total=60000 | val_loss=0.3508797 | val_acc=87.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.321257 | train_acc=88.856667% | train_correct=53314 | train_total=60000 | val_loss=0.3472714 | val_acc=87.8800000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.315675 | train_acc=88.965000% | train_correct=53379 | train_total=60000 | val_loss=0.3806110 | val_acc=86.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.311848 | train_acc=88.973333% | train_correct=53384 | train_total=60000 | val_loss=0.3431337 | val_acc=87.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.306737 | train_acc=89.255000% | train_correct=53553 | train_total=60000 | val_loss=0.3564489 | val_acc=87.4200000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.304200 | train_acc=89.350000% | train_correct=53610 | train_total=60000 | val_loss=0.3378314 | val_acc=87.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.297841 | train_acc=89.563333% | train_correct=53738 | train_total=60000 | val_loss=0.3407430 | val_acc=87.7900000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.297717 | train_acc=89.588333% | train_correct=53753 | train_total=60000 | val_loss=0.3258821 | val_acc=88.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.291225 | train_acc=89.816667% | train_correct=53890 | train_total=60000 | val_loss=0.3300182 | val_acc=88.3000000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.286618 | train_acc=89.965000% | train_correct=53979 | train_total=60000 | val_loss=0.3279261 | val_acc=88.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.283240 | train_acc=90.128333% | train_correct=54077 | train_total=60000 | val_loss=0.3274801 | val_acc=88.1300000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.278957 | train_acc=90.231667% | train_correct=54139 | train_total=60000 | val_loss=0.3141012 | val_acc=88.7800000% | interpolacja=False | soft_intepolacja=False
