model_size | train_loss | val_loss | val_acc | epoch
128 | 0.081372 | 0.2520698 | 0.9225 | 145
150 | 0.071162 | 0.2561738 | 0.9216 | 153
100 | 0.053233 | 0.2790391 | 0.9215000000000001 | 210
175 | 0.074163 | 0.2552765 | 0.9212 | 144
200 | 0.094023 | 0.2430378 | 0.9211 | 116
80 | 0.053392 | 0.285709 | 0.9208 | 219
110 | 0.03659 | 0.2989585 | 0.9205 | 236
64 | 0.100707 | 0.2539323 | 0.9189 | 153
32 | 0.088572 | 0.2639609 | 0.9184 | 200
50 | 0.081222 | 0.2695437 | 0.9181 | 191
16 | 0.092069 | 0.2926745 | 0.9140999999999999 | 266
12 | 0.105514 | 0.2904154 | 0.9135 | 278
8 | 0.125931 | 0.2932393 | 0.9118 | 272
4 | 0.162144 | 0.3097098 | 0.9018 | 362
