model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
200 | 0.094023 | 0.2430378 | 0.9211 | 116 | 0.123001 | 0.2417874 | 0.9161 | 88
175 | 0.074163 | 0.2552765 | 0.9212 | 144 | 0.108597 | 0.2427853 | 0.9188 | 103
150 | 0.071162 | 0.2561738 | 0.9216 | 153 | 0.114497 | 0.241556 | 0.9168000000000001 | 103
128 | 0.081372 | 0.2520698 | 0.9225 | 145 | 0.106678 | 0.2416174 | 0.9195 | 116
110 | 0.03659 | 0.2989585 | 0.9205 | 236 | 0.11371 | 0.2439519 | 0.9172 | 116
100 | 0.053233 | 0.2790391 | 0.9215000000000001 | 210 | 0.119708 | 0.2431901 | 0.9179 | 116
80 | 0.053392 | 0.285709 | 0.9208 | 219 | 0.124129 | 0.242632 | 0.9158 | 116
64 | 0.100707 | 0.2539323 | 0.9189 | 153 | 0.133247 | 0.2472064 | 0.9139 | 116
50 | 0.081222 | 0.2695437 | 0.9181 | 191 | 0.13866 | 0.2500208 | 0.9143000000000001 | 116
32 | 0.088572 | 0.2639609 | 0.9184 | 200 | 0.146086 | 0.2497288 | 0.9123 | 120
16 | 0.092069 | 0.2926745 | 0.9140999999999999 | 266 | 0.154834 | 0.26374 | 0.9098 | 148
12 | 0.105514 | 0.2904154 | 0.9135 | 278 | 0.163035 | 0.2641558 | 0.9092 | 159
8 | 0.125931 | 0.2932393 | 0.9118 | 272 | 0.171804 | 0.2694106 | 0.9076000000000001 | 153
4 | 0.162144 | 0.3097098 | 0.9018 | 362 | 0.203401 | 0.2871331 | 0.9 | 190
