model_size | train_loss | val_loss | val_acc | epoch
200 | 0.123001 | 0.2417874 | 0.9161 | 88
175 | 0.108597 | 0.2427853 | 0.9188 | 103
150 | 0.114497 | 0.241556 | 0.9168000000000001 | 103
128 | 0.106678 | 0.2416174 | 0.9195 | 116
110 | 0.11371 | 0.2439519 | 0.9172 | 116
100 | 0.119708 | 0.2431901 | 0.9179 | 116
80 | 0.124129 | 0.242632 | 0.9158 | 116
64 | 0.133247 | 0.2472064 | 0.9139 | 116
50 | 0.13866 | 0.2500208 | 0.9143000000000001 | 116
32 | 0.146086 | 0.2497288 | 0.9123 | 120
16 | 0.154834 | 0.26374 | 0.9098 | 148
12 | 0.163035 | 0.2641558 | 0.9092 | 159
8 | 0.171804 | 0.2694106 | 0.9076000000000001 | 153
4 | 0.203401 | 0.2871331 | 0.9 | 190
