Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | ch1=32 | ch2=64 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_mnist_hidden_32.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=0.960661 | train_acc=74.458333% | train_correct=44675 | train_total=60000 | val_loss=0.3684953 | val_acc=89.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.351090 | train_acc=89.493333% | train_correct=53696 | train_total=60000 | val_loss=0.3010135 | val_acc=91.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.296771 | train_acc=91.241667% | train_correct=54745 | train_total=60000 | val_loss=0.2607773 | val_acc=92.1100000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.251330 | train_acc=92.748333% | train_correct=55649 | train_total=60000 | val_loss=0.2371449 | val_acc=93.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.220952 | train_acc=93.600000% | train_correct=56160 | train_total=60000 | val_loss=0.1946051 | val_acc=94.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.189351 | train_acc=94.545000% | train_correct=56727 | train_total=60000 | val_loss=0.1749454 | val_acc=95.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.166841 | train_acc=95.210000% | train_correct=57126 | train_total=60000 | val_loss=0.1534892 | val_acc=95.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.148524 | train_acc=95.763333% | train_correct=57458 | train_total=60000 | val_loss=0.1319897 | val_acc=96.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.132075 | train_acc=96.241667% | train_correct=57745 | train_total=60000 | val_loss=0.1246653 | val_acc=96.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.119315 | train_acc=96.590000% | train_correct=57954 | train_total=60000 | val_loss=0.1089830 | val_acc=97.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.108827 | train_acc=96.846667% | train_correct=58108 | train_total=60000 | val_loss=0.1025967 | val_acc=97.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.100939 | train_acc=97.131667% | train_correct=58279 | train_total=60000 | val_loss=0.0929630 | val_acc=97.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.093763 | train_acc=97.381667% | train_correct=58429 | train_total=60000 | val_loss=0.0874054 | val_acc=97.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.088524 | train_acc=97.428333% | train_correct=58457 | train_total=60000 | val_loss=0.0837658 | val_acc=97.7200000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.082810 | train_acc=97.648333% | train_correct=58589 | train_total=60000 | val_loss=0.0781204 | val_acc=97.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.079163 | train_acc=97.728333% | train_correct=58637 | train_total=60000 | val_loss=0.0761212 | val_acc=97.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.074810 | train_acc=97.858333% | train_correct=58715 | train_total=60000 | val_loss=0.0729025 | val_acc=97.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.071764 | train_acc=97.958333% | train_correct=58775 | train_total=60000 | val_loss=0.0703047 | val_acc=97.8200000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.068863 | train_acc=98.050000% | train_correct=58830 | train_total=60000 | val_loss=0.0665618 | val_acc=97.8800000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.066857 | train_acc=98.161667% | train_correct=58897 | train_total=60000 | val_loss=0.0637611 | val_acc=98.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.064039 | train_acc=98.136667% | train_correct=58882 | train_total=60000 | val_loss=0.0679031 | val_acc=97.9100000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.061878 | train_acc=98.253333% | train_correct=58952 | train_total=60000 | val_loss=0.0614070 | val_acc=98.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.060104 | train_acc=98.266667% | train_correct=58960 | train_total=60000 | val_loss=0.0611317 | val_acc=98.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.058523 | train_acc=98.281667% | train_correct=58969 | train_total=60000 | val_loss=0.0582622 | val_acc=98.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.056639 | train_acc=98.375000% | train_correct=59025 | train_total=60000 | val_loss=0.0600707 | val_acc=98.0700000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.055938 | train_acc=98.390000% | train_correct=59034 | train_total=60000 | val_loss=0.0564449 | val_acc=98.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.054076 | train_acc=98.455000% | train_correct=59073 | train_total=60000 | val_loss=0.0562633 | val_acc=98.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.053132 | train_acc=98.443333% | train_correct=59066 | train_total=60000 | val_loss=0.0530040 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.052500 | train_acc=98.506667% | train_correct=59104 | train_total=60000 | val_loss=0.0547990 | val_acc=98.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.050595 | train_acc=98.548333% | train_correct=59129 | train_total=60000 | val_loss=0.0519202 | val_acc=98.3900000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.049629 | train_acc=98.571667% | train_correct=59143 | train_total=60000 | val_loss=0.0521301 | val_acc=98.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.048774 | train_acc=98.603333% | train_correct=59162 | train_total=60000 | val_loss=0.0510073 | val_acc=98.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.047899 | train_acc=98.630000% | train_correct=59178 | train_total=60000 | val_loss=0.0533767 | val_acc=98.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.047156 | train_acc=98.641667% | train_correct=59185 | train_total=60000 | val_loss=0.0492348 | val_acc=98.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.046567 | train_acc=98.645000% | train_correct=59187 | train_total=60000 | val_loss=0.0504783 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.045338 | train_acc=98.720000% | train_correct=59232 | train_total=60000 | val_loss=0.0513566 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.044613 | train_acc=98.730000% | train_correct=59238 | train_total=60000 | val_loss=0.0501304 | val_acc=98.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.043999 | train_acc=98.756667% | train_correct=59254 | train_total=60000 | val_loss=0.0525759 | val_acc=98.2800000% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.043025 | train_acc=98.781667% | train_correct=59269 | train_total=60000 | val_loss=0.0512111 | val_acc=98.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.042097 | train_acc=98.791667% | train_correct=59275 | train_total=60000 | val_loss=0.0505049 | val_acc=98.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.041667 | train_acc=98.865000% | train_correct=59319 | train_total=60000 | val_loss=0.0468331 | val_acc=98.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.041306 | train_acc=98.830000% | train_correct=59298 | train_total=60000 | val_loss=0.0473342 | val_acc=98.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.040305 | train_acc=98.833333% | train_correct=59300 | train_total=60000 | val_loss=0.0489431 | val_acc=98.3800000% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.040406 | train_acc=98.841667% | train_correct=59305 | train_total=60000 | val_loss=0.0470504 | val_acc=98.3800000% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.038961 | train_acc=98.893333% | train_correct=59336 | train_total=60000 | val_loss=0.0463875 | val_acc=98.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.038391 | train_acc=98.903333% | train_correct=59342 | train_total=60000 | val_loss=0.0462260 | val_acc=98.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.038784 | train_acc=98.920000% | train_correct=59352 | train_total=60000 | val_loss=0.0483178 | val_acc=98.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.038239 | train_acc=98.903333% | train_correct=59342 | train_total=60000 | val_loss=0.0451165 | val_acc=98.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.037514 | train_acc=98.930000% | train_correct=59358 | train_total=60000 | val_loss=0.0478887 | val_acc=98.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.037059 | train_acc=98.936667% | train_correct=59362 | train_total=60000 | val_loss=0.0466720 | val_acc=98.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.036833 | train_acc=98.956667% | train_correct=59374 | train_total=60000 | val_loss=0.0457800 | val_acc=98.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.036077 | train_acc=98.953333% | train_correct=59372 | train_total=60000 | val_loss=0.0445949 | val_acc=98.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.035455 | train_acc=98.978333% | train_correct=59387 | train_total=60000 | val_loss=0.0456124 | val_acc=98.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.035562 | train_acc=99.001667% | train_correct=59401 | train_total=60000 | val_loss=0.0439391 | val_acc=98.5500000% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.035055 | train_acc=99.001667% | train_correct=59401 | train_total=60000 | val_loss=0.0462673 | val_acc=98.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.034565 | train_acc=99.003333% | train_correct=59402 | train_total=60000 | val_loss=0.0484909 | val_acc=98.3900000% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.034087 | train_acc=99.030000% | train_correct=59418 | train_total=60000 | val_loss=0.0443580 | val_acc=98.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.033760 | train_acc=99.016667% | train_correct=59410 | train_total=60000 | val_loss=0.0486690 | val_acc=98.3000000% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.033060 | train_acc=99.053333% | train_correct=59432 | train_total=60000 | val_loss=0.0485609 | val_acc=98.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.032805 | train_acc=99.078333% | train_correct=59447 | train_total=60000 | val_loss=0.0466759 | val_acc=98.3600000% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.032079 | train_acc=99.096667% | train_correct=59458 | train_total=60000 | val_loss=0.0447146 | val_acc=98.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.032120 | train_acc=99.083333% | train_correct=59450 | train_total=60000 | val_loss=0.0493059 | val_acc=98.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.032115 | train_acc=99.070000% | train_correct=59442 | train_total=60000 | val_loss=0.0442527 | val_acc=98.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.031323 | train_acc=99.088333% | train_correct=59453 | train_total=60000 | val_loss=0.0454037 | val_acc=98.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.031138 | train_acc=99.106667% | train_correct=59464 | train_total=60000 | val_loss=0.0445321 | val_acc=98.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.030805 | train_acc=99.151667% | train_correct=59491 | train_total=60000 | val_loss=0.0496382 | val_acc=98.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.030631 | train_acc=99.118333% | train_correct=59471 | train_total=60000 | val_loss=0.0439031 | val_acc=98.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 68] train_loss=0.029901 | train_acc=99.160000% | train_correct=59496 | train_total=60000 | val_loss=0.0447436 | val_acc=98.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 69] train_loss=0.029829 | train_acc=99.160000% | train_correct=59496 | train_total=60000 | val_loss=0.0481115 | val_acc=98.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 70] train_loss=0.029503 | train_acc=99.156667% | train_correct=59494 | train_total=60000 | val_loss=0.0446919 | val_acc=98.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 71] train_loss=0.029331 | train_acc=99.183333% | train_correct=59510 | train_total=60000 | val_loss=0.0446508 | val_acc=98.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 72] train_loss=0.029005 | train_acc=99.161667% | train_correct=59497 | train_total=60000 | val_loss=0.0434940 | val_acc=98.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 73] train_loss=0.028390 | train_acc=99.181667% | train_correct=59509 | train_total=60000 | val_loss=0.0457245 | val_acc=98.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 74] train_loss=0.028387 | train_acc=99.223333% | train_correct=59534 | train_total=60000 | val_loss=0.0447584 | val_acc=98.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 75] train_loss=0.028006 | train_acc=99.198333% | train_correct=59519 | train_total=60000 | val_loss=0.0450274 | val_acc=98.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 76] train_loss=0.027921 | train_acc=99.198333% | train_correct=59519 | train_total=60000 | val_loss=0.0425538 | val_acc=98.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 77] train_loss=0.027643 | train_acc=99.246667% | train_correct=59548 | train_total=60000 | val_loss=0.0436257 | val_acc=98.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 78] train_loss=0.027139 | train_acc=99.236667% | train_correct=59542 | train_total=60000 | val_loss=0.0434180 | val_acc=98.5300000% | interpolacja=False | soft_intepolacja=False
