model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
256 | 0.01047 | 0.0425331 | 0.9879000000000001 | 101 | 0.026362 | 0.0393706 | 0.9873999999999999 | 41
200 | 0.013418 | 0.0419623 | 0.9876999999999999 | 94 | 0.022317 | 0.0395757 | 0.9868000000000001 | 57
175 | 0.010146 | 0.043134 | 0.9879000000000001 | 118 | 0.022955 | 0.0398806 | 0.9868000000000001 | 57
150 | 0.013313 | 0.0430132 | 0.9879000000000001 | 103 | 0.024341 | 0.039701 | 0.9872 | 57
128 | 0.001317 | 0.0576882 | 0.9879000000000001 | 358 | 0.024886 | 0.0401715 | 0.9865999999999999 | 57
110 | 0.023863 | 0.0405053 | 0.9873000000000001 | 63 | 0.020247 | 0.0401632 | 0.987 | 76
100 | 0.017754 | 0.0425573 | 0.9875 | 94 | 0.021535 | 0.0406006 | 0.9867 | 76
80 | 0.013917 | 0.0440122 | 0.9872 | 122 | 0.022902 | 0.0413652 | 0.9859 | 76
64 | 0.012389 | 0.0456498 | 0.9873000000000001 | 141 | 0.024114 | 0.0416092 | 0.9867 | 76
50 | 0.012662 | 0.0451628 | 0.9873000000000001 | 141 | 0.024851 | 0.0414431 | 0.9868000000000001 | 76
32 | 0.014066 | 0.0462331 | 0.9868000000000001 | 151 | 0.027921 | 0.0425538 | 0.9853000000000001 | 76
16 | 0.012627 | 0.0541989 | 0.9854 | 192 | 0.028672 | 0.0461612 | 0.9853000000000001 | 95
12 | 0.020249 | 0.0482437 | 0.9862000000000001 | 141 | 0.028758 | 0.0447596 | 0.986 | 95
8 | 0.027393 | 0.0476343 | 0.9864 | 109 | 0.028934 | 0.0456487 | 0.9856999999999999 | 100
4 | 0.032896 | 0.0586605 | 0.9823000000000001 | 130 | 0.040406 | 0.0565332 | 0.9815 | 95
