Using device: cuda, type: cuda
Model: MLP(hidden=50000, num_classes=47)
dataset=emnist_balanced | hidden=50000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_emnist_balanced_hidden50000.txt | cpu=None | model_name=MLP
[Epoch 01] train_loss=1.566308 | train_acc=59.007092% | train_correct=66560 | train_total=112800 | val_loss=1.2370391 | val_acc=65.8244681% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.138156 | train_acc=68.426418% | train_correct=77185 | train_total=112800 | val_loss=1.1136722 | val_acc=68.9574468% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.042914 | train_acc=70.938830% | train_correct=80019 | train_total=112800 | val_loss=1.0513679 | val_acc=71.1329787% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.981826 | train_acc=72.430851% | train_correct=81702 | train_total=112800 | val_loss=0.9939887 | val_acc=72.5585106% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.932065 | train_acc=73.810284% | train_correct=83258 | train_total=112800 | val_loss=0.9642574 | val_acc=73.0425532% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.891006 | train_acc=74.924645% | train_correct=84515 | train_total=112800 | val_loss=0.9323099 | val_acc=73.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.855027 | train_acc=75.984043% | train_correct=85710 | train_total=112800 | val_loss=0.9002876 | val_acc=74.8031915% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.824273 | train_acc=76.737589% | train_correct=86560 | train_total=112800 | val_loss=0.8787486 | val_acc=75.3723404% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.795988 | train_acc=77.457447% | train_correct=87372 | train_total=112800 | val_loss=0.8545312 | val_acc=75.9361702% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.767773 | train_acc=78.204787% | train_correct=88215 | train_total=112800 | val_loss=0.8270961 | val_acc=76.5691489% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.743152 | train_acc=78.900709% | train_correct=89000 | train_total=112800 | val_loss=0.8139254 | val_acc=76.9468085% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.723036 | train_acc=79.429078% | train_correct=89596 | train_total=112800 | val_loss=0.7950412 | val_acc=77.4574468% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.701262 | train_acc=80.040780% | train_correct=90286 | train_total=112800 | val_loss=0.7743136 | val_acc=77.8989362% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.682987 | train_acc=80.504433% | train_correct=90809 | train_total=112800 | val_loss=0.7618728 | val_acc=78.2872340% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.665993 | train_acc=80.983156% | train_correct=91349 | train_total=112800 | val_loss=0.7469412 | val_acc=78.6276596% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.648179 | train_acc=81.487589% | train_correct=91918 | train_total=112800 | val_loss=0.7339179 | val_acc=79.0106383% | interpolacja=False | soft_intepolacja=False
