model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
100000 | 0.018543 | 0.6274023 | 0.846968085 | 1142 | 0.175457 | 0.4871418 | 0.844148936 | 126
50000 | 0.092095 | 0.498772 | 0.849521277 | 329 | 0.194211 | 0.4746003 | 0.8470212770000001 | 150
20000 | 0.08744 | 0.4932861 | 0.8526063829999999 | 448 | 0.18812 | 0.4613951 | 0.849734043 | 213
10000 | 0.159026 | 0.4575024 | 0.8544148939999999 | 305 | 0.180776 | 0.4523416 | 0.8530851060000001 | 266
7500 | 0.190962 | 0.4511282 | 0.855851064 | 266 | 0.210931 | 0.451015 | 0.854574468 | 237
5000 | 0.204983 | 0.4488733 | 0.8563829789999999 | 266 | 0.204983 | 0.4488733 | 0.8563829789999999 | 266
3000 | 0.227163 | 0.450078 | 0.8564893619999999 | 257 | 0.213315 | 0.4485214 | 0.85537234 | 278
2000 | 0.198367 | 0.4540611 | 0.85643617 | 324 | 0.224619 | 0.4506568 | 0.855106383 | 278
1500 | 0.227214 | 0.4515959 | 0.855 | 287 | 0.232475 | 0.4506866 | 0.853776596 | 278
1000 | 0.245922 | 0.4580641 | 0.8543617020000001 | 278 | 0.245922 | 0.4580641 | 0.8543617020000001 | 278
750 | 0.271004 | 0.4641319 | 0.853510638 | 257 | 0.257823 | 0.4614213 | 0.852819149 | 278
500 | 0.247366 | 0.4747231 | 0.85143617 | 326 | 0.272155 | 0.4702309 | 0.850053191 | 278
400 | 0.260931 | 0.4753107 | 0.8493085109999999 | 322 | 0.282822 | 0.4731482 | 0.848510638 | 278
300 | 0.258315 | 0.4956861 | 0.8471276600000001 | 371 | 0.300937 | 0.4877106 | 0.843723404 | 278
250 | 0.299436 | 0.4964246 | 0.845212766 | 314 | 0.31591 | 0.494782 | 0.841648936 | 278
200 | 0.285011 | 0.5082197 | 0.842819149 | 401 | 0.333084 | 0.5021352 | 0.840744681 | 278
175 | 0.329949 | 0.515219 | 0.8406382979999999 | 316 | 0.34673 | 0.5132513 | 0.8397872340000001 | 278
150 | 0.324685 | 0.5228391 | 0.8382978719999999 | 371 | 0.359658 | 0.5196086 | 0.836755319 | 278
130 | 0.349059 | 0.5281007 | 0.836914894 | 333 | 0.35355 | 0.5259733 | 0.835053191 | 322
110 | 0.316072 | 0.5567071 | 0.8319680850000001 | 585 | 0.372837 | 0.5411435 | 0.829468085 | 338
100 | 0.365926 | 0.563387 | 0.828776596 | 446 | 0.391708 | 0.5590086 | 0.82643617 | 346
90 | 0.391309 | 0.5571693 | 0.8312234039999999 | 348 | 0.392894 | 0.5561204 | 0.8285638299999999 | 344
75 | 0.409865 | 0.5860734 | 0.8211170210000001 | 475 | 0.418998 | 0.5830347 | 0.819468085 | 434
50 | 0.453567 | 0.6416395 | 0.811223404 | 821 | 0.47463 | 0.638374 | 0.8078191490000001 | 617
20 | 0.68613 | 0.8270761 | 0.761223404 | 3086 | 0.686861 | 0.8249267 | 0.7596808509999999 | 3029
