Using device: cuda, type: cuda
Model: MLP(hidden=300, num_classes=47)
dataset=emnist_balanced | hidden=300 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_emnist_balanced_hidden300.txt | cpu=None | model_name=MLP
[Epoch 01] train_loss=3.163560 | train_acc=32.273050% | train_correct=36404 | train_total=112800 | val_loss=2.3898711 | val_acc=49.3723404% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.944349 | train_acc=54.270390% | train_correct=61217 | train_total=112800 | val_loss=1.6703726 | val_acc=56.6329787% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.539925 | train_acc=59.121454% | train_correct=66689 | train_total=112800 | val_loss=1.4618120 | val_acc=60.0797872% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.397706 | train_acc=61.654255% | train_correct=69546 | train_total=112800 | val_loss=1.3690889 | val_acc=61.9095745% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.323494 | train_acc=63.292553% | train_correct=71394 | train_total=112800 | val_loss=1.3122532 | val_acc=63.3936170% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=1.274015 | train_acc=64.497340% | train_correct=72753 | train_total=112800 | val_loss=1.2729837 | val_acc=64.2872340% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=1.238029 | train_acc=65.453014% | train_correct=73831 | train_total=112800 | val_loss=1.2429699 | val_acc=65.0425532% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=1.207795 | train_acc=66.304078% | train_correct=74791 | train_total=112800 | val_loss=1.2187655 | val_acc=65.7180851% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=1.182459 | train_acc=66.966312% | train_correct=75538 | train_total=112800 | val_loss=1.1951448 | val_acc=66.4148936% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=1.158995 | train_acc=67.559397% | train_correct=76207 | train_total=112800 | val_loss=1.1749187 | val_acc=67.0904255% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=1.137900 | train_acc=68.130319% | train_correct=76851 | train_total=112800 | val_loss=1.1560786 | val_acc=67.5585106% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=1.118025 | train_acc=68.710993% | train_correct=77506 | train_total=112800 | val_loss=1.1401437 | val_acc=67.8244681% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=1.098190 | train_acc=69.169326% | train_correct=78023 | train_total=112800 | val_loss=1.1202672 | val_acc=68.5265957% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=1.079338 | train_acc=69.692376% | train_correct=78613 | train_total=112800 | val_loss=1.1027295 | val_acc=69.1648936% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=1.060942 | train_acc=70.260638% | train_correct=79254 | train_total=112800 | val_loss=1.0869308 | val_acc=69.4468085% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=1.042474 | train_acc=70.749113% | train_correct=79805 | train_total=112800 | val_loss=1.0690760 | val_acc=69.8563830% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=1.024779 | train_acc=71.147163% | train_correct=80254 | train_total=112800 | val_loss=1.0507432 | val_acc=70.5851064% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=1.007080 | train_acc=71.628546% | train_correct=80797 | train_total=112800 | val_loss=1.0352463 | val_acc=70.9521277% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.989893 | train_acc=72.011525% | train_correct=81229 | train_total=112800 | val_loss=1.0206577 | val_acc=71.2712766% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.972676 | train_acc=72.510638% | train_correct=81792 | train_total=112800 | val_loss=1.0028363 | val_acc=71.8882979% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.956058 | train_acc=73.026596% | train_correct=82374 | train_total=112800 | val_loss=0.9884020 | val_acc=72.2234043% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.939357 | train_acc=73.399823% | train_correct=82795 | train_total=112800 | val_loss=0.9732512 | val_acc=72.7180851% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.923447 | train_acc=73.820035% | train_correct=83269 | train_total=112800 | val_loss=0.9562318 | val_acc=73.0851064% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.907406 | train_acc=74.197695% | train_correct=83695 | train_total=112800 | val_loss=0.9424988 | val_acc=73.2819149% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.892197 | train_acc=74.655142% | train_correct=84211 | train_total=112800 | val_loss=0.9294521 | val_acc=73.6382979% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.877357 | train_acc=75.033688% | train_correct=84638 | train_total=112800 | val_loss=0.9133949 | val_acc=74.0585106% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.862857 | train_acc=75.400709% | train_correct=85052 | train_total=112800 | val_loss=0.9004256 | val_acc=74.4734043% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.848535 | train_acc=75.780142% | train_correct=85480 | train_total=112800 | val_loss=0.8871068 | val_acc=74.6702128% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.835187 | train_acc=76.125887% | train_correct=85870 | train_total=112800 | val_loss=0.8759673 | val_acc=74.8776596% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.822221 | train_acc=76.453901% | train_correct=86240 | train_total=112800 | val_loss=0.8629949 | val_acc=75.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.809726 | train_acc=76.770390% | train_correct=86597 | train_total=112800 | val_loss=0.8520529 | val_acc=75.6648936% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.797788 | train_acc=77.088652% | train_correct=86956 | train_total=112800 | val_loss=0.8406724 | val_acc=76.0585106% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.785893 | train_acc=77.358156% | train_correct=87260 | train_total=112800 | val_loss=0.8290340 | val_acc=76.3085106% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.774716 | train_acc=77.727837% | train_correct=87677 | train_total=112800 | val_loss=0.8202172 | val_acc=76.6063830% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.764015 | train_acc=77.868794% | train_correct=87836 | train_total=112800 | val_loss=0.8111276 | val_acc=76.5478723% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.753835 | train_acc=78.201241% | train_correct=88211 | train_total=112800 | val_loss=0.7995885 | val_acc=77.0265957% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.743973 | train_acc=78.415780% | train_correct=88453 | train_total=112800 | val_loss=0.7915368 | val_acc=77.3031915% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.734364 | train_acc=78.647163% | train_correct=88714 | train_total=112800 | val_loss=0.7827091 | val_acc=77.5478723% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.725206 | train_acc=78.941489% | train_correct=89046 | train_total=112800 | val_loss=0.7751386 | val_acc=77.6808511% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.716560 | train_acc=79.101064% | train_correct=89226 | train_total=112800 | val_loss=0.7674086 | val_acc=77.9095745% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.707621 | train_acc=79.343085% | train_correct=89499 | train_total=112800 | val_loss=0.7597466 | val_acc=78.0904255% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.699564 | train_acc=79.468972% | train_correct=89641 | train_total=112800 | val_loss=0.7514758 | val_acc=78.2925532% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.691595 | train_acc=79.769504% | train_correct=89980 | train_total=112800 | val_loss=0.7453603 | val_acc=78.1329787% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.684158 | train_acc=79.887411% | train_correct=90113 | train_total=112800 | val_loss=0.7386025 | val_acc=78.5265957% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.676505 | train_acc=80.095745% | train_correct=90348 | train_total=112800 | val_loss=0.7321784 | val_acc=78.7606383% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.669654 | train_acc=80.255319% | train_correct=90528 | train_total=112800 | val_loss=0.7263662 | val_acc=78.8882979% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.662769 | train_acc=80.380319% | train_correct=90669 | train_total=112800 | val_loss=0.7197499 | val_acc=78.8776596% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.656177 | train_acc=80.556738% | train_correct=90868 | train_total=112800 | val_loss=0.7148317 | val_acc=79.0691489% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.649780 | train_acc=80.718085% | train_correct=91050 | train_total=112800 | val_loss=0.7095866 | val_acc=79.3297872% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.643510 | train_acc=80.890071% | train_correct=91244 | train_total=112800 | val_loss=0.7023834 | val_acc=79.5106383% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.637754 | train_acc=81.027482% | train_correct=91399 | train_total=112800 | val_loss=0.6970486 | val_acc=79.4361702% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.631745 | train_acc=81.204787% | train_correct=91599 | train_total=112800 | val_loss=0.6926631 | val_acc=79.5851064% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.626054 | train_acc=81.257092% | train_correct=91658 | train_total=112800 | val_loss=0.6861972 | val_acc=79.8404255% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.620465 | train_acc=81.386525% | train_correct=91804 | train_total=112800 | val_loss=0.6820999 | val_acc=79.9148936% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.615189 | train_acc=81.497340% | train_correct=91929 | train_total=112800 | val_loss=0.6781325 | val_acc=80.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.609976 | train_acc=81.694149% | train_correct=92151 | train_total=112800 | val_loss=0.6732726 | val_acc=80.0531915% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.604881 | train_acc=81.807624% | train_correct=92279 | train_total=112800 | val_loss=0.6681170 | val_acc=80.1170213% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.600087 | train_acc=81.879433% | train_correct=92360 | train_total=112800 | val_loss=0.6652648 | val_acc=80.1223404% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.595323 | train_acc=82.025709% | train_correct=92525 | train_total=112800 | val_loss=0.6600602 | val_acc=80.3244681% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.590822 | train_acc=82.148050% | train_correct=92663 | train_total=112800 | val_loss=0.6568225 | val_acc=80.3563830% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.586106 | train_acc=82.187943% | train_correct=92708 | train_total=112800 | val_loss=0.6535142 | val_acc=80.3936170% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.581708 | train_acc=82.374113% | train_correct=92918 | train_total=112800 | val_loss=0.6493682 | val_acc=80.5904255% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.577425 | train_acc=82.471631% | train_correct=93028 | train_total=112800 | val_loss=0.6460635 | val_acc=80.5904255% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.573462 | train_acc=82.575355% | train_correct=93145 | train_total=112800 | val_loss=0.6428386 | val_acc=80.6648936% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.569146 | train_acc=82.703901% | train_correct=93290 | train_total=112800 | val_loss=0.6395234 | val_acc=80.6755319% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.565385 | train_acc=82.807624% | train_correct=93407 | train_total=112800 | val_loss=0.6356399 | val_acc=80.7127660% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.561480 | train_acc=82.903369% | train_correct=93515 | train_total=112800 | val_loss=0.6319211 | val_acc=80.9095745% | interpolacja=False | soft_intepolacja=False
[Epoch 68] train_loss=0.557830 | train_acc=82.971631% | train_correct=93592 | train_total=112800 | val_loss=0.6282778 | val_acc=80.9361702% | interpolacja=False | soft_intepolacja=False
[Epoch 69] train_loss=0.554079 | train_acc=83.078014% | train_correct=93712 | train_total=112800 | val_loss=0.6269757 | val_acc=80.9255319% | interpolacja=False | soft_intepolacja=False
[Epoch 70] train_loss=0.550445 | train_acc=83.123227% | train_correct=93763 | train_total=112800 | val_loss=0.6244454 | val_acc=80.8936170% | interpolacja=False | soft_intepolacja=False
[Epoch 71] train_loss=0.547102 | train_acc=83.282801% | train_correct=93943 | train_total=112800 | val_loss=0.6207145 | val_acc=81.2234043% | interpolacja=False | soft_intepolacja=False
