Using device: cuda, type: cuda
Model: MLP(hidden=100000, num_classes=62)
dataset=emnist_byclass | hidden=100000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_emnist_byclass_hidden100000.txt | cpu=None | model_name=MLP | use_cache=False
[Epoch 01] train_loss=0.982013 | train_acc=72.187119% | train_correct=503817 | train_total=697932 | val_loss=0.8097223 | val_acc=76.2256819% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.753129 | train_acc=77.707141% | train_correct=542343 | train_total=697932 | val_loss=0.7157527 | val_acc=78.4926455% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.669305 | train_acc=79.747024% | train_correct=556580 | train_total=697932 | val_loss=0.6464579 | val_acc=80.0340431% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.617372 | train_acc=81.037264% | train_correct=565585 | train_total=697932 | val_loss=0.6117055 | val_acc=80.9599133% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.581446 | train_acc=81.858978% | train_correct=571320 | train_total=697932 | val_loss=0.5785573 | val_acc=82.0224719% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.554177 | train_acc=82.555607% | train_correct=576182 | train_total=697932 | val_loss=0.5595813 | val_acc=82.2975680% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.532511 | train_acc=83.022988% | train_correct=579444 | train_total=697932 | val_loss=0.5427616 | val_acc=82.3972903% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.515393 | train_acc=83.428758% | train_correct=582276 | train_total=697932 | val_loss=0.5329290 | val_acc=82.8503391% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.500445 | train_acc=83.814182% | train_correct=584966 | train_total=697932 | val_loss=0.5270031 | val_acc=83.1572432% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.487955 | train_acc=84.106761% | train_correct=587008 | train_total=697932 | val_loss=0.5200362 | val_acc=83.2956509% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.477347 | train_acc=84.366815% | train_correct=588823 | train_total=697932 | val_loss=0.5060393 | val_acc=83.5226052% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.467387 | train_acc=84.597926% | train_correct=590436 | train_total=697932 | val_loss=0.5035991 | val_acc=83.4796214% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.458729 | train_acc=84.826315% | train_correct=592030 | train_total=697932 | val_loss=0.4951070 | val_acc=83.2904929% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.450674 | train_acc=85.039803% | train_correct=593520 | train_total=697932 | val_loss=0.4907770 | val_acc=83.7495594% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.443911 | train_acc=85.231942% | train_correct=594861 | train_total=697932 | val_loss=0.4833808 | val_acc=83.8011399% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.436997 | train_acc=85.395282% | train_correct=596001 | train_total=697932 | val_loss=0.4758400 | val_acc=84.1278165% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.431365 | train_acc=85.487985% | train_correct=596648 | train_total=697932 | val_loss=0.4760108 | val_acc=84.0788150% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.425436 | train_acc=85.691443% | train_correct=598068 | train_total=697932 | val_loss=0.4751352 | val_acc=84.0048830% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.419744 | train_acc=85.860370% | train_correct=599247 | train_total=697932 | val_loss=0.4703042 | val_acc=84.1355536% | interpolacja=False | soft_intepolacja=False
