Using device: cuda, type: cuda
Model: MLP(hidden=110, num_classes=62)
dataset=emnist_byclass | hidden=110 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_emnist_byclass_hidden110.txt | cpu=None | model_name=MLP | use_cache=True
[Epoch 01] train_loss=1.748503 | train_acc=56.772006% | train_correct=396230 | train_total=697932 | val_loss=1.2215186 | val_acc=66.0479871% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.136347 | train_acc=68.062934% | train_correct=475033 | train_total=697932 | val_loss=1.0670475 | val_acc=69.8872966% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.031329 | train_acc=70.663761% | train_correct=493185 | train_total=697932 | val_loss=0.9887324 | val_acc=71.8731463% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.962730 | train_acc=72.386135% | train_correct=505206 | train_total=697932 | val_loss=0.9252783 | val_acc=73.3947715% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.905529 | train_acc=73.810199% | train_correct=515145 | train_total=697932 | val_loss=0.8733986 | val_acc=74.8072178% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.856687 | train_acc=75.044274% | train_correct=523758 | train_total=697932 | val_loss=0.8285899 | val_acc=75.7330880% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.815166 | train_acc=76.038353% | train_correct=530696 | train_total=697932 | val_loss=0.7914505 | val_acc=76.5962020% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.780372 | train_acc=76.883994% | train_correct=536598 | train_total=697932 | val_loss=0.7606333 | val_acc=77.3372420% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.751193 | train_acc=77.545234% | train_correct=541213 | train_total=697932 | val_loss=0.7368242 | val_acc=77.9785597% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.726500 | train_acc=78.112194% | train_correct=545170 | train_total=697932 | val_loss=0.7130936 | val_acc=78.5055406% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.705575 | train_acc=78.581581% | train_correct=548446 | train_total=697932 | val_loss=0.6930993 | val_acc=78.9508524% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.687437 | train_acc=78.992079% | train_correct=551311 | train_total=697932 | val_loss=0.6773250 | val_acc=79.3359869% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.671542 | train_acc=79.330365% | train_correct=553672 | train_total=697932 | val_loss=0.6634502 | val_acc=79.5526250% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.657611 | train_acc=79.664065% | train_correct=556001 | train_total=697932 | val_loss=0.6503663 | val_acc=79.7821583% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.645199 | train_acc=79.936298% | train_correct=557901 | train_total=697932 | val_loss=0.6392085 | val_acc=80.0426399% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.634325 | train_acc=80.187898% | train_correct=559657 | train_total=697932 | val_loss=0.6288862 | val_acc=80.2936651% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.624331 | train_acc=80.402962% | train_correct=561158 | train_total=697932 | val_loss=0.6205883 | val_acc=80.4037035% | interpolacja=False | soft_intepolacja=False
