model_size | train_loss | val_loss | val_acc | epoch
100000 | 0.28332 | 0.4227398 | 0.853021329 | 75
50000 | 0.237758 | 0.4196449 | 0.854396809 | 143
20000 | 0.274382 | 0.4099338 | 0.856270901 | 143
10000 | 0.304953 | 0.4064054 | 0.8570360119999999 | 130
7500 | 0.285982 | 0.4047745 | 0.8572337369999999 | 165
5000 | 0.314938 | 0.4026825 | 0.857319705 | 137
3000 | 0.28624 | 0.4075666 | 0.857259527 | 201
2000 | 0.312381 | 0.4074948 | 0.8570188179999999 | 173
1500 | 0.305341 | 0.4090039 | 0.8565288030000001 | 201
1000 | 0.330296 | 0.4132067 | 0.855901241 | 173
750 | 0.329074 | 0.4156482 | 0.855290871 | 200
500 | 0.343467 | 0.4188556 | 0.853941181 | 201
400 | 0.355451 | 0.4254023 | 0.852625878 | 201
300 | 0.368796 | 0.4306262 | 0.850674415 | 201
250 | 0.362821 | 0.4326223 | 0.850296158 | 287
200 | 0.390561 | 0.4413682 | 0.8481641639999999 | 201
175 | 0.384078 | 0.4384286 | 0.8481383730000001 | 287
150 | 0.403557 | 0.4507982 | 0.845722686 | 254
130 | 0.39052 | 0.4512519 | 0.845808653 | 468
110 | 0.402026 | 0.4608755 | 0.841905728 | 609
100 | 0.410392 | 0.4596951 | 0.842963129 | 537
90 | 0.410729 | 0.4760184 | 0.8395416210000001 | 1148
75 | 0.434864 | 0.4824961 | 0.837529981 | 870
50 | 0.473194 | 0.5204476 | 0.828297069 | 3707
20 | 0.694379 | 0.7095733 | 0.7819605749999999 | 4343
