model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
100000 | 0.28332 | 0.4227398 | 0.853021329 | 75 | 0.270087 | 0.4214068 | 0.8524109590000001 | 84
50000 | 0.237758 | 0.4196449 | 0.854396809 | 143 | 0.260251 | 0.4141367 | 0.853322215 | 120
20000 | 0.274382 | 0.4099338 | 0.856270901 | 143 | 0.266587 | 0.4083907 | 0.85449997 | 152
10000 | 0.304953 | 0.4064054 | 0.8570360119999999 | 130 | 0.287538 | 0.4041449 | 0.855110339 | 152
7500 | 0.285982 | 0.4047745 | 0.8572337369999999 | 165 | 0.283839 | 0.4032785 | 0.856253707 | 168
5000 | 0.314938 | 0.4026825 | 0.857319705 | 137 | 0.293856 | 0.4013477 | 0.856597577 | 168
3000 | 0.28624 | 0.4075666 | 0.857259527 | 201 | 0.305066 | 0.4029152 | 0.856073176 | 168
2000 | 0.312381 | 0.4074948 | 0.8570188179999999 | 173 | 0.323037 | 0.4045006 | 0.856924254 | 154
1500 | 0.305341 | 0.4090039 | 0.8565288030000001 | 201 | 0.328897 | 0.4057509 | 0.856159143 | 154
1000 | 0.330296 | 0.4132067 | 0.855901241 | 173 | 0.332533 | 0.4102752 | 0.854353825 | 168
750 | 0.329074 | 0.4156482 | 0.855290871 | 200 | 0.347545 | 0.4124915 | 0.854508567 | 154
500 | 0.343467 | 0.4188556 | 0.853941181 | 201 | 0.346249 | 0.4175408 | 0.8534167789999999 | 192
400 | 0.355451 | 0.4254023 | 0.852625878 | 201 | 0.358052 | 0.4241602 | 0.851241801 | 192
300 | 0.368796 | 0.4306262 | 0.850674415 | 201 | 0.371118 | 0.4288361 | 0.850046852 | 192
250 | 0.362821 | 0.4326223 | 0.850296158 | 287 | 0.371157 | 0.4315598 | 0.8492473540000001 | 236
200 | 0.390561 | 0.4413682 | 0.8481641639999999 | 201 | 0.379696 | 0.4395548 | 0.847605375 | 264
175 | 0.384078 | 0.4384286 | 0.8481383730000001 | 287 | 0.384078 | 0.4384286 | 0.8481383730000001 | 287
150 | 0.403557 | 0.4507982 | 0.845722686 | 254 | 0.388186 | 0.4492215 | 0.844794237 | 403
130 | 0.39052 | 0.4512519 | 0.845808653 | 468 | 0.396928 | 0.4494141 | 0.844734059 | 372
110 | 0.402026 | 0.4608755 | 0.841905728 | 609 | 0.404308 | 0.4596221 | 0.8412351809999999 | 559
100 | 0.410392 | 0.4596951 | 0.842963129 | 537 | 0.407554 | 0.4592517 | 0.842103453 | 606
90 | 0.410729 | 0.4760184 | 0.8395416210000001 | 1148 | 0.42438 | 0.471183 | 0.839266525 | 575
75 | 0.434864 | 0.4824961 | 0.837529981 | 870 | 0.437495 | 0.4819125 | 0.8369797889999999 | 758
50 | 0.473194 | 0.5204476 | 0.828297069 | 3707 | 0.482851 | 0.5189558 | 0.828090747 | 1484
20 | 0.694379 | 0.7095733 | 0.7819605749999999 | 4343 | 0.693925 | 0.7085158 | 0.78173706 | 4970
