Using device: cuda, type: cuda
Model: MLP(hidden=20000, num_classes=62)
dataset=emnist_byclass | hidden=20000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_emnist_byclass_hidden20000.txt | cpu=None | model_name=MLP | use_cache=True
[Epoch 01] train_loss=1.180974 | train_acc=68.265676% | train_correct=476448 | train_total=697932 | val_loss=0.9521781 | val_acc=73.1446060% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.897787 | train_acc=74.480465% | train_correct=519823 | train_total=697932 | val_loss=0.8417930 | val_acc=76.0391324% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.804556 | train_acc=76.811065% | train_correct=536089 | train_total=697932 | val_loss=0.7705684 | val_acc=77.5375463% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.739247 | train_acc=78.377120% | train_correct=547019 | train_total=697932 | val_loss=0.7127603 | val_acc=79.1640518% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.690673 | train_acc=79.539841% | train_correct=555134 | train_total=697932 | val_loss=0.6759379 | val_acc=79.8707048% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.653306 | train_acc=80.386628% | train_correct=561044 | train_total=697932 | val_loss=0.6409411 | val_acc=80.7707848% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.623372 | train_acc=81.070792% | train_correct=565819 | train_total=697932 | val_loss=0.6153269 | val_acc=81.2367288% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.599101 | train_acc=81.586028% | train_correct=569415 | train_total=697932 | val_loss=0.5965159 | val_acc=81.6571099% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.578944 | train_acc=82.040371% | train_correct=572586 | train_total=697932 | val_loss=0.5803659 | val_acc=82.0164542% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.561802 | train_acc=82.428088% | train_correct=575292 | train_total=697932 | val_loss=0.5685160 | val_acc=82.0895266% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.547280 | train_acc=82.771244% | train_correct=577687 | train_total=697932 | val_loss=0.5536722 | val_acc=82.4823981% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.534593 | train_acc=83.019406% | train_correct=579419 | train_total=697932 | val_loss=0.5424396 | val_acc=82.8013377% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.523253 | train_acc=83.276594% | train_correct=581214 | train_total=697932 | val_loss=0.5341955 | val_acc=82.8924632% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.513351 | train_acc=83.516302% | train_correct=582887 | train_total=697932 | val_loss=0.5249787 | val_acc=83.0970659% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.504181 | train_acc=83.724202% | train_correct=584338 | train_total=697932 | val_loss=0.5171081 | val_acc=83.3274589% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.496151 | train_acc=83.924508% | train_correct=585736 | train_total=697932 | val_loss=0.5106855 | val_acc=83.3695830% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.488483 | train_acc=84.084266% | train_correct=586851 | train_total=697932 | val_loss=0.5059251 | val_acc=83.4117071% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.481794 | train_acc=84.230555% | train_correct=587872 | train_total=697932 | val_loss=0.5000726 | val_acc=83.5741857% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.475419 | train_acc=84.398767% | train_correct=589046 | train_total=697932 | val_loss=0.4944214 | val_acc=83.7521384% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.469695 | train_acc=84.514537% | train_correct=589854 | train_total=697932 | val_loss=0.4929459 | val_acc=83.7143127% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.464103 | train_acc=84.633603% | train_correct=590685 | train_total=697932 | val_loss=0.4859492 | val_acc=83.9292315% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.459149 | train_acc=84.768144% | train_correct=591624 | train_total=697932 | val_loss=0.4833678 | val_acc=83.9558815% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.454261 | train_acc=84.878899% | train_correct=592397 | train_total=697932 | val_loss=0.4807662 | val_acc=84.1003069% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.449804 | train_acc=85.009714% | train_correct=593310 | train_total=697932 | val_loss=0.4781303 | val_acc=84.0487264% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.445643 | train_acc=85.091241% | train_correct=593879 | train_total=697932 | val_loss=0.4746232 | val_acc=84.1415713% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.441595 | train_acc=85.196839% | train_correct=594616 | train_total=697932 | val_loss=0.4699545 | val_acc=84.2782597% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.437741 | train_acc=85.312466% | train_correct=595423 | train_total=697932 | val_loss=0.4678255 | val_acc=84.3341386% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.434074 | train_acc=85.361181% | train_correct=595763 | train_total=697932 | val_loss=0.4640812 | val_acc=84.3934562% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.430560 | train_acc=85.472510% | train_correct=596540 | train_total=697932 | val_loss=0.4613763 | val_acc=84.4751253% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.427441 | train_acc=85.551744% | train_correct=597093 | train_total=697932 | val_loss=0.4605633 | val_acc=84.5043543% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.424130 | train_acc=85.639002% | train_correct=597702 | train_total=697932 | val_loss=0.4598909 | val_acc=84.5120913% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.420891 | train_acc=85.711359% | train_correct=598207 | train_total=697932 | val_loss=0.4564686 | val_acc=84.5413203% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.418054 | train_acc=85.790736% | train_correct=598761 | train_total=697932 | val_loss=0.4546941 | val_acc=84.5361622% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.415192 | train_acc=85.875558% | train_correct=599353 | train_total=697932 | val_loss=0.4526159 | val_acc=84.6118137% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.412469 | train_acc=85.945479% | train_correct=599841 | train_total=697932 | val_loss=0.4505551 | val_acc=84.6547974% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.410030 | train_acc=85.972989% | train_correct=600033 | train_total=697932 | val_loss=0.4494409 | val_acc=84.7570988% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.407318 | train_acc=86.080736% | train_correct=600785 | train_total=697932 | val_loss=0.4471237 | val_acc=84.8138373% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.404941 | train_acc=86.134323% | train_correct=601159 | train_total=697932 | val_loss=0.4463019 | val_acc=84.8542421% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.402494 | train_acc=86.221724% | train_correct=601769 | train_total=697932 | val_loss=0.4445316 | val_acc=84.7949245% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.400309 | train_acc=86.260696% | train_correct=602041 | train_total=697932 | val_loss=0.4437395 | val_acc=84.8069599% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.397863 | train_acc=86.324169% | train_correct=602484 | train_total=697932 | val_loss=0.4423016 | val_acc=84.8138373% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.395741 | train_acc=86.375034% | train_correct=602839 | train_total=697932 | val_loss=0.4402059 | val_acc=84.8998049% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.393689 | train_acc=86.431773% | train_correct=603235 | train_total=697932 | val_loss=0.4416289 | val_acc=84.6866054% | interpolacja=False | soft_intepolacja=False
