Using device: cuda, type: cuda
Model: MLP(hidden=250, num_classes=10)
dataset=fashion | hidden=250 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_fashion_hidden250.txt | cpu=None | model_name=MLP
[Epoch 01] train_loss=1.283938 | train_acc=64.338333% | train_correct=38603 | train_total=60000 | val_loss=0.8251125 | val_acc=73.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.717819 | train_acc=75.838333% | train_correct=45503 | train_total=60000 | val_loss=0.6721675 | val_acc=76.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.621731 | train_acc=78.391667% | train_correct=47035 | train_total=60000 | val_loss=0.6132638 | val_acc=78.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.573551 | train_acc=79.970000% | train_correct=47982 | train_total=60000 | val_loss=0.5782484 | val_acc=79.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.542032 | train_acc=81.151667% | train_correct=48691 | train_total=60000 | val_loss=0.5541394 | val_acc=80.2900000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.519655 | train_acc=81.916667% | train_correct=49150 | train_total=60000 | val_loss=0.5359766 | val_acc=80.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.502753 | train_acc=82.480000% | train_correct=49488 | train_total=60000 | val_loss=0.5218500 | val_acc=81.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.489127 | train_acc=82.925000% | train_correct=49755 | train_total=60000 | val_loss=0.5124209 | val_acc=81.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.478098 | train_acc=83.258333% | train_correct=49955 | train_total=60000 | val_loss=0.5025378 | val_acc=82.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.468571 | train_acc=83.561667% | train_correct=50137 | train_total=60000 | val_loss=0.4944749 | val_acc=82.2900000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.459946 | train_acc=83.873333% | train_correct=50324 | train_total=60000 | val_loss=0.4864244 | val_acc=82.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.452615 | train_acc=84.113333% | train_correct=50468 | train_total=60000 | val_loss=0.4805078 | val_acc=83.1300000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.445791 | train_acc=84.420000% | train_correct=50652 | train_total=60000 | val_loss=0.4739109 | val_acc=83.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.440043 | train_acc=84.581667% | train_correct=50749 | train_total=60000 | val_loss=0.4694782 | val_acc=83.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.434104 | train_acc=84.763333% | train_correct=50858 | train_total=60000 | val_loss=0.4642239 | val_acc=83.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.429086 | train_acc=84.993333% | train_correct=50996 | train_total=60000 | val_loss=0.4595401 | val_acc=83.5400000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.424287 | train_acc=85.158333% | train_correct=51095 | train_total=60000 | val_loss=0.4554308 | val_acc=83.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.419805 | train_acc=85.238333% | train_correct=51143 | train_total=60000 | val_loss=0.4517436 | val_acc=83.7800000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.415395 | train_acc=85.481667% | train_correct=51289 | train_total=60000 | val_loss=0.4482254 | val_acc=84.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.411307 | train_acc=85.620000% | train_correct=51372 | train_total=60000 | val_loss=0.4450027 | val_acc=83.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.407944 | train_acc=85.670000% | train_correct=51402 | train_total=60000 | val_loss=0.4416460 | val_acc=84.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.404535 | train_acc=85.810000% | train_correct=51486 | train_total=60000 | val_loss=0.4376608 | val_acc=84.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.400525 | train_acc=85.875000% | train_correct=51525 | train_total=60000 | val_loss=0.4353284 | val_acc=84.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.397212 | train_acc=86.056667% | train_correct=51634 | train_total=60000 | val_loss=0.4313957 | val_acc=84.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.394310 | train_acc=86.133333% | train_correct=51680 | train_total=60000 | val_loss=0.4297810 | val_acc=84.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.391272 | train_acc=86.313333% | train_correct=51788 | train_total=60000 | val_loss=0.4267636 | val_acc=84.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.388529 | train_acc=86.410000% | train_correct=51846 | train_total=60000 | val_loss=0.4242197 | val_acc=84.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.385668 | train_acc=86.483333% | train_correct=51890 | train_total=60000 | val_loss=0.4224960 | val_acc=84.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.382937 | train_acc=86.586667% | train_correct=51952 | train_total=60000 | val_loss=0.4198325 | val_acc=84.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.380324 | train_acc=86.586667% | train_correct=51952 | train_total=60000 | val_loss=0.4192705 | val_acc=84.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.377798 | train_acc=86.756667% | train_correct=52054 | train_total=60000 | val_loss=0.4156475 | val_acc=85.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.375330 | train_acc=86.830000% | train_correct=52098 | train_total=60000 | val_loss=0.4154120 | val_acc=85.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.373102 | train_acc=86.901667% | train_correct=52141 | train_total=60000 | val_loss=0.4114301 | val_acc=85.2800000% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.370818 | train_acc=86.941667% | train_correct=52165 | train_total=60000 | val_loss=0.4097632 | val_acc=85.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.368836 | train_acc=86.961667% | train_correct=52177 | train_total=60000 | val_loss=0.4078377 | val_acc=85.3800000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.366868 | train_acc=87.055000% | train_correct=52233 | train_total=60000 | val_loss=0.4062520 | val_acc=85.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.364401 | train_acc=87.163333% | train_correct=52298 | train_total=60000 | val_loss=0.4058185 | val_acc=85.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.362271 | train_acc=87.245000% | train_correct=52347 | train_total=60000 | val_loss=0.4041336 | val_acc=85.5400000% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.360446 | train_acc=87.286667% | train_correct=52372 | train_total=60000 | val_loss=0.4018280 | val_acc=85.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.358363 | train_acc=87.363333% | train_correct=52418 | train_total=60000 | val_loss=0.4006310 | val_acc=85.6300000% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.356062 | train_acc=87.458333% | train_correct=52475 | train_total=60000 | val_loss=0.3982429 | val_acc=85.7900000% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.354567 | train_acc=87.498333% | train_correct=52499 | train_total=60000 | val_loss=0.3969773 | val_acc=85.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.352709 | train_acc=87.608333% | train_correct=52565 | train_total=60000 | val_loss=0.3958013 | val_acc=85.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.351114 | train_acc=87.620000% | train_correct=52572 | train_total=60000 | val_loss=0.3956751 | val_acc=85.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.349626 | train_acc=87.693333% | train_correct=52616 | train_total=60000 | val_loss=0.3933653 | val_acc=85.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.347812 | train_acc=87.678333% | train_correct=52607 | train_total=60000 | val_loss=0.3923495 | val_acc=86.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.346166 | train_acc=87.790000% | train_correct=52674 | train_total=60000 | val_loss=0.3929558 | val_acc=85.8200000% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.344689 | train_acc=87.871667% | train_correct=52723 | train_total=60000 | val_loss=0.3893487 | val_acc=86.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.342689 | train_acc=87.880000% | train_correct=52728 | train_total=60000 | val_loss=0.3894016 | val_acc=86.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.341269 | train_acc=87.965000% | train_correct=52779 | train_total=60000 | val_loss=0.3877952 | val_acc=86.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.339621 | train_acc=88.000000% | train_correct=52800 | train_total=60000 | val_loss=0.3866632 | val_acc=86.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.338087 | train_acc=88.086667% | train_correct=52852 | train_total=60000 | val_loss=0.3850160 | val_acc=86.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.336596 | train_acc=88.131667% | train_correct=52879 | train_total=60000 | val_loss=0.3846395 | val_acc=86.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.335455 | train_acc=88.133333% | train_correct=52880 | train_total=60000 | val_loss=0.3840643 | val_acc=86.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.333835 | train_acc=88.160000% | train_correct=52896 | train_total=60000 | val_loss=0.3830801 | val_acc=86.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.332528 | train_acc=88.236667% | train_correct=52942 | train_total=60000 | val_loss=0.3823483 | val_acc=86.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.331020 | train_acc=88.285000% | train_correct=52971 | train_total=60000 | val_loss=0.3795858 | val_acc=86.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.329872 | train_acc=88.328333% | train_correct=52997 | train_total=60000 | val_loss=0.3790757 | val_acc=86.6400000% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.328646 | train_acc=88.423333% | train_correct=53054 | train_total=60000 | val_loss=0.3789137 | val_acc=86.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.326835 | train_acc=88.435000% | train_correct=53061 | train_total=60000 | val_loss=0.3776682 | val_acc=86.5500000% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.325619 | train_acc=88.470000% | train_correct=53082 | train_total=60000 | val_loss=0.3769919 | val_acc=86.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.324668 | train_acc=88.536667% | train_correct=53122 | train_total=60000 | val_loss=0.3769620 | val_acc=86.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.323219 | train_acc=88.608333% | train_correct=53165 | train_total=60000 | val_loss=0.3746036 | val_acc=86.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.321990 | train_acc=88.601667% | train_correct=53161 | train_total=60000 | val_loss=0.3750531 | val_acc=86.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.320886 | train_acc=88.663333% | train_correct=53198 | train_total=60000 | val_loss=0.3734338 | val_acc=86.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.320384 | train_acc=88.726667% | train_correct=53236 | train_total=60000 | val_loss=0.3757756 | val_acc=86.6300000% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.318280 | train_acc=88.690000% | train_correct=53214 | train_total=60000 | val_loss=0.3725548 | val_acc=86.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 68] train_loss=0.317412 | train_acc=88.798333% | train_correct=53279 | train_total=60000 | val_loss=0.3710513 | val_acc=86.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 69] train_loss=0.316204 | train_acc=88.835000% | train_correct=53301 | train_total=60000 | val_loss=0.3707677 | val_acc=86.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 70] train_loss=0.314971 | train_acc=88.913333% | train_correct=53348 | train_total=60000 | val_loss=0.3692082 | val_acc=86.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 71] train_loss=0.313534 | train_acc=88.916667% | train_correct=53350 | train_total=60000 | val_loss=0.3689066 | val_acc=86.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 72] train_loss=0.312251 | train_acc=89.025000% | train_correct=53415 | train_total=60000 | val_loss=0.3689117 | val_acc=86.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 73] train_loss=0.311236 | train_acc=89.081667% | train_correct=53449 | train_total=60000 | val_loss=0.3676106 | val_acc=86.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 74] train_loss=0.310238 | train_acc=89.060000% | train_correct=53436 | train_total=60000 | val_loss=0.3667147 | val_acc=87.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 75] train_loss=0.308905 | train_acc=89.100000% | train_correct=53460 | train_total=60000 | val_loss=0.3666983 | val_acc=87.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 76] train_loss=0.307951 | train_acc=89.141667% | train_correct=53485 | train_total=60000 | val_loss=0.3676747 | val_acc=87.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 77] train_loss=0.306864 | train_acc=89.163333% | train_correct=53498 | train_total=60000 | val_loss=0.3649291 | val_acc=86.9900000% | interpolacja=False | soft_intepolacja=False
[Epoch 78] train_loss=0.305893 | train_acc=89.230000% | train_correct=53538 | train_total=60000 | val_loss=0.3652040 | val_acc=87.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 79] train_loss=0.304678 | train_acc=89.233333% | train_correct=53540 | train_total=60000 | val_loss=0.3641040 | val_acc=87.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 80] train_loss=0.304273 | train_acc=89.221667% | train_correct=53533 | train_total=60000 | val_loss=0.3626101 | val_acc=87.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 81] train_loss=0.302635 | train_acc=89.350000% | train_correct=53610 | train_total=60000 | val_loss=0.3633940 | val_acc=87.0500000% | interpolacja=False | soft_intepolacja=False
[Epoch 82] train_loss=0.301869 | train_acc=89.346667% | train_correct=53608 | train_total=60000 | val_loss=0.3611115 | val_acc=87.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 83] train_loss=0.300433 | train_acc=89.430000% | train_correct=53658 | train_total=60000 | val_loss=0.3613113 | val_acc=87.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 84] train_loss=0.299963 | train_acc=89.421667% | train_correct=53653 | train_total=60000 | val_loss=0.3611229 | val_acc=87.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 85] train_loss=0.298574 | train_acc=89.480000% | train_correct=53688 | train_total=60000 | val_loss=0.3604766 | val_acc=87.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 86] train_loss=0.297951 | train_acc=89.466667% | train_correct=53680 | train_total=60000 | val_loss=0.3629926 | val_acc=87.3500000% | interpolacja=False | soft_intepolacja=False
[Epoch 87] train_loss=0.297007 | train_acc=89.560000% | train_correct=53736 | train_total=60000 | val_loss=0.3588760 | val_acc=87.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 88] train_loss=0.296076 | train_acc=89.601667% | train_correct=53761 | train_total=60000 | val_loss=0.3587396 | val_acc=87.2900000% | interpolacja=False | soft_intepolacja=False
[Epoch 89] train_loss=0.294699 | train_acc=89.613333% | train_correct=53768 | train_total=60000 | val_loss=0.3578977 | val_acc=87.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 90] train_loss=0.294103 | train_acc=89.656667% | train_correct=53794 | train_total=60000 | val_loss=0.3595600 | val_acc=87.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 91] train_loss=0.293073 | train_acc=89.741667% | train_correct=53845 | train_total=60000 | val_loss=0.3565141 | val_acc=87.3500000% | interpolacja=False | soft_intepolacja=False
