model_size | train_loss | val_loss | val_acc | epoch
10000 | 0.001253 | 0.4980874 | 0.9031 | 4236
2000 | 0.010465 | 0.4051272 | 0.9024 | 1263
3000 | 0.00272 | 0.4770906 | 0.902 | 2667
7500 | 0.011082 | 0.3878875 | 0.9016 | 1075
20000 | 0.001009 | 0.4993137 | 0.9013 | 4728
5000 | 0.001226 | 0.5125194 | 0.9009999999999999 | 4471
50000 | 0.000881 | 0.5027663 | 0.9007999999999999 | 4783
1500 | 0.008799 | 0.4267017 | 0.9006000000000001 | 1410
100000 | 0.000977 | 0.4978809 | 0.8998999999999999 | 3987
1000 | 0.010519 | 0.4312907 | 0.8987 | 1346
750 | 0.031352 | 0.3705078 | 0.8976999999999999 | 821
400 | 0.067768 | 0.3380728 | 0.8972 | 600
500 | 0.083634 | 0.3288237 | 0.897 | 508
250 | 0.10022 | 0.3390363 | 0.8948999999999999 | 506
175 | 0.103646 | 0.3385327 | 0.8948999999999999 | 527
300 | 0.030474 | 0.4211715 | 0.8942 | 968
200 | 0.093667 | 0.3489178 | 0.8918 | 563
150 | 0.110364 | 0.347411 | 0.8908 | 526
110 | 0.112461 | 0.3520704 | 0.8908 | 560
130 | 0.101307 | 0.3585296 | 0.8905 | 585
100 | 0.095249 | 0.3792993 | 0.8896 | 677
90 | 0.133704 | 0.3638192 | 0.8848999999999999 | 522
75 | 0.126179 | 0.3707933 | 0.8832 | 598
50 | 0.139436 | 0.3855996 | 0.8826 | 673
20 | 0.247001 | 0.3930366 | 0.8674 | 481
