model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
100000 | 0.000977 | 0.4978809 | 0.8998999999999999 | 3987 | 0.108496 | 0.3115031 | 0.8925 | 135
50000 | 0.000881 | 0.5027663 | 0.9007999999999999 | 4783 | 0.123826 | 0.3096217 | 0.8914 | 155
20000 | 0.001009 | 0.4993137 | 0.9013 | 4728 | 0.109706 | 0.3064485 | 0.893 | 229
10000 | 0.001253 | 0.4980874 | 0.9031 | 4236 | 0.128664 | 0.3036937 | 0.8941 | 229
7500 | 0.011082 | 0.3878875 | 0.9016 | 1075 | 0.13546 | 0.3045339 | 0.8920999999999999 | 229
5000 | 0.001226 | 0.5125194 | 0.9009999999999999 | 4471 | 0.116483 | 0.3040041 | 0.8937 | 285
3000 | 0.00272 | 0.4770906 | 0.902 | 2667 | 0.126789 | 0.3028375 | 0.8961 | 285
2000 | 0.010465 | 0.4051272 | 0.9024 | 1263 | 0.134856 | 0.303483 | 0.8951 | 285
1500 | 0.008799 | 0.4267017 | 0.9006000000000001 | 1410 | 0.139852 | 0.3039268 | 0.8931 | 285
1000 | 0.010519 | 0.4312907 | 0.8987 | 1346 | 0.147901 | 0.3072682 | 0.894 | 285
750 | 0.031352 | 0.3705078 | 0.8976999999999999 | 821 | 0.152276 | 0.3085378 | 0.8914 | 285
500 | 0.083634 | 0.3288237 | 0.897 | 508 | 0.159013 | 0.3102935 | 0.8909 | 285
400 | 0.067768 | 0.3380728 | 0.8972 | 600 | 0.162222 | 0.3117458 | 0.8925 | 285
300 | 0.030474 | 0.4211715 | 0.8942 | 968 | 0.167402 | 0.3184728 | 0.8878 | 285
250 | 0.10022 | 0.3390363 | 0.8948999999999999 | 506 | 0.173314 | 0.3189793 | 0.8896 | 285
200 | 0.093667 | 0.3489178 | 0.8918 | 563 | 0.176706 | 0.3205572 | 0.8875 | 285
175 | 0.103646 | 0.3385327 | 0.8948999999999999 | 527 | 0.178441 | 0.3206034 | 0.8896999999999999 | 285
150 | 0.110364 | 0.347411 | 0.8908 | 526 | 0.183926 | 0.3260064 | 0.8865000000000001 | 285
130 | 0.101307 | 0.3585296 | 0.8905 | 585 | 0.187795 | 0.3307018 | 0.8839 | 285
110 | 0.112461 | 0.3520704 | 0.8908 | 560 | 0.199818 | 0.326614 | 0.8845000000000001 | 259
100 | 0.095249 | 0.3792993 | 0.8896 | 677 | 0.205296 | 0.3305601 | 0.8841 | 259
90 | 0.133704 | 0.3638192 | 0.8848999999999999 | 522 | 0.210005 | 0.339199 | 0.8798999999999999 | 259
75 | 0.126179 | 0.3707933 | 0.8832 | 598 | 0.213037 | 0.3374726 | 0.8814 | 259
50 | 0.139436 | 0.3855996 | 0.8826 | 673 | 0.214287 | 0.3466574 | 0.8782 | 309
20 | 0.247001 | 0.3930366 | 0.8674 | 481 | 0.283395 | 0.3831474 | 0.8642 | 259
