model_size | train_loss | val_loss | val_acc | epoch
100000 | 0.108496 | 0.3115031 | 0.8925 | 135
50000 | 0.123826 | 0.3096217 | 0.8914 | 155
20000 | 0.109706 | 0.3064485 | 0.893 | 229
10000 | 0.128664 | 0.3036937 | 0.8941 | 229
7500 | 0.13546 | 0.3045339 | 0.8920999999999999 | 229
5000 | 0.116483 | 0.3040041 | 0.8937 | 285
3000 | 0.126789 | 0.3028375 | 0.8961 | 285
2000 | 0.134856 | 0.303483 | 0.8951 | 285
1500 | 0.139852 | 0.3039268 | 0.8931 | 285
1000 | 0.147901 | 0.3072682 | 0.894 | 285
750 | 0.152276 | 0.3085378 | 0.8914 | 285
500 | 0.159013 | 0.3102935 | 0.8909 | 285
400 | 0.162222 | 0.3117458 | 0.8925 | 285
300 | 0.167402 | 0.3184728 | 0.8878 | 285
250 | 0.173314 | 0.3189793 | 0.8896 | 285
200 | 0.176706 | 0.3205572 | 0.8875 | 285
175 | 0.178441 | 0.3206034 | 0.8896999999999999 | 285
150 | 0.183926 | 0.3260064 | 0.8865000000000001 | 285
130 | 0.187795 | 0.3307018 | 0.8839 | 285
110 | 0.199818 | 0.326614 | 0.8845000000000001 | 259
100 | 0.205296 | 0.3305601 | 0.8841 | 259
90 | 0.210005 | 0.339199 | 0.8798999999999999 | 259
75 | 0.213037 | 0.3374726 | 0.8814 | 259
50 | 0.214287 | 0.3466574 | 0.8782 | 309
20 | 0.283395 | 0.3831474 | 0.8642 | 259
