Using device: cuda, type: cuda
Model: MLP(hidden=130, num_classes=10)
dataset=fashion | hidden=130 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_fashion_hidden130.txt | cpu=None | model_name=MLP
[Epoch 01] train_loss=1.293272 | train_acc=63.901667% | train_correct=38341 | train_total=60000 | val_loss=0.8351717 | val_acc=72.9400000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.725693 | train_acc=75.683333% | train_correct=45410 | train_total=60000 | val_loss=0.6787991 | val_acc=76.0700000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.627868 | train_acc=78.268333% | train_correct=46961 | train_total=60000 | val_loss=0.6197336 | val_acc=77.9400000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.579608 | train_acc=79.821667% | train_correct=47893 | train_total=60000 | val_loss=0.5852434 | val_acc=79.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.548164 | train_acc=80.935000% | train_correct=48561 | train_total=60000 | val_loss=0.5611056 | val_acc=80.1300000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.525716 | train_acc=81.596667% | train_correct=48958 | train_total=60000 | val_loss=0.5427921 | val_acc=80.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.508519 | train_acc=82.248333% | train_correct=49349 | train_total=60000 | val_loss=0.5283205 | val_acc=81.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.494613 | train_acc=82.748333% | train_correct=49649 | train_total=60000 | val_loss=0.5184373 | val_acc=81.6400000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.483392 | train_acc=83.106667% | train_correct=49864 | train_total=60000 | val_loss=0.5088548 | val_acc=81.8600000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.473660 | train_acc=83.475000% | train_correct=50085 | train_total=60000 | val_loss=0.5005042 | val_acc=82.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.464962 | train_acc=83.721667% | train_correct=50233 | train_total=60000 | val_loss=0.4926899 | val_acc=82.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.457603 | train_acc=83.991667% | train_correct=50395 | train_total=60000 | val_loss=0.4867757 | val_acc=82.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.450802 | train_acc=84.240000% | train_correct=50544 | train_total=60000 | val_loss=0.4803596 | val_acc=82.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.445099 | train_acc=84.423333% | train_correct=50654 | train_total=60000 | val_loss=0.4758380 | val_acc=83.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.439199 | train_acc=84.681667% | train_correct=50809 | train_total=60000 | val_loss=0.4710732 | val_acc=83.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.434370 | train_acc=84.818333% | train_correct=50891 | train_total=60000 | val_loss=0.4664544 | val_acc=83.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.429724 | train_acc=85.011667% | train_correct=51007 | train_total=60000 | val_loss=0.4628072 | val_acc=83.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.425436 | train_acc=85.028333% | train_correct=51017 | train_total=60000 | val_loss=0.4591118 | val_acc=83.5900000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.421105 | train_acc=85.353333% | train_correct=51212 | train_total=60000 | val_loss=0.4557911 | val_acc=83.8500000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.417217 | train_acc=85.483333% | train_correct=51290 | train_total=60000 | val_loss=0.4528955 | val_acc=83.8300000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.413985 | train_acc=85.545000% | train_correct=51327 | train_total=60000 | val_loss=0.4496928 | val_acc=83.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.410695 | train_acc=85.618333% | train_correct=51371 | train_total=60000 | val_loss=0.4459342 | val_acc=84.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.406794 | train_acc=85.778333% | train_correct=51467 | train_total=60000 | val_loss=0.4433978 | val_acc=84.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.403620 | train_acc=85.813333% | train_correct=51488 | train_total=60000 | val_loss=0.4397124 | val_acc=84.3500000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.400740 | train_acc=85.948333% | train_correct=51569 | train_total=60000 | val_loss=0.4380935 | val_acc=84.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.397813 | train_acc=86.013333% | train_correct=51608 | train_total=60000 | val_loss=0.4350886 | val_acc=84.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.395131 | train_acc=86.150000% | train_correct=51690 | train_total=60000 | val_loss=0.4325566 | val_acc=84.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.392251 | train_acc=86.210000% | train_correct=51726 | train_total=60000 | val_loss=0.4307990 | val_acc=84.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.389512 | train_acc=86.360000% | train_correct=51816 | train_total=60000 | val_loss=0.4281720 | val_acc=84.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.386864 | train_acc=86.328333% | train_correct=51797 | train_total=60000 | val_loss=0.4274282 | val_acc=84.7100000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.384314 | train_acc=86.510000% | train_correct=51906 | train_total=60000 | val_loss=0.4240417 | val_acc=84.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.381843 | train_acc=86.566667% | train_correct=51940 | train_total=60000 | val_loss=0.4234876 | val_acc=84.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.379702 | train_acc=86.650000% | train_correct=51990 | train_total=60000 | val_loss=0.4198884 | val_acc=84.9100000% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.377374 | train_acc=86.728333% | train_correct=52037 | train_total=60000 | val_loss=0.4184030 | val_acc=85.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.375463 | train_acc=86.770000% | train_correct=52062 | train_total=60000 | val_loss=0.4164741 | val_acc=84.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.373604 | train_acc=86.823333% | train_correct=52094 | train_total=60000 | val_loss=0.4147572 | val_acc=85.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.371111 | train_acc=86.948333% | train_correct=52169 | train_total=60000 | val_loss=0.4149259 | val_acc=85.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.368991 | train_acc=87.018333% | train_correct=52211 | train_total=60000 | val_loss=0.4130948 | val_acc=85.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.367280 | train_acc=87.091667% | train_correct=52255 | train_total=60000 | val_loss=0.4108833 | val_acc=85.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.365192 | train_acc=87.095000% | train_correct=52257 | train_total=60000 | val_loss=0.4094406 | val_acc=85.3000000% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.362911 | train_acc=87.231667% | train_correct=52339 | train_total=60000 | val_loss=0.4071517 | val_acc=85.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.361482 | train_acc=87.336667% | train_correct=52402 | train_total=60000 | val_loss=0.4059316 | val_acc=85.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.359650 | train_acc=87.373333% | train_correct=52424 | train_total=60000 | val_loss=0.4049923 | val_acc=85.5900000% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.358078 | train_acc=87.418333% | train_correct=52451 | train_total=60000 | val_loss=0.4048596 | val_acc=85.6800000% | interpolacja=False | soft_intepolacja=False
