model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
100000 | 0.000487 | 0.0698842 | 0.9828 | 569 | 0.005188 | 0.0634226 | 0.9815 | 84
50000 | 2.4e-05 | 0.0827444 | 0.9832 | 9157 | 0.006777 | 0.0620085 | 0.9813 | 88
20000 | 0.000237 | 0.0707833 | 0.9831 | 1329 | 0.006164 | 0.0605055 | 0.9818000000000001 | 116
10000 | 0.000472 | 0.065759 | 0.9839 | 802 | 0.005568 | 0.0579291 | 0.9826999999999999 | 138
7500 | 3.7e-05 | 0.0786944 | 0.9838 | 6949 | 0.007308 | 0.0575552 | 0.9826 | 122
5000 | 0.00159 | 0.0598762 | 0.9838 | 339 | 0.007141 | 0.0569556 | 0.9825 | 130
3000 | 0.00044 | 0.0634296 | 0.9845 | 911 | 0.008048 | 0.0549402 | 0.9826 | 128
2000 | 0.000147 | 0.0742672 | 0.9834 | 2239 | 0.009985 | 0.05748 | 0.9821 | 118
1500 | 7.7e-05 | 0.0788881 | 0.9843999999999999 | 3881 | 0.008378 | 0.0577125 | 0.9826999999999999 | 133
1000 | 4.6e-05 | 0.0855195 | 0.9839 | 6051 | 0.008269 | 0.0582105 | 0.9823000000000001 | 139
750 | 3.2e-05 | 0.0864138 | 0.9834999999999999 | 8393 | 0.008144 | 0.0569649 | 0.9815999999999999 | 144
500 | 0.000494 | 0.0707948 | 0.9839 | 902 | 0.010774 | 0.0587747 | 0.9825 | 127
400 | 0.000191 | 0.0782435 | 0.9834999999999999 | 1928 | 0.010895 | 0.0576336 | 0.9821 | 128
300 | 3.1e-05 | 0.1051003 | 0.9826 | 9117 | 0.016475 | 0.0633556 | 0.9809 | 105
250 | 0.001156 | 0.0748304 | 0.9823999999999999 | 522 | 0.012728 | 0.0625784 | 0.9804999999999999 | 127
200 | 9.7e-05 | 0.1091603 | 0.9798 | 3623 | 0.015162 | 0.0680798 | 0.9787 | 118
175 | 0.001928 | 0.0706618 | 0.9822 | 391 | 0.011498 | 0.062964 | 0.9806 | 141
150 | 0.004356 | 0.0785318 | 0.9795 | 255 | 0.016182 | 0.0716667 | 0.9793000000000001 | 123
130 | 0.00447 | 0.0765441 | 0.98 | 252 | 0.014553 | 0.0692894 | 0.9792000000000001 | 131
110 | 0.001794 | 0.0909691 | 0.9801000000000001 | 465 | 0.022714 | 0.073559 | 0.9779000000000001 | 108
100 | 0.012881 | 0.0700829 | 0.9806999999999999 | 159 | 0.018862 | 0.0682332 | 0.9793000000000001 | 125
90 | 0.005079 | 0.0855316 | 0.9788 | 267 | 0.018798 | 0.076331 | 0.9781 | 131
75 | 0.007003 | 0.0867323 | 0.9783 | 242 | 0.029559 | 0.0799309 | 0.9758 | 104
50 | 0.02636 | 0.0851189 | 0.9762000000000001 | 133 | 0.033683 | 0.0831397 | 0.9758 | 110
20 | 0.089359 | 0.1361228 | 0.9632999999999999 | 117 | 0.090725 | 0.1333022 | 0.9615 | 109
