Using device: cuda, type: cuda
Model: MLP(hidden=250, num_classes=47)
dataset=emnist_balanced | hidden=250 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_emnist_balanced_hidden_250.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=3.688454 | train_acc=14.046099% | train_correct=15844 | train_total=112800 | val_loss=3.3521359 | val_acc=29.5585106% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=2.668688 | train_acc=40.835106% | train_correct=46062 | train_total=112800 | val_loss=2.0610612 | val_acc=50.1223404% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.759492 | train_acc=54.393617% | train_correct=61356 | train_total=112800 | val_loss=1.5777920 | val_acc=56.7978723% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.475533 | train_acc=59.153369% | train_correct=66725 | train_total=112800 | val_loss=1.4171906 | val_acc=60.2234043% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.359801 | train_acc=61.783688% | train_correct=69692 | train_total=112800 | val_loss=1.3331016 | val_acc=62.1329787% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=1.291802 | train_acc=63.565603% | train_correct=71702 | train_total=112800 | val_loss=1.2827621 | val_acc=63.4574468% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=1.242592 | train_acc=64.773936% | train_correct=73065 | train_total=112800 | val_loss=1.2395817 | val_acc=64.7234043% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=1.202025 | train_acc=65.920213% | train_correct=74358 | train_total=112800 | val_loss=1.2043299 | val_acc=65.4627660% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=1.165612 | train_acc=66.830674% | train_correct=75385 | train_total=112800 | val_loss=1.1727886 | val_acc=66.5159574% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=1.132252 | train_acc=67.796986% | train_correct=76475 | train_total=112800 | val_loss=1.1409141 | val_acc=67.0851064% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=1.100985 | train_acc=68.601064% | train_correct=77382 | train_total=112800 | val_loss=1.1122972 | val_acc=68.1808511% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=1.069306 | train_acc=69.382979% | train_correct=78264 | train_total=112800 | val_loss=1.0824179 | val_acc=68.6223404% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=1.039382 | train_acc=70.195922% | train_correct=79181 | train_total=112800 | val_loss=1.0530744 | val_acc=69.6170213% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=1.009357 | train_acc=71.038121% | train_correct=80131 | train_total=112800 | val_loss=1.0280378 | val_acc=70.2819149% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.980313 | train_acc=71.829787% | train_correct=81024 | train_total=112800 | val_loss=1.0010800 | val_acc=71.0585106% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.952495 | train_acc=72.546099% | train_correct=81832 | train_total=112800 | val_loss=0.9712808 | val_acc=72.0319149% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.925526 | train_acc=73.242021% | train_correct=82617 | train_total=112800 | val_loss=0.9470683 | val_acc=72.6489362% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.899899 | train_acc=73.976064% | train_correct=83445 | train_total=112800 | val_loss=0.9228382 | val_acc=73.5319149% | interpolacja=False | soft_intepolacja=False
