model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
3000 | 0.175079 | 0.4393672 | 0.862180851 | 191 | 0.22142 | 0.4324535 | 0.8603191490000001 | 151
2000 | 0.248294 | 0.4348925 | 0.860265957 | 142 | 0.229919 | 0.433159 | 0.8599468090000001 | 156
1500 | 0.18153 | 0.441488 | 0.8625 | 209 | 0.238692 | 0.4337787 | 0.8605319149999999 | 156
1000 | 0.22653 | 0.437326 | 0.860957447 | 178 | 0.216307 | 0.4353875 | 0.859468085 | 188
750 | 0.189957 | 0.4529141 | 0.8584574469999999 | 228 | 0.236389 | 0.4419368 | 0.854734043 | 180
500 | 0.22353 | 0.450381 | 0.857234043 | 208 | 0.250986 | 0.4465141 | 0.852978723 | 180
400 | 0.192744 | 0.4697339 | 0.856808511 | 262 | 0.263269 | 0.4520634 | 0.853351064 | 179
300 | 0.221765 | 0.4620709 | 0.856968085 | 240 | 0.273148 | 0.4498308 | 0.854574468 | 179
250 | 0.233778 | 0.4658248 | 0.855212766 | 239 | 0.274023 | 0.4576856 | 0.8521276600000001 | 188
200 | 0.260671 | 0.4762431 | 0.8522340429999999 | 225 | 0.284369 | 0.4705589 | 0.849521277 | 195
175 | 0.255439 | 0.4805987 | 0.8511702130000001 | 244 | 0.304167 | 0.4715727 | 0.846968085 | 179
150 | 0.272199 | 0.4901454 | 0.848617021 | 239 | 0.317891 | 0.4835183 | 0.846968085 | 177
130 | 0.317976 | 0.4852179 | 0.847393617 | 186 | 0.310132 | 0.4847876 | 0.846276596 | 195
110 | 0.320369 | 0.4947417 | 0.845904255 | 209 | 0.321413 | 0.4932539 | 0.843882979 | 208
100 | 0.330309 | 0.4997445 | 0.843031915 | 209 | 0.336918 | 0.4963351 | 0.8410106380000001 | 199
90 | 0.311724 | 0.5006538 | 0.8427127659999999 | 257 | 0.33555 | 0.4994796 | 0.841223404 | 215
75 | 0.319907 | 0.5233012 | 0.838829787 | 285 | 0.338158 | 0.5171021 | 0.8368617020000001 | 247
50 | 0.35363 | 0.5545383 | 0.831276596 | 408 | 0.388607 | 0.5433541 | 0.828989362 | 281
20 | 0.563924 | 0.6915685 | 0.794148936 | 663 | 0.556323 | 0.6885371 | 0.793723404 | 801
