Using device: cuda, type: cuda
Model: MLP(hidden=150, num_classes=62)
dataset=emnist_byclass | hidden=150 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_emnist_byclass_hidden_150.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=1.882901 | train_acc=53.220801% | train_correct=371445 | train_total=697932 | val_loss=1.2160317 | val_acc=65.4874788% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.109012 | train_acc=68.328576% | train_correct=476887 | train_total=697932 | val_loss=1.0145754 | val_acc=70.8819408% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.960811 | train_acc=72.048710% | train_correct=502851 | train_total=697932 | val_loss=0.9012879 | val_acc=73.6045322% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.859470 | train_acc=74.570159% | train_correct=520449 | train_total=697932 | val_loss=0.8112991 | val_acc=75.8783732% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.785090 | train_acc=76.420052% | train_correct=533360 | train_total=697932 | val_loss=0.7506068 | val_acc=77.3501371% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.730132 | train_acc=77.740095% | train_correct=542573 | train_total=697932 | val_loss=0.7035379 | val_acc=78.5382083% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.688340 | train_acc=78.746783% | train_correct=549599 | train_total=697932 | val_loss=0.6671463 | val_acc=79.3437239% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.656109 | train_acc=79.486254% | train_correct=554760 | train_total=697932 | val_loss=0.6404407 | val_acc=80.0417802% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.630381 | train_acc=80.109380% | train_correct=559109 | train_total=697932 | val_loss=0.6193470 | val_acc=80.4656001% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.609267 | train_acc=80.596534% | train_correct=562509 | train_total=697932 | val_loss=0.6022752 | val_acc=80.8696474% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.591878 | train_acc=81.025802% | train_correct=565505 | train_total=697932 | val_loss=0.5853994 | val_acc=81.2117982% | interpolacja=False | soft_intepolacja=False
