Using device: cuda, type: cuda
Model: MLP(hidden=110, num_classes=10)
dataset=fashion | hidden=110 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_fashion_hidden_110.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=1.802850 | train_acc=50.118333% | train_correct=30071 | train_total=60000 | val_loss=1.1306861 | val_acc=70.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.870568 | train_acc=72.948333% | train_correct=43769 | train_total=60000 | val_loss=0.7469973 | val_acc=74.3600000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.680164 | train_acc=75.878333% | train_correct=45527 | train_total=60000 | val_loss=0.6571788 | val_acc=76.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.614205 | train_acc=77.938333% | train_correct=46763 | train_total=60000 | val_loss=0.6106153 | val_acc=77.9400000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.572950 | train_acc=79.486667% | train_correct=47692 | train_total=60000 | val_loss=0.5792308 | val_acc=79.3500000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.542477 | train_acc=80.661667% | train_correct=48397 | train_total=60000 | val_loss=0.5543437 | val_acc=80.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.519305 | train_acc=81.616667% | train_correct=48970 | train_total=60000 | val_loss=0.5359679 | val_acc=81.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.501267 | train_acc=82.290000% | train_correct=49374 | train_total=60000 | val_loss=0.5200176 | val_acc=81.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.486233 | train_acc=82.711667% | train_correct=49627 | train_total=60000 | val_loss=0.5086545 | val_acc=81.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.473807 | train_acc=83.253333% | train_correct=49952 | train_total=60000 | val_loss=0.4990600 | val_acc=82.0500000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.463926 | train_acc=83.648333% | train_correct=50189 | train_total=60000 | val_loss=0.4963391 | val_acc=82.1300000% | interpolacja=False | soft_intepolacja=False
