model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
10000 | 0.001792 | 0.5192374 | 0.9007999999999999 | 710 | 0.140299 | 0.311472 | 0.8917 | 105
7500 | 0.002876 | 0.4958332 | 0.9001 | 567 | 0.152412 | 0.3116856 | 0.8905 | 105
5000 | 0.00017 | 0.6875481 | 0.8994 | 3292 | 0.147031 | 0.3142106 | 0.8909 | 118
3000 | 0.009142 | 0.4452804 | 0.9003 | 380 | 0.163349 | 0.3132749 | 0.8898999999999999 | 118
2000 | 0.008898 | 0.461301 | 0.8981999999999999 | 399 | 0.13056 | 0.3130805 | 0.8948999999999999 | 148
1500 | 0.066133 | 0.3454447 | 0.8965000000000001 | 221 | 0.141359 | 0.3147887 | 0.8941 | 148
1000 | 0.001208 | 0.6512687 | 0.8948 | 992 | 0.153469 | 0.3172628 | 0.8902 | 147
750 | 0.038075 | 0.4177478 | 0.8948 | 300 | 0.153671 | 0.3175939 | 0.8922 | 155
500 | 0.04992 | 0.4071878 | 0.8954000000000001 | 295 | 0.174198 | 0.3207314 | 0.8876000000000001 | 145
400 | 0.02125 | 0.4908327 | 0.8936 | 389 | 0.174363 | 0.3226038 | 0.8892 | 148
300 | 0.08908 | 0.3654724 | 0.8922 | 256 | 0.173252 | 0.3239147 | 0.8876000000000001 | 161
250 | 0.140294 | 0.3332077 | 0.8909999999999999 | 207 | 0.181696 | 0.3217629 | 0.889 | 161
200 | 0.116939 | 0.3588578 | 0.892 | 241 | 0.196032 | 0.3275426 | 0.8876000000000001 | 148
175 | 0.125149 | 0.3472433 | 0.8905 | 240 | 0.203866 | 0.3273412 | 0.8843000000000001 | 147
150 | 0.133794 | 0.3523495 | 0.8889 | 230 | 0.189534 | 0.332241 | 0.8855 | 161
130 | 0.135086 | 0.357548 | 0.8887999999999999 | 241 | 0.196414 | 0.3296717 | 0.8854000000000001 | 161
110 | 0.157253 | 0.3450157 | 0.8881 | 230 | 0.218725 | 0.332986 | 0.8839 | 147
100 | 0.148997 | 0.3507542 | 0.8863 | 241 | 0.20965 | 0.3323311 | 0.8837999999999999 | 155
90 | 0.18146 | 0.3477169 | 0.8876999999999999 | 202 | 0.213079 | 0.3378701 | 0.8834000000000001 | 161
75 | 0.167688 | 0.3483588 | 0.8865999999999999 | 240 | 0.218646 | 0.3372011 | 0.8845000000000001 | 161
50 | 0.180979 | 0.3592279 | 0.8831 | 259 | 0.232826 | 0.3428653 | 0.8823000000000001 | 161
20 | 0.240804 | 0.3690816 | 0.8752 | 273 | 0.264081 | 0.3644237 | 0.8722 | 203
