Using device: cuda, type: cuda
Model: MLP(hidden=3000, num_classes=10)
dataset=mnist | hidden=3000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_mnist_hidden_3000.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=1.308379 | train_acc=71.250000% | train_correct=42750 | train_total=60000 | val_loss=0.6287101 | val_acc=86.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.516982 | train_acc=87.038333% | train_correct=52223 | train_total=60000 | val_loss=0.4162790 | val_acc=89.0100000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.400910 | train_acc=89.011667% | train_correct=53407 | train_total=60000 | val_loss=0.3552687 | val_acc=90.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.356417 | train_acc=89.860000% | train_correct=53916 | train_total=60000 | val_loss=0.3257138 | val_acc=90.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.330864 | train_acc=90.495000% | train_correct=54297 | train_total=60000 | val_loss=0.3071022 | val_acc=91.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.312149 | train_acc=91.033333% | train_correct=54620 | train_total=60000 | val_loss=0.2908099 | val_acc=91.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.297869 | train_acc=91.423333% | train_correct=54854 | train_total=60000 | val_loss=0.2816979 | val_acc=92.0600000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.286447 | train_acc=91.775000% | train_correct=55065 | train_total=60000 | val_loss=0.2712924 | val_acc=92.1700000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.275989 | train_acc=92.078333% | train_correct=55247 | train_total=60000 | val_loss=0.2655363 | val_acc=92.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.266899 | train_acc=92.285000% | train_correct=55371 | train_total=60000 | val_loss=0.2528972 | val_acc=92.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.257401 | train_acc=92.668333% | train_correct=55601 | train_total=60000 | val_loss=0.2478927 | val_acc=92.8200000% | interpolacja=False | soft_intepolacja=False
