model_size | train_loss | val_loss | val_acc | epoch
7500 | 0.000361 | 0.0725174 | 0.9834999999999999 | 1286
10000 | 0.000289 | 0.0732273 | 0.9831 | 1499
5000 | 0.000804 | 0.0692468 | 0.9831 | 764
1000 | 0.000271 | 0.078362 | 0.9828 | 1603
1500 | 9.4e-05 | 0.0896524 | 0.982 | 3458
3000 | 0.000915 | 0.0694802 | 0.9819 | 713
2000 | 0.00309 | 0.0644156 | 0.9819 | 378
750 | 0.000828 | 0.0788955 | 0.9819 | 808
400 | 0.001895 | 0.0762198 | 0.9819 | 534
500 | 0.000386 | 0.0856375 | 0.9815 | 1321
250 | 0.00186 | 0.0840944 | 0.9808 | 587
300 | 0.006914 | 0.0696244 | 0.9806 | 311
130 | 0.000669 | 0.1006135 | 0.9798 | 1111
200 | 0.001325 | 0.0918172 | 0.9795999999999999 | 703
150 | 0.000916 | 0.0993242 | 0.9793000000000001 | 921
175 | 0.001842 | 0.0875181 | 0.9787 | 598
100 | 0.010558 | 0.0807133 | 0.9784999999999999 | 339
110 | 0.01367 | 0.0787747 | 0.9781 | 301
90 | 0.016896 | 0.0778576 | 0.9781 | 282
75 | 0.004835 | 0.1026268 | 0.9767 | 511
50 | 0.026091 | 0.0915873 | 0.975 | 287
20 | 0.060809 | 0.1246445 | 0.9645999999999999 | 302
