model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
10000 | 0.000289 | 0.0732273 | 0.9831 | 1499 | 0.008297 | 0.060491 | 0.9813 | 199
7500 | 0.000361 | 0.0725174 | 0.9834999999999999 | 1286 | 0.007813 | 0.0603877 | 0.9821 | 215
5000 | 0.000804 | 0.0692468 | 0.9831 | 764 | 0.007045 | 0.0607856 | 0.9821 | 239
3000 | 0.000915 | 0.0694802 | 0.9819 | 713 | 0.009987 | 0.0609494 | 0.9811 | 215
2000 | 0.00309 | 0.0644156 | 0.9819 | 378 | 0.008637 | 0.0614805 | 0.9809 | 239
1500 | 9.4e-05 | 0.0896524 | 0.982 | 3458 | 0.008839 | 0.0634482 | 0.9806 | 239
1000 | 0.000271 | 0.078362 | 0.9828 | 1603 | 0.00912 | 0.0607109 | 0.9813 | 246
750 | 0.000828 | 0.0788955 | 0.9819 | 808 | 0.01064 | 0.0656915 | 0.9803000000000001 | 239
500 | 0.000386 | 0.0856375 | 0.9815 | 1321 | 0.014089 | 0.0636094 | 0.98 | 215
400 | 0.001895 | 0.0762198 | 0.9819 | 534 | 0.017512 | 0.0667694 | 0.9801000000000001 | 199
300 | 0.006914 | 0.0696244 | 0.9806 | 311 | 0.012192 | 0.0672733 | 0.9792000000000001 | 244
250 | 0.00186 | 0.0840944 | 0.9808 | 587 | 0.018668 | 0.0698556 | 0.9790000000000001 | 215
200 | 0.001325 | 0.0918172 | 0.9795999999999999 | 703 | 0.014595 | 0.0735985 | 0.9782 | 244
175 | 0.001842 | 0.0875181 | 0.9787 | 598 | 0.014857 | 0.072205 | 0.9769 | 246
150 | 0.000916 | 0.0993242 | 0.9793000000000001 | 921 | 0.023245 | 0.0720908 | 0.9779000000000001 | 212
130 | 0.000669 | 0.1006135 | 0.9798 | 1111 | 0.018711 | 0.0705636 | 0.9783 | 239
110 | 0.01367 | 0.0787747 | 0.9781 | 301 | 0.022274 | 0.0764048 | 0.9773999999999999 | 239
100 | 0.010558 | 0.0807133 | 0.9784999999999999 | 339 | 0.026946 | 0.0737422 | 0.9776 | 215
90 | 0.016896 | 0.0778576 | 0.9781 | 282 | 0.026196 | 0.074907 | 0.9763 | 225
75 | 0.004835 | 0.1026268 | 0.9767 | 511 | 0.03336 | 0.0836311 | 0.9738 | 212
50 | 0.026091 | 0.0915873 | 0.975 | 287 | 0.036823 | 0.0896107 | 0.9728 | 229
20 | 0.060809 | 0.1246445 | 0.9645999999999999 | 302 | 0.070069 | 0.1222045 | 0.9636 | 253
