Using device: cuda, type: cuda
Model: Net(num_classes=47)
dataset=emnist_balanced | RFF(real-2N) | n_features(N)=125000 | output_feats=2N=250000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_emnist_balanced_hidden_125000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=0.865991 | train_acc=77.059397% | train_correct=86923 | train_total=112800 | val_loss=0.6522159 | val_acc=82.1808511% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.356200 | train_acc=90.261525% | train_correct=101815 | train_total=112800 | val_loss=0.6503874 | val_acc=82.8191489% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.241260 | train_acc=93.611702% | train_correct=105594 | train_total=112800 | val_loss=0.7069624 | val_acc=83.2606383% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.183628 | train_acc=95.050532% | train_correct=107217 | train_total=112800 | val_loss=0.6503720 | val_acc=83.3510638% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.146004 | train_acc=96.158688% | train_correct=108467 | train_total=112800 | val_loss=0.5850982 | val_acc=84.4202128% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.138000 | train_acc=96.615248% | train_correct=108982 | train_total=112800 | val_loss=0.5896455 | val_acc=84.5106383% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.145712 | train_acc=96.827128% | train_correct=109221 | train_total=112800 | val_loss=0.6231558 | val_acc=84.2021277% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.127879 | train_acc=97.144504% | train_correct=109579 | train_total=112800 | val_loss=0.6145752 | val_acc=84.2659574% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.111227 | train_acc=97.305851% | train_correct=109761 | train_total=112800 | val_loss=0.5850220 | val_acc=84.2659574% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.110793 | train_acc=97.463652% | train_correct=109939 | train_total=112800 | val_loss=0.6035733 | val_acc=84.5106383% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.104999 | train_acc=97.580674% | train_correct=110071 | train_total=112800 | val_loss=0.6691661 | val_acc=83.9840426% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.101740 | train_acc=97.680851% | train_correct=110184 | train_total=112800 | val_loss=0.6378460 | val_acc=84.2553191% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.101898 | train_acc=97.709220% | train_correct=110216 | train_total=112800 | val_loss=0.5902950 | val_acc=84.8138298% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.096083 | train_acc=97.736702% | train_correct=110247 | train_total=112800 | val_loss=0.6203349 | val_acc=84.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.094513 | train_acc=97.763298% | train_correct=110277 | train_total=112800 | val_loss=0.6038968 | val_acc=84.5957447% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.083050 | train_acc=97.927305% | train_correct=110462 | train_total=112800 | val_loss=0.6373602 | val_acc=84.6808511% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.092473 | train_acc=97.849291% | train_correct=110374 | train_total=112800 | val_loss=0.6259489 | val_acc=84.3138298% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.079436 | train_acc=97.989362% | train_correct=110532 | train_total=112800 | val_loss=0.6791540 | val_acc=84.5478723% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.088300 | train_acc=97.945922% | train_correct=110483 | train_total=112800 | val_loss=0.6423576 | val_acc=84.4255319% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.079521 | train_acc=98.034574% | train_correct=110583 | train_total=112800 | val_loss=0.6069624 | val_acc=84.6808511% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.078530 | train_acc=98.010638% | train_correct=110556 | train_total=112800 | val_loss=0.6307434 | val_acc=84.6595745% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.087428 | train_acc=97.951241% | train_correct=110489 | train_total=112800 | val_loss=0.6195683 | val_acc=84.8829787% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.075439 | train_acc=98.061170% | train_correct=110613 | train_total=112800 | val_loss=0.6635758 | val_acc=84.8457447% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.071931 | train_acc=98.129433% | train_correct=110690 | train_total=112800 | val_loss=0.6032747 | val_acc=84.8670213% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.084118 | train_acc=98.005319% | train_correct=110550 | train_total=112800 | val_loss=0.6169134 | val_acc=84.7819149% | interpolacja=False | soft_intepolacja=False
