model_size | train_loss | val_loss | val_acc | epoch
50000 | 0.032189 | 0.5950939 | 0.851223404 | 92
100000 | 0.099454 | 0.5597309 | 0.850957447 | 13
125000 | 0.012753 | 0.7684803 | 0.850744681 | 283
40000 | 0.095279 | 0.4919921 | 0.849840426 | 13
30000 | 0.060408 | 0.5117434 | 0.848989362 | 34
20000 | 0.029499 | 0.5899511 | 0.848510638 | 199
17500 | 0.031366 | 0.5863554 | 0.8472872340000001 | 199
15000 | 0.054392 | 0.525898 | 0.845744681 | 77
10000 | 0.143878 | 0.4890033 | 0.843457447 | 24
7500 | 0.112546 | 0.5047707 | 0.840531915 | 47
5000 | 0.164417 | 0.513132 | 0.837287234 | 43
4000 | 0.181385 | 0.5211028 | 0.834840426 | 49
2000 | 0.258358 | 0.5727282 | 0.8215957450000001 | 70
1000 | 0.405632 | 0.6585469 | 0.799680851 | 82
500 | 0.586615 | 0.7904934 | 0.766808511 | 111
