model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
125000 | 0.012753 | 0.7684803 | 0.850744681 | 283 | 0.111227 | 0.585022 | 0.842659574 | 9
100000 | 0.099454 | 0.5597309 | 0.850957447 | 13 | 0.138899 | 0.5334704 | 0.844734043 | 5
50000 | 0.032189 | 0.5950939 | 0.851223404 | 92 | 0.116437 | 0.490328 | 0.8473404259999999 | 8
40000 | 0.095279 | 0.4919921 | 0.849840426 | 13 | 0.130352 | 0.4855929 | 0.847180851 | 8
30000 | 0.060408 | 0.5117434 | 0.848989362 | 34 | 0.128514 | 0.4828048 | 0.8456382979999999 | 10
20000 | 0.029499 | 0.5899511 | 0.848510638 | 199 | 0.130113 | 0.4807833 | 0.845319149 | 14
17500 | 0.031366 | 0.5863554 | 0.8472872340000001 | 199 | 0.123714 | 0.483714 | 0.843989362 | 17
15000 | 0.054392 | 0.525898 | 0.845744681 | 77 | 0.13768 | 0.4833348 | 0.845212766 | 17
10000 | 0.143878 | 0.4890033 | 0.843457447 | 24 | 0.143878 | 0.4890033 | 0.843457447 | 24
7500 | 0.112546 | 0.5047707 | 0.840531915 | 47 | 0.160496 | 0.4987409 | 0.838457447 | 28
5000 | 0.164417 | 0.513132 | 0.837287234 | 43 | 0.185185 | 0.51146 | 0.835585106 | 36
4000 | 0.181385 | 0.5211028 | 0.834840426 | 49 | 0.186374 | 0.5195456 | 0.833617021 | 47
2000 | 0.258358 | 0.5727282 | 0.8215957450000001 | 70 | 0.266259 | 0.5721806 | 0.820585106 | 66
1000 | 0.405632 | 0.6585469 | 0.799680851 | 82 | 0.395275 | 0.6577147 | 0.797712766 | 89
500 | 0.586615 | 0.7904934 | 0.766808511 | 111 | 0.581628 | 0.7902206 | 0.7657978719999999 | 117
