model_size | train_loss | val_loss | val_acc | epoch
125000 | 0.111227 | 0.585022 | 0.842659574 | 9
100000 | 0.138899 | 0.5334704 | 0.844734043 | 5
50000 | 0.116437 | 0.490328 | 0.8473404259999999 | 8
40000 | 0.130352 | 0.4855929 | 0.847180851 | 8
30000 | 0.128514 | 0.4828048 | 0.8456382979999999 | 10
20000 | 0.130113 | 0.4807833 | 0.845319149 | 14
17500 | 0.123714 | 0.483714 | 0.843989362 | 17
15000 | 0.13768 | 0.4833348 | 0.845212766 | 17
10000 | 0.143878 | 0.4890033 | 0.843457447 | 24
7500 | 0.160496 | 0.4987409 | 0.838457447 | 28
5000 | 0.185185 | 0.51146 | 0.835585106 | 36
4000 | 0.186374 | 0.5195456 | 0.833617021 | 47
2000 | 0.266259 | 0.5721806 | 0.820585106 | 66
1000 | 0.395275 | 0.6577147 | 0.797712766 | 89
500 | 0.581628 | 0.7902206 | 0.7657978719999999 | 117
