Using device: cuda, type: cuda
Model: Net(num_classes=62)
dataset=emnist_byclass | RFF(real-2N) | n_features(N)=500 | output_feats=2N=1000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_emnist_byclass_hidden_500.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=1.565533 | train_acc=62.676736% | train_correct=437441 | train_total=697932 | val_loss=1.1325254 | val_acc=70.3515212% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.031888 | train_acc=72.241279% | train_correct=504195 | train_total=697932 | val_loss=0.9573807 | val_acc=73.7489576% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.915261 | train_acc=74.538064% | train_correct=520225 | train_total=697932 | val_loss=0.8818620 | val_acc=75.2465119% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.855245 | train_acc=75.755518% | train_correct=528722 | train_total=697932 | val_loss=0.8377219 | val_acc=76.0829759% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.816896 | train_acc=76.513041% | train_correct=534009 | train_total=697932 | val_loss=0.8079848 | val_acc=76.6692743% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.789640 | train_acc=77.056791% | train_correct=537804 | train_total=697932 | val_loss=0.7864254 | val_acc=77.0406540% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.768949 | train_acc=77.467146% | train_correct=540668 | train_total=697932 | val_loss=0.7698958 | val_acc=77.3802258% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.752577 | train_acc=77.811019% | train_correct=543068 | train_total=697932 | val_loss=0.7571877 | val_acc=77.6011623% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.739216 | train_acc=78.079813% | train_correct=544944 | train_total=697932 | val_loss=0.7470086 | val_acc=77.7584828% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.728017 | train_acc=78.291438% | train_correct=546421 | train_total=697932 | val_loss=0.7377366 | val_acc=77.9880161% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.718546 | train_acc=78.509081% | train_correct=547940 | train_total=697932 | val_loss=0.7301908 | val_acc=78.0610885% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.710323 | train_acc=78.676289% | train_correct=549107 | train_total=697932 | val_loss=0.7238555 | val_acc=78.1814431% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.703184 | train_acc=78.791630% | train_correct=549912 | train_total=697932 | val_loss=0.7183705 | val_acc=78.3078153% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.696788 | train_acc=78.916857% | train_correct=550786 | train_total=697932 | val_loss=0.7136574 | val_acc=78.3628345% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.691127 | train_acc=79.032485% | train_correct=551593 | train_total=697932 | val_loss=0.7095997 | val_acc=78.3912038% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.686071 | train_acc=79.139515% | train_correct=552340 | train_total=697932 | val_loss=0.7057323 | val_acc=78.5330502% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.681416 | train_acc=79.227776% | train_correct=552956 | train_total=697932 | val_loss=0.7024523 | val_acc=78.5089793% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.677258 | train_acc=79.313457% | train_correct=553554 | train_total=697932 | val_loss=0.6994840 | val_acc=78.5743146% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.673469 | train_acc=79.387104% | train_correct=554068 | train_total=697932 | val_loss=0.6969215 | val_acc=78.6370709% | interpolacja=False | soft_intepolacja=False
