Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=fashion | RFF(real-2N) | n_features(N)=100000 | output_feats=2N=200000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_fashion_hidden_100000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=0.500815 | train_acc=84.701667% | train_correct=50821 | train_total=60000 | val_loss=0.4320614 | val_acc=87.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.268400 | train_acc=90.966667% | train_correct=54580 | train_total=60000 | val_loss=0.3913426 | val_acc=88.2800000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.171986 | train_acc=94.010000% | train_correct=56406 | train_total=60000 | val_loss=0.4894865 | val_acc=86.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.137516 | train_acc=95.158333% | train_correct=57095 | train_total=60000 | val_loss=0.3744333 | val_acc=88.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.093370 | train_acc=96.836667% | train_correct=58102 | train_total=60000 | val_loss=0.3542636 | val_acc=89.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.083430 | train_acc=97.180000% | train_correct=58308 | train_total=60000 | val_loss=0.3637356 | val_acc=89.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.059025 | train_acc=98.190000% | train_correct=58914 | train_total=60000 | val_loss=0.3512224 | val_acc=89.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.055728 | train_acc=98.248333% | train_correct=58949 | train_total=60000 | val_loss=0.3572833 | val_acc=89.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.045849 | train_acc=98.668333% | train_correct=59201 | train_total=60000 | val_loss=0.3752426 | val_acc=89.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.035992 | train_acc=99.090000% | train_correct=59454 | train_total=60000 | val_loss=0.3490623 | val_acc=89.9500000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.031480 | train_acc=99.293333% | train_correct=59576 | train_total=60000 | val_loss=0.3496622 | val_acc=89.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.029009 | train_acc=99.383333% | train_correct=59630 | train_total=60000 | val_loss=0.3749631 | val_acc=89.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.025236 | train_acc=99.553333% | train_correct=59732 | train_total=60000 | val_loss=0.3618177 | val_acc=89.7800000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.023248 | train_acc=99.601667% | train_correct=59761 | train_total=60000 | val_loss=0.3576056 | val_acc=89.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.020641 | train_acc=99.715000% | train_correct=59829 | train_total=60000 | val_loss=0.3559862 | val_acc=89.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.017892 | train_acc=99.801667% | train_correct=59881 | train_total=60000 | val_loss=0.3597126 | val_acc=89.6600000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.016969 | train_acc=99.840000% | train_correct=59904 | train_total=60000 | val_loss=0.3620761 | val_acc=89.7900000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.015453 | train_acc=99.878333% | train_correct=59927 | train_total=60000 | val_loss=0.3632083 | val_acc=89.9700000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.014541 | train_acc=99.878333% | train_correct=59927 | train_total=60000 | val_loss=0.3663860 | val_acc=89.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.013672 | train_acc=99.891667% | train_correct=59935 | train_total=60000 | val_loss=0.3632791 | val_acc=90.0600000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.013249 | train_acc=99.913333% | train_correct=59948 | train_total=60000 | val_loss=0.3644003 | val_acc=89.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.011950 | train_acc=99.945000% | train_correct=59967 | train_total=60000 | val_loss=0.3656081 | val_acc=89.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.011278 | train_acc=99.960000% | train_correct=59976 | train_total=60000 | val_loss=0.3656203 | val_acc=90.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.010428 | train_acc=99.980000% | train_correct=59988 | train_total=60000 | val_loss=0.3690074 | val_acc=90.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.010004 | train_acc=99.966667% | train_correct=59980 | train_total=60000 | val_loss=0.3682136 | val_acc=90.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.009657 | train_acc=99.988333% | train_correct=59993 | train_total=60000 | val_loss=0.3722231 | val_acc=89.9500000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.009205 | train_acc=99.988333% | train_correct=59993 | train_total=60000 | val_loss=0.3733907 | val_acc=90.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.009076 | train_acc=99.983333% | train_correct=59990 | train_total=60000 | val_loss=0.3770050 | val_acc=90.0600000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.008498 | train_acc=99.995000% | train_correct=59997 | train_total=60000 | val_loss=0.3728706 | val_acc=90.0100000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.008299 | train_acc=99.991667% | train_correct=59995 | train_total=60000 | val_loss=0.3754584 | val_acc=90.1900000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.007927 | train_acc=99.990000% | train_correct=59994 | train_total=60000 | val_loss=0.3758414 | val_acc=90.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.007745 | train_acc=99.996667% | train_correct=59998 | train_total=60000 | val_loss=0.3797676 | val_acc=90.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.007390 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3793583 | val_acc=90.0300000% | interpolacja=False | soft_intepolacja=True
[Epoch 34] train_loss=0.007287 | train_acc=99.993333% | train_correct=59996 | train_total=60000 | val_loss=0.3790233 | val_acc=90.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.007154 | train_acc=99.993333% | train_correct=59996 | train_total=60000 | val_loss=0.3791557 | val_acc=90.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.006751 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3796800 | val_acc=90.1000000% | interpolacja=False | soft_intepolacja=True
[Epoch 37] train_loss=0.006568 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.3829878 | val_acc=89.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.006353 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3815450 | val_acc=90.1800000% | interpolacja=False | soft_intepolacja=True
[Epoch 39] train_loss=0.006153 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3859023 | val_acc=90.0900000% | interpolacja=False | soft_intepolacja=True
[Epoch 40] train_loss=0.006123 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3887565 | val_acc=90.1300000% | interpolacja=False | soft_intepolacja=True
[Epoch 41] train_loss=0.005971 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3843723 | val_acc=90.0900000% | interpolacja=False | soft_intepolacja=True
[Epoch 42] train_loss=0.005797 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3859202 | val_acc=89.8700000% | interpolacja=False | soft_intepolacja=True
[Epoch 43] train_loss=0.005632 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3885100 | val_acc=90.1300000% | interpolacja=False | soft_intepolacja=True
[Epoch 44] train_loss=0.005522 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3878542 | val_acc=90.0000000% | interpolacja=False | soft_intepolacja=True
[Epoch 45] train_loss=0.005431 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3883058 | val_acc=90.0600000% | interpolacja=False | soft_intepolacja=True
[Epoch 46] train_loss=0.005263 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3893620 | val_acc=90.0300000% | interpolacja=False | soft_intepolacja=True
[Epoch 47] train_loss=0.005162 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3915365 | val_acc=90.0600000% | interpolacja=False | soft_intepolacja=True
[Epoch 48] train_loss=0.005068 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3919438 | val_acc=90.0400000% | interpolacja=False | soft_intepolacja=True
[Epoch 49] train_loss=0.004944 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3918561 | val_acc=90.0100000% | interpolacja=False | soft_intepolacja=True
[Epoch 50] train_loss=0.004861 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3956464 | val_acc=90.0700000% | interpolacja=False | soft_intepolacja=True
[Epoch 51] train_loss=0.004790 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.3941631 | val_acc=90.0300000% | interpolacja=False | soft_intepolacja=True
