model_size | train_loss | val_loss | val_acc | epoch
100000 | 0.003623 | 0.404768 | 0.9023 | 68
40000 | 0.013384 | 0.356214 | 0.9013 | 55
125000 | 0.001296 | 0.4556176 | 0.9009 | 151
30000 | 0.025171 | 0.3328068 | 0.9007999999999999 | 41
50000 | 0.023529 | 0.3376127 | 0.9006000000000001 | 26
17500 | 0.053644 | 0.3138373 | 0.8991 | 33
20000 | 0.038693 | 0.3234524 | 0.8987 | 41
15000 | 0.052711 | 0.320014 | 0.8979 | 40
10000 | 0.020111 | 0.3834257 | 0.8959 | 181
7500 | 0.077079 | 0.3193418 | 0.8948999999999999 | 54
5000 | 0.121312 | 0.3162483 | 0.8931999999999999 | 43
4000 | 0.145836 | 0.3186431 | 0.8924 | 39
2000 | 0.175147 | 0.3362119 | 0.8835 | 67
1000 | 0.253276 | 0.3612254 | 0.872 | 52
500 | 0.308839 | 0.395593 | 0.8597 | 73
