model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
125000 | 0.001296 | 0.4556176 | 0.9009 | 151 | 0.026205 | 0.3786406 | 0.8964 | 11
100000 | 0.003623 | 0.404768 | 0.9023 | 68 | 0.035992 | 0.3490623 | 0.8995000000000001 | 10
50000 | 0.023529 | 0.3376127 | 0.9006000000000001 | 26 | 0.092052 | 0.3100963 | 0.8956000000000001 | 7
40000 | 0.013384 | 0.356214 | 0.9013 | 55 | 0.105362 | 0.3065197 | 0.8942 | 7
30000 | 0.025171 | 0.3328068 | 0.9007999999999999 | 41 | 0.122885 | 0.3020132 | 0.8948999999999999 | 7
20000 | 0.038693 | 0.3234524 | 0.8987 | 41 | 0.101239 | 0.3017255 | 0.8964 | 13
17500 | 0.053644 | 0.3138373 | 0.8991 | 33 | 0.110051 | 0.2986751 | 0.8959 | 13
15000 | 0.052711 | 0.320014 | 0.8979 | 40 | 0.120699 | 0.3016396 | 0.8948 | 13
10000 | 0.020111 | 0.3834257 | 0.8959 | 181 | 0.139327 | 0.3038961 | 0.8919 | 15
7500 | 0.077079 | 0.3193418 | 0.8948999999999999 | 54 | 0.124172 | 0.3052057 | 0.8942 | 25
5000 | 0.121312 | 0.3162483 | 0.8931999999999999 | 43 | 0.157018 | 0.3121473 | 0.8902 | 25
4000 | 0.145836 | 0.3186431 | 0.8924 | 39 | 0.153118 | 0.3163237 | 0.8892 | 35
2000 | 0.175147 | 0.3362119 | 0.8835 | 67 | 0.196586 | 0.3330746 | 0.8826999999999999 | 46
1000 | 0.253276 | 0.3612254 | 0.872 | 52 | 0.244248 | 0.3610021 | 0.8702 | 63
500 | 0.308839 | 0.395593 | 0.8597 | 73 | 0.303024 | 0.3953088 | 0.8579000000000001 | 87
