model_size | train_loss | val_loss | val_acc | epoch
125000 | 0.026205 | 0.3786406 | 0.8964 | 11
100000 | 0.035992 | 0.3490623 | 0.8995000000000001 | 10
50000 | 0.092052 | 0.3100963 | 0.8956000000000001 | 7
40000 | 0.105362 | 0.3065197 | 0.8942 | 7
30000 | 0.122885 | 0.3020132 | 0.8948999999999999 | 7
20000 | 0.101239 | 0.3017255 | 0.8964 | 13
17500 | 0.110051 | 0.2986751 | 0.8959 | 13
15000 | 0.120699 | 0.3016396 | 0.8948 | 13
10000 | 0.139327 | 0.3038961 | 0.8919 | 15
7500 | 0.124172 | 0.3052057 | 0.8942 | 25
5000 | 0.157018 | 0.3121473 | 0.8902 | 25
4000 | 0.153118 | 0.3163237 | 0.8892 | 35
2000 | 0.196586 | 0.3330746 | 0.8826999999999999 | 46
1000 | 0.244248 | 0.3610021 | 0.8702 | 63
500 | 0.303024 | 0.3953088 | 0.8579000000000001 | 87
