Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=fashion | n_features=20000 | sigma=5.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_fashion_hidden_20000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=0.715708 | train_acc=77.373333% | train_correct=46424 | train_total=60000 | val_loss=0.5368420 | val_acc=83.0500000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.343949 | train_acc=90.638333% | train_correct=54383 | train_total=60000 | val_loss=0.4868248 | val_acc=84.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.240866 | train_acc=94.416667% | train_correct=56650 | train_total=60000 | val_loss=0.4719349 | val_acc=84.5900000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.182280 | train_acc=96.688333% | train_correct=58013 | train_total=60000 | val_loss=0.4654263 | val_acc=84.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.144384 | train_acc=97.895000% | train_correct=58737 | train_total=60000 | val_loss=0.4662118 | val_acc=84.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.118496 | train_acc=98.656667% | train_correct=59194 | train_total=60000 | val_loss=0.4660145 | val_acc=84.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.099817 | train_acc=99.056667% | train_correct=59434 | train_total=60000 | val_loss=0.4692997 | val_acc=84.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.085820 | train_acc=99.376667% | train_correct=59626 | train_total=60000 | val_loss=0.4718941 | val_acc=84.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.075001 | train_acc=99.583333% | train_correct=59750 | train_total=60000 | val_loss=0.4753420 | val_acc=84.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.066497 | train_acc=99.708333% | train_correct=59825 | train_total=60000 | val_loss=0.4775981 | val_acc=84.7100000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.059693 | train_acc=99.783333% | train_correct=59870 | train_total=60000 | val_loss=0.4817706 | val_acc=84.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.054112 | train_acc=99.860000% | train_correct=59916 | train_total=60000 | val_loss=0.4853346 | val_acc=84.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.049396 | train_acc=99.901667% | train_correct=59941 | train_total=60000 | val_loss=0.4893742 | val_acc=84.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.045449 | train_acc=99.933333% | train_correct=59960 | train_total=60000 | val_loss=0.4922099 | val_acc=84.5500000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.042101 | train_acc=99.945000% | train_correct=59967 | train_total=60000 | val_loss=0.4952004 | val_acc=84.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.039200 | train_acc=99.960000% | train_correct=59976 | train_total=60000 | val_loss=0.4983670 | val_acc=84.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.036641 | train_acc=99.973333% | train_correct=59984 | train_total=60000 | val_loss=0.5017877 | val_acc=84.5900000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.034426 | train_acc=99.986667% | train_correct=59992 | train_total=60000 | val_loss=0.5044779 | val_acc=84.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.032466 | train_acc=99.981667% | train_correct=59989 | train_total=60000 | val_loss=0.5072727 | val_acc=84.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.030703 | train_acc=99.991667% | train_correct=59995 | train_total=60000 | val_loss=0.5099403 | val_acc=84.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.029150 | train_acc=99.988333% | train_correct=59993 | train_total=60000 | val_loss=0.5127367 | val_acc=84.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.027710 | train_acc=99.990000% | train_correct=59994 | train_total=60000 | val_loss=0.5155500 | val_acc=84.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.026442 | train_acc=99.995000% | train_correct=59997 | train_total=60000 | val_loss=0.5178705 | val_acc=84.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.025256 | train_acc=99.993333% | train_correct=59996 | train_total=60000 | val_loss=0.5201088 | val_acc=84.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.024186 | train_acc=99.996667% | train_correct=59998 | train_total=60000 | val_loss=0.5227241 | val_acc=84.5400000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.023211 | train_acc=99.996667% | train_correct=59998 | train_total=60000 | val_loss=0.5250866 | val_acc=84.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.022273 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.5271451 | val_acc=84.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.021440 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.5295502 | val_acc=84.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.020670 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.5318401 | val_acc=84.4200000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.019942 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5338095 | val_acc=84.4500000% | interpolacja=False | soft_intepolacja=True
[Epoch 31] train_loss=0.019272 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.5359741 | val_acc=84.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.018648 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5377780 | val_acc=84.4300000% | interpolacja=False | soft_intepolacja=True
[Epoch 33] train_loss=0.018054 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5397676 | val_acc=84.4400000% | interpolacja=False | soft_intepolacja=True
[Epoch 34] train_loss=0.017497 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.5416761 | val_acc=84.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.016973 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5434672 | val_acc=84.4600000% | interpolacja=False | soft_intepolacja=True
[Epoch 36] train_loss=0.016495 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5454261 | val_acc=84.4400000% | interpolacja=False | soft_intepolacja=True
[Epoch 37] train_loss=0.016027 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5473942 | val_acc=84.4500000% | interpolacja=False | soft_intepolacja=True
