Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | RFF(real-2N) | n_features(N)=50000 | output_feats=2N=100000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_mnist_hidden_50000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=0.182036 | train_acc=94.611667% | train_correct=56767 | train_total=60000 | val_loss=0.0858756 | val_acc=97.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.049109 | train_acc=98.795000% | train_correct=59277 | train_total=60000 | val_loss=0.0673928 | val_acc=98.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.028044 | train_acc=99.508333% | train_correct=59705 | train_total=60000 | val_loss=0.0625168 | val_acc=98.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.018680 | train_acc=99.801667% | train_correct=59881 | train_total=60000 | val_loss=0.0597334 | val_acc=98.1300000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.014144 | train_acc=99.891667% | train_correct=59935 | train_total=60000 | val_loss=0.0596575 | val_acc=98.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.011148 | train_acc=99.938333% | train_correct=59963 | train_total=60000 | val_loss=0.0559890 | val_acc=98.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.009208 | train_acc=99.971667% | train_correct=59983 | train_total=60000 | val_loss=0.0563036 | val_acc=98.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.007820 | train_acc=99.983333% | train_correct=59990 | train_total=60000 | val_loss=0.0550216 | val_acc=98.1700000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.006817 | train_acc=99.990000% | train_correct=59994 | train_total=60000 | val_loss=0.0549545 | val_acc=98.1700000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.006026 | train_acc=99.996667% | train_correct=59998 | train_total=60000 | val_loss=0.0544200 | val_acc=98.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.005454 | train_acc=99.995000% | train_correct=59997 | train_total=60000 | val_loss=0.0541203 | val_acc=98.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.004929 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.0542510 | val_acc=98.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.004519 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.0540209 | val_acc=98.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.004182 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.0535950 | val_acc=98.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.003872 | train_acc=99.998333% | train_correct=59999 | train_total=60000 | val_loss=0.0535436 | val_acc=98.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.003640 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0535029 | val_acc=98.2300000% | interpolacja=False | soft_intepolacja=True
[Epoch 17] train_loss=0.003407 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533950 | val_acc=98.2400000% | interpolacja=False | soft_intepolacja=True
[Epoch 18] train_loss=0.003218 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0538178 | val_acc=98.2300000% | interpolacja=False | soft_intepolacja=True
[Epoch 19] train_loss=0.003042 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0531897 | val_acc=98.2400000% | interpolacja=False | soft_intepolacja=True
[Epoch 20] train_loss=0.002884 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532210 | val_acc=98.2200000% | interpolacja=False | soft_intepolacja=True
[Epoch 21] train_loss=0.002739 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533008 | val_acc=98.2500000% | interpolacja=False | soft_intepolacja=True
[Epoch 22] train_loss=0.002619 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532809 | val_acc=98.2500000% | interpolacja=False | soft_intepolacja=True
[Epoch 23] train_loss=0.002502 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533402 | val_acc=98.2900000% | interpolacja=False | soft_intepolacja=True
[Epoch 24] train_loss=0.002391 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533707 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=True
[Epoch 25] train_loss=0.002300 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533310 | val_acc=98.2400000% | interpolacja=False | soft_intepolacja=True
[Epoch 26] train_loss=0.002210 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0531808 | val_acc=98.2500000% | interpolacja=False | soft_intepolacja=True
[Epoch 27] train_loss=0.002132 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532604 | val_acc=98.2500000% | interpolacja=False | soft_intepolacja=True
[Epoch 28] train_loss=0.002052 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532490 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=True
[Epoch 29] train_loss=0.001984 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0531289 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=True
[Epoch 30] train_loss=0.001921 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0531404 | val_acc=98.2500000% | interpolacja=False | soft_intepolacja=True
[Epoch 31] train_loss=0.001853 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0531529 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=True
[Epoch 32] train_loss=0.001796 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0531312 | val_acc=98.2800000% | interpolacja=False | soft_intepolacja=True
[Epoch 33] train_loss=0.001745 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532841 | val_acc=98.2600000% | interpolacja=False | soft_intepolacja=True
[Epoch 34] train_loss=0.001690 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0530514 | val_acc=98.2800000% | interpolacja=False | soft_intepolacja=True
[Epoch 35] train_loss=0.001644 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0529847 | val_acc=98.2800000% | interpolacja=False | soft_intepolacja=True
[Epoch 36] train_loss=0.001598 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0531924 | val_acc=98.3000000% | interpolacja=False | soft_intepolacja=True
[Epoch 37] train_loss=0.001553 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533132 | val_acc=98.3100000% | interpolacja=False | soft_intepolacja=True
[Epoch 38] train_loss=0.001518 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532885 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=True
[Epoch 39] train_loss=0.001473 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533085 | val_acc=98.2900000% | interpolacja=False | soft_intepolacja=True
[Epoch 40] train_loss=0.001443 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532393 | val_acc=98.3100000% | interpolacja=False | soft_intepolacja=True
[Epoch 41] train_loss=0.001405 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533378 | val_acc=98.3200000% | interpolacja=False | soft_intepolacja=True
[Epoch 42] train_loss=0.001372 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532458 | val_acc=98.3000000% | interpolacja=False | soft_intepolacja=True
[Epoch 43] train_loss=0.001341 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0532537 | val_acc=98.3200000% | interpolacja=False | soft_intepolacja=True
[Epoch 44] train_loss=0.001311 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533582 | val_acc=98.3100000% | interpolacja=False | soft_intepolacja=True
[Epoch 45] train_loss=0.001280 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533162 | val_acc=98.2700000% | interpolacja=False | soft_intepolacja=True
[Epoch 46] train_loss=0.001254 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533745 | val_acc=98.2800000% | interpolacja=False | soft_intepolacja=True
[Epoch 47] train_loss=0.001230 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0533341 | val_acc=98.2900000% | interpolacja=False | soft_intepolacja=True
[Epoch 48] train_loss=0.001203 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0534474 | val_acc=98.3100000% | interpolacja=False | soft_intepolacja=True
[Epoch 49] train_loss=0.001177 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0534678 | val_acc=98.3100000% | interpolacja=False | soft_intepolacja=True
[Epoch 50] train_loss=0.001154 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0534206 | val_acc=98.3000000% | interpolacja=False | soft_intepolacja=True
[Epoch 51] train_loss=0.001133 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0534424 | val_acc=98.3300000% | interpolacja=False | soft_intepolacja=True
[Epoch 52] train_loss=0.001112 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.0534205 | val_acc=98.2900000% | interpolacja=False | soft_intepolacja=True
