model_size | train_loss | val_loss | val_acc | epoch
125000 | 2.3e-05 | 0.0634393 | 0.9847 | 1052
100000 | 7e-06 | 0.0668006 | 0.9845 | 4180
50000 | 4e-05 | 0.0608355 | 0.9841 | 1551
40000 | 1.9e-05 | 0.063167 | 0.9843000000000001 | 4102
30000 | 0.000588 | 0.0551301 | 0.9836 | 170
20000 | 0.000646 | 0.056158 | 0.9837 | 237
17500 | 6.3e-05 | 0.063833 | 0.9841 | 2908
15000 | 0.000113 | 0.0625237 | 0.9839 | 1881
10000 | 0.000155 | 0.0668014 | 0.9823000000000001 | 2125
7500 | 0.000283 | 0.0678112 | 0.9814 | 1603
5000 | 0.006599 | 0.065382 | 0.9798 | 109
4000 | 0.000334 | 0.0807614 | 0.9792000000000001 | 2867
2000 | 0.006102 | 0.0849521 | 0.9756999999999999 | 404
1000 | 0.052632 | 0.1065318 | 0.9679000000000001 | 108
500 | 0.102144 | 0.152896 | 0.9538 | 120
