model_size | train_loss_best_acc | val_loss_best_acc | val_acc_best_acc | epoch_best_acc | train_loss_best_loss | val_loss_best_loss | val_acc_best_loss | epoch_best_loss
125000 | 2.3e-05 | 0.0634393 | 0.9847 | 1052 | 0.001681 | 0.054164 | 0.9838 | 11
100000 | 7e-06 | 0.0668006 | 0.9845 | 4180 | 0.001834 | 0.0538352 | 0.9826 | 14
50000 | 4e-05 | 0.0608355 | 0.9841 | 1551 | 0.001644 | 0.0529847 | 0.9828 | 35
40000 | 1.9e-05 | 0.063167 | 0.9843000000000001 | 4102 | 0.002085 | 0.0522377 | 0.9834 | 35
30000 | 0.000588 | 0.0551301 | 0.9836 | 170 | 0.002838 | 0.0536785 | 0.983 | 35
20000 | 0.000646 | 0.056158 | 0.9837 | 237 | 0.002236 | 0.0545879 | 0.9829000000000001 | 68
17500 | 6.3e-05 | 0.063833 | 0.9841 | 2908 | 0.002584 | 0.0554876 | 0.9828 | 68
15000 | 0.000113 | 0.0625237 | 0.9839 | 1881 | 0.003047 | 0.0562123 | 0.9826999999999999 | 68
10000 | 0.000155 | 0.0668014 | 0.9823000000000001 | 2125 | 0.003038 | 0.059097 | 0.9818000000000001 | 106
7500 | 0.000283 | 0.0678112 | 0.9814 | 1603 | 0.004228 | 0.0606434 | 0.9804 | 106
5000 | 0.006599 | 0.065382 | 0.9798 | 109 | 0.006244 | 0.0652844 | 0.9795999999999999 | 115
4000 | 0.000334 | 0.0807614 | 0.9792000000000001 | 2867 | 0.008267 | 0.0678235 | 0.9781 | 115
2000 | 0.006102 | 0.0849521 | 0.9756999999999999 | 404 | 0.015787 | 0.0811318 | 0.9749 | 154
1000 | 0.052632 | 0.1065318 | 0.9679000000000001 | 108 | 0.037828 | 0.104828 | 0.9675 | 181
500 | 0.102144 | 0.152896 | 0.9538 | 120 | 0.094726 | 0.1524436 | 0.9534 | 152
