Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | n_features=4000 | sigma=5.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_mnist_hidden_4000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=1.389594 | train_acc=56.986667% | train_correct=34192 | train_total=60000 | val_loss=0.9648729 | val_acc=73.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.801561 | train_acc=79.078333% | train_correct=47447 | train_total=60000 | val_loss=0.7644381 | val_acc=78.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.645480 | train_acc=83.128333% | train_correct=49877 | train_total=60000 | val_loss=0.6840647 | val_acc=80.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.564576 | train_acc=85.128333% | train_correct=51077 | train_total=60000 | val_loss=0.6421603 | val_acc=81.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.512986 | train_acc=86.401667% | train_correct=51841 | train_total=60000 | val_loss=0.6172813 | val_acc=81.5400000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.476325 | train_acc=87.258333% | train_correct=52355 | train_total=60000 | val_loss=0.6014657 | val_acc=81.7800000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.448366 | train_acc=87.978333% | train_correct=52787 | train_total=60000 | val_loss=0.5914405 | val_acc=82.0100000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.426235 | train_acc=88.573333% | train_correct=53144 | train_total=60000 | val_loss=0.5850063 | val_acc=82.0500000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.408098 | train_acc=89.055000% | train_correct=53433 | train_total=60000 | val_loss=0.5810127 | val_acc=82.1900000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.392793 | train_acc=89.415000% | train_correct=53649 | train_total=60000 | val_loss=0.5788446 | val_acc=82.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.379701 | train_acc=89.768333% | train_correct=53861 | train_total=60000 | val_loss=0.5777594 | val_acc=82.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.368228 | train_acc=90.055000% | train_correct=54033 | train_total=60000 | val_loss=0.5778109 | val_acc=81.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.358191 | train_acc=90.318333% | train_correct=54191 | train_total=60000 | val_loss=0.5782899 | val_acc=81.9100000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.349193 | train_acc=90.553333% | train_correct=54332 | train_total=60000 | val_loss=0.5795464 | val_acc=81.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.341142 | train_acc=90.833333% | train_correct=54500 | train_total=60000 | val_loss=0.5811879 | val_acc=81.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.333833 | train_acc=91.061667% | train_correct=54637 | train_total=60000 | val_loss=0.5830558 | val_acc=81.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.327115 | train_acc=91.213333% | train_correct=54728 | train_total=60000 | val_loss=0.5854374 | val_acc=81.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.320947 | train_acc=91.401667% | train_correct=54841 | train_total=60000 | val_loss=0.5879546 | val_acc=81.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.315338 | train_acc=91.548333% | train_correct=54929 | train_total=60000 | val_loss=0.5906280 | val_acc=81.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.310077 | train_acc=91.705000% | train_correct=55023 | train_total=60000 | val_loss=0.5933091 | val_acc=81.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.305181 | train_acc=91.841667% | train_correct=55105 | train_total=60000 | val_loss=0.5962225 | val_acc=81.3000000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.300639 | train_acc=91.971667% | train_correct=55183 | train_total=60000 | val_loss=0.5993042 | val_acc=81.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.296316 | train_acc=92.081667% | train_correct=55249 | train_total=60000 | val_loss=0.6022452 | val_acc=81.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.292277 | train_acc=92.200000% | train_correct=55320 | train_total=60000 | val_loss=0.6054201 | val_acc=81.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.288428 | train_acc=92.290000% | train_correct=55374 | train_total=60000 | val_loss=0.6084791 | val_acc=80.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.284831 | train_acc=92.366667% | train_correct=55420 | train_total=60000 | val_loss=0.6118033 | val_acc=80.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.281446 | train_acc=92.463333% | train_correct=55478 | train_total=60000 | val_loss=0.6149449 | val_acc=80.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.278207 | train_acc=92.553333% | train_correct=55532 | train_total=60000 | val_loss=0.6181726 | val_acc=80.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.275085 | train_acc=92.698333% | train_correct=55619 | train_total=60000 | val_loss=0.6214086 | val_acc=80.6600000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.272152 | train_acc=92.788333% | train_correct=55673 | train_total=60000 | val_loss=0.6247737 | val_acc=80.6300000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.269341 | train_acc=92.846667% | train_correct=55708 | train_total=60000 | val_loss=0.6280898 | val_acc=80.5900000% | interpolacja=False | soft_intepolacja=False
