Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | n_features=500 | sigma=5.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_mnist_hidden_500.txt | cpu=None | model_name=RFF | use_cache=False
[Epoch 01] train_loss=2.079212 | train_acc=26.473333% | train_correct=15884 | train_total=60000 | val_loss=1.8531872 | val_acc=36.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.732490 | train_acc=42.688333% | train_correct=25613 | train_total=60000 | val_loss=1.6541867 | val_acc=45.9700000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.581206 | train_acc=48.995000% | train_correct=29397 | train_total=60000 | val_loss=1.5528994 | val_acc=49.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.498966 | train_acc=51.975000% | train_correct=31185 | train_total=60000 | val_loss=1.4955423 | val_acc=51.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.449926 | train_acc=53.480000% | train_correct=32088 | train_total=60000 | val_loss=1.4607275 | val_acc=52.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=1.418598 | train_acc=54.223333% | train_correct=32534 | train_total=60000 | val_loss=1.4384157 | val_acc=53.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=1.397714 | train_acc=54.815000% | train_correct=32889 | train_total=60000 | val_loss=1.4236705 | val_acc=53.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=1.383091 | train_acc=55.175000% | train_correct=33105 | train_total=60000 | val_loss=1.4135224 | val_acc=53.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=1.372521 | train_acc=55.375000% | train_correct=33225 | train_total=60000 | val_loss=1.4062561 | val_acc=54.0400000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=1.364700 | train_acc=55.530000% | train_correct=33318 | train_total=60000 | val_loss=1.4011809 | val_acc=54.0700000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=1.358772 | train_acc=55.656667% | train_correct=33394 | train_total=60000 | val_loss=1.3974773 | val_acc=54.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=1.354194 | train_acc=55.716667% | train_correct=33430 | train_total=60000 | val_loss=1.3946742 | val_acc=54.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=1.350477 | train_acc=55.783333% | train_correct=33470 | train_total=60000 | val_loss=1.3924562 | val_acc=54.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=1.347510 | train_acc=55.790000% | train_correct=33474 | train_total=60000 | val_loss=1.3907589 | val_acc=54.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=1.345131 | train_acc=55.833333% | train_correct=33500 | train_total=60000 | val_loss=1.3894190 | val_acc=54.2900000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=1.343059 | train_acc=55.858333% | train_correct=33515 | train_total=60000 | val_loss=1.3882073 | val_acc=54.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=1.341326 | train_acc=55.896667% | train_correct=33538 | train_total=60000 | val_loss=1.3875287 | val_acc=54.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=1.339809 | train_acc=55.898333% | train_correct=33539 | train_total=60000 | val_loss=1.3866385 | val_acc=54.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=1.338553 | train_acc=55.963333% | train_correct=33578 | train_total=60000 | val_loss=1.3858731 | val_acc=54.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=1.337406 | train_acc=55.965000% | train_correct=33579 | train_total=60000 | val_loss=1.3852502 | val_acc=54.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=1.336411 | train_acc=55.990000% | train_correct=33594 | train_total=60000 | val_loss=1.3848780 | val_acc=54.1700000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=1.335534 | train_acc=55.980000% | train_correct=33588 | train_total=60000 | val_loss=1.3843215 | val_acc=54.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=1.334677 | train_acc=55.998333% | train_correct=33599 | train_total=60000 | val_loss=1.3839165 | val_acc=54.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=1.333950 | train_acc=56.020000% | train_correct=33612 | train_total=60000 | val_loss=1.3834332 | val_acc=54.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=1.333274 | train_acc=55.981667% | train_correct=33589 | train_total=60000 | val_loss=1.3829351 | val_acc=54.3100000% | interpolacja=False | soft_intepolacja=False
