Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | n_features=7500 | sigma=5.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_mnist_hidden_7500.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=1.129742 | train_acc=66.998333% | train_correct=40199 | train_total=60000 | val_loss=0.7088709 | val_acc=81.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.552760 | train_acc=86.951667% | train_correct=52171 | train_total=60000 | val_loss=0.5557746 | val_acc=85.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.417336 | train_acc=90.421667% | train_correct=54253 | train_total=60000 | val_loss=0.4955395 | val_acc=86.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.345035 | train_acc=92.418333% | train_correct=55451 | train_total=60000 | val_loss=0.4643518 | val_acc=86.9900000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.297624 | train_acc=93.685000% | train_correct=56211 | train_total=60000 | val_loss=0.4458941 | val_acc=87.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.263395 | train_acc=94.608333% | train_correct=56765 | train_total=60000 | val_loss=0.4344615 | val_acc=87.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.236997 | train_acc=95.360000% | train_correct=57216 | train_total=60000 | val_loss=0.4273013 | val_acc=87.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.215837 | train_acc=95.970000% | train_correct=57582 | train_total=60000 | val_loss=0.4226566 | val_acc=87.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.198397 | train_acc=96.490000% | train_correct=57894 | train_total=60000 | val_loss=0.4198882 | val_acc=87.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.183708 | train_acc=96.901667% | train_correct=58141 | train_total=60000 | val_loss=0.4185584 | val_acc=87.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.171074 | train_acc=97.260000% | train_correct=58356 | train_total=60000 | val_loss=0.4180500 | val_acc=87.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.160070 | train_acc=97.573333% | train_correct=58544 | train_total=60000 | val_loss=0.4181402 | val_acc=87.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.150419 | train_acc=97.896667% | train_correct=58738 | train_total=60000 | val_loss=0.4188091 | val_acc=87.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.141867 | train_acc=98.125000% | train_correct=58875 | train_total=60000 | val_loss=0.4198682 | val_acc=87.1100000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.134257 | train_acc=98.343333% | train_correct=59006 | train_total=60000 | val_loss=0.4213295 | val_acc=86.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.127355 | train_acc=98.565000% | train_correct=59139 | train_total=60000 | val_loss=0.4229101 | val_acc=87.0100000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.121114 | train_acc=98.735000% | train_correct=59241 | train_total=60000 | val_loss=0.4246006 | val_acc=87.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.115434 | train_acc=98.843333% | train_correct=59306 | train_total=60000 | val_loss=0.4265216 | val_acc=86.9900000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.110263 | train_acc=98.978333% | train_correct=59387 | train_total=60000 | val_loss=0.4285778 | val_acc=86.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.105505 | train_acc=99.096667% | train_correct=59458 | train_total=60000 | val_loss=0.4305674 | val_acc=86.8300000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.101121 | train_acc=99.223333% | train_correct=59534 | train_total=60000 | val_loss=0.4327262 | val_acc=86.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.097092 | train_acc=99.335000% | train_correct=59601 | train_total=60000 | val_loss=0.4348634 | val_acc=86.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.093344 | train_acc=99.433333% | train_correct=59660 | train_total=60000 | val_loss=0.4370965 | val_acc=86.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.089857 | train_acc=99.495000% | train_correct=59697 | train_total=60000 | val_loss=0.4392863 | val_acc=86.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.086627 | train_acc=99.556667% | train_correct=59734 | train_total=60000 | val_loss=0.4415125 | val_acc=86.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.083592 | train_acc=99.606667% | train_correct=59764 | train_total=60000 | val_loss=0.4436931 | val_acc=86.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.080769 | train_acc=99.656667% | train_correct=59794 | train_total=60000 | val_loss=0.4459059 | val_acc=86.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.078121 | train_acc=99.710000% | train_correct=59826 | train_total=60000 | val_loss=0.4480826 | val_acc=86.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.075628 | train_acc=99.758333% | train_correct=59855 | train_total=60000 | val_loss=0.4502600 | val_acc=86.2800000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.073290 | train_acc=99.791667% | train_correct=59875 | train_total=60000 | val_loss=0.4524402 | val_acc=86.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.071086 | train_acc=99.811667% | train_correct=59887 | train_total=60000 | val_loss=0.4546104 | val_acc=86.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.069004 | train_acc=99.830000% | train_correct=59898 | train_total=60000 | val_loss=0.4566900 | val_acc=86.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.067044 | train_acc=99.866667% | train_correct=59920 | train_total=60000 | val_loss=0.4587498 | val_acc=86.1300000% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.065176 | train_acc=99.878333% | train_correct=59927 | train_total=60000 | val_loss=0.4608361 | val_acc=86.0600000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.063421 | train_acc=99.895000% | train_correct=59937 | train_total=60000 | val_loss=0.4629411 | val_acc=86.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.061745 | train_acc=99.903333% | train_correct=59942 | train_total=60000 | val_loss=0.4649688 | val_acc=85.9400000% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.060164 | train_acc=99.915000% | train_correct=59949 | train_total=60000 | val_loss=0.4669219 | val_acc=85.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.058653 | train_acc=99.928333% | train_correct=59957 | train_total=60000 | val_loss=0.4689297 | val_acc=85.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.057218 | train_acc=99.940000% | train_correct=59964 | train_total=60000 | val_loss=0.4708868 | val_acc=85.8200000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.055847 | train_acc=99.955000% | train_correct=59973 | train_total=60000 | val_loss=0.4728391 | val_acc=85.8200000% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.054542 | train_acc=99.963333% | train_correct=59978 | train_total=60000 | val_loss=0.4747484 | val_acc=85.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.053295 | train_acc=99.966667% | train_correct=59980 | train_total=60000 | val_loss=0.4766169 | val_acc=85.7200000% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.052104 | train_acc=99.976667% | train_correct=59986 | train_total=60000 | val_loss=0.4785053 | val_acc=85.6800000% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.050964 | train_acc=99.976667% | train_correct=59986 | train_total=60000 | val_loss=0.4803127 | val_acc=85.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.049877 | train_acc=99.981667% | train_correct=59989 | train_total=60000 | val_loss=0.4821005 | val_acc=85.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.048830 | train_acc=99.986667% | train_correct=59992 | train_total=60000 | val_loss=0.4839412 | val_acc=85.6400000% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.047822 | train_acc=99.990000% | train_correct=59994 | train_total=60000 | val_loss=0.4856878 | val_acc=85.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.046861 | train_acc=99.990000% | train_correct=59994 | train_total=60000 | val_loss=0.4874387 | val_acc=85.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.045935 | train_acc=99.993333% | train_correct=59996 | train_total=60000 | val_loss=0.4892252 | val_acc=85.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.045043 | train_acc=99.995000% | train_correct=59997 | train_total=60000 | val_loss=0.4909075 | val_acc=85.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.044186 | train_acc=99.993333% | train_correct=59996 | train_total=60000 | val_loss=0.4925763 | val_acc=85.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.043365 | train_acc=99.996667% | train_correct=59998 | train_total=60000 | val_loss=0.4942571 | val_acc=85.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.042571 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.4959032 | val_acc=85.5800000% | interpolacja=False | soft_intepolacja=True
[Epoch 54] train_loss=0.041801 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.4975044 | val_acc=85.5900000% | interpolacja=False | soft_intepolacja=True
[Epoch 55] train_loss=0.041065 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.4990816 | val_acc=85.6000000% | interpolacja=False | soft_intepolacja=True
[Epoch 56] train_loss=0.040355 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5006842 | val_acc=85.5600000% | interpolacja=False | soft_intepolacja=True
[Epoch 57] train_loss=0.039664 | train_acc=100.000000% | train_correct=60000 | train_total=60000 | val_loss=0.5022433 | val_acc=85.5400000% | interpolacja=False | soft_intepolacja=True
