Using device: cuda, type: cuda
Model: Net(num_classes=47)
dataset=emnist_balanced | ch1=100 | ch2=200 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_emnist_balanced_hidden_100.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=1.744572 | train_acc=54.147163% | train_correct=61078 | train_total=112800 | val_loss=1.1926208 | val_acc=65.9255319% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.037316 | train_acc=70.047872% | train_correct=79014 | train_total=112800 | val_loss=0.9393762 | val_acc=72.8829787% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.796890 | train_acc=76.496454% | train_correct=86288 | train_total=112800 | val_loss=0.7379373 | val_acc=78.4840426% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.651488 | train_acc=80.246454% | train_correct=90518 | train_total=112800 | val_loss=0.6394904 | val_acc=80.5212766% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.575161 | train_acc=82.158688% | train_correct=92675 | train_total=112800 | val_loss=0.6073655 | val_acc=80.9893617% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.532094 | train_acc=83.312943% | train_correct=93977 | train_total=112800 | val_loss=0.5550897 | val_acc=82.6755319% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.506530 | train_acc=83.832447% | train_correct=94563 | train_total=112800 | val_loss=0.5400073 | val_acc=83.0638298% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.483970 | train_acc=84.417553% | train_correct=95223 | train_total=112800 | val_loss=0.5319539 | val_acc=83.5053191% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.468936 | train_acc=84.820922% | train_correct=95678 | train_total=112800 | val_loss=0.5213687 | val_acc=83.4468085% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.458314 | train_acc=85.154255% | train_correct=96054 | train_total=112800 | val_loss=0.5319244 | val_acc=82.7021277% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.444693 | train_acc=85.567376% | train_correct=96520 | train_total=112800 | val_loss=0.5090245 | val_acc=83.7925532% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.433956 | train_acc=85.881206% | train_correct=96874 | train_total=112800 | val_loss=0.5082608 | val_acc=84.0638298% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.428603 | train_acc=85.899823% | train_correct=96895 | train_total=112800 | val_loss=0.4997385 | val_acc=84.2393617% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.422006 | train_acc=86.038121% | train_correct=97051 | train_total=112800 | val_loss=0.5030579 | val_acc=83.9414894% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.414216 | train_acc=86.388298% | train_correct=97446 | train_total=112800 | val_loss=0.4943130 | val_acc=84.2287234% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.406831 | train_acc=86.527482% | train_correct=97603 | train_total=112800 | val_loss=0.4898408 | val_acc=84.5106383% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.401666 | train_acc=86.724291% | train_correct=97825 | train_total=112800 | val_loss=0.4821362 | val_acc=84.7127660% | interpolacja=False | soft_intepolacja=False
