Using device: cuda, type: cuda
Model: Net(num_classes=62)
dataset=emnist_byclass | ch1=32 | ch2=64 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_emnist_byclass_hidden_32.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=1.103679 | train_acc=69.278096% | train_correct=483514 | train_total=697932 | val_loss=0.7058418 | val_acc=78.2588138% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.622033 | train_acc=80.318283% | train_correct=560567 | train_total=697932 | val_loss=0.5771550 | val_acc=80.6469916% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.548330 | train_acc=81.999106% | train_correct=572298 | train_total=697932 | val_loss=0.5288031 | val_acc=82.8511988% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.518645 | train_acc=82.720236% | train_correct=577331 | train_total=697932 | val_loss=0.5098422 | val_acc=83.2457897% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.499673 | train_acc=83.272869% | train_correct=581188 | train_total=697932 | val_loss=0.5006870 | val_acc=83.0996450% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.485995 | train_acc=83.633219% | train_correct=583703 | train_total=697932 | val_loss=0.4889911 | val_acc=83.7306466% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.475133 | train_acc=83.909177% | train_correct=585629 | train_total=697932 | val_loss=0.5009484 | val_acc=83.2208592% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.465396 | train_acc=84.209063% | train_correct=587722 | train_total=697932 | val_loss=0.4709394 | val_acc=84.0977279% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.457102 | train_acc=84.402635% | train_correct=589073 | train_total=697932 | val_loss=0.4646864 | val_acc=84.2576275% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.449977 | train_acc=84.598929% | train_correct=590443 | train_total=697932 | val_loss=0.4699145 | val_acc=83.8742123% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.443445 | train_acc=84.792071% | train_correct=591791 | train_total=697932 | val_loss=0.4560435 | val_acc=84.1965905% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.437115 | train_acc=84.915006% | train_correct=592649 | train_total=697932 | val_loss=0.4508601 | val_acc=84.5387413% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.431104 | train_acc=85.114882% | train_correct=594044 | train_total=697932 | val_loss=0.4496989 | val_acc=84.2825580% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.426876 | train_acc=85.213029% | train_correct=594729 | train_total=697932 | val_loss=0.4468388 | val_acc=84.5163897% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.421248 | train_acc=85.392703% | train_correct=595983 | train_total=697932 | val_loss=0.4472032 | val_acc=84.7115360% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.417118 | train_acc=85.471077% | train_correct=596530 | train_total=697932 | val_loss=0.4396644 | val_acc=84.9290338% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.412821 | train_acc=85.612782% | train_correct=597519 | train_total=697932 | val_loss=0.4370715 | val_acc=84.9402096% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.408990 | train_acc=85.693735% | train_correct=598084 | train_total=697932 | val_loss=0.4317139 | val_acc=84.8860501% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.405678 | train_acc=85.787870% | train_correct=598741 | train_total=697932 | val_loss=0.4339599 | val_acc=84.8808920% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.401473 | train_acc=85.911378% | train_correct=599603 | train_total=697932 | val_loss=0.4303150 | val_acc=84.8499437% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.398118 | train_acc=85.969120% | train_correct=600006 | train_total=697932 | val_loss=0.4269227 | val_acc=85.2324992% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.395321 | train_acc=86.080306% | train_correct=600782 | train_total=697932 | val_loss=0.4299640 | val_acc=85.0167207% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.391761 | train_acc=86.159110% | train_correct=601332 | train_total=697932 | val_loss=0.4265466 | val_acc=85.0536867% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.388176 | train_acc=86.287203% | train_correct=602226 | train_total=697932 | val_loss=0.4251369 | val_acc=84.7227118% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.385741 | train_acc=86.335058% | train_correct=602560 | train_total=697932 | val_loss=0.4219982 | val_acc=85.2178847% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.383193 | train_acc=86.439367% | train_correct=603288 | train_total=697932 | val_loss=0.4211826 | val_acc=85.1069866% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.380373 | train_acc=86.509574% | train_correct=603778 | train_total=697932 | val_loss=0.4159645 | val_acc=85.4207680% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.377855 | train_acc=86.515735% | train_correct=603821 | train_total=697932 | val_loss=0.4155916 | val_acc=85.3820826% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.374735 | train_acc=86.670335% | train_correct=604900 | train_total=697932 | val_loss=0.4230951 | val_acc=85.0003869% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.372942 | train_acc=86.715181% | train_correct=605213 | train_total=697932 | val_loss=0.4203837 | val_acc=85.2789216% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.370320 | train_acc=86.803729% | train_correct=605831 | train_total=697932 | val_loss=0.4190595 | val_acc=85.2032702% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.367723 | train_acc=86.800003% | train_correct=605805 | train_total=697932 | val_loss=0.4134478 | val_acc=85.4757872% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.366082 | train_acc=86.909040% | train_correct=606566 | train_total=697932 | val_loss=0.4106269 | val_acc=85.6313885% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.363554 | train_acc=86.964776% | train_correct=606955 | train_total=697932 | val_loss=0.4150866 | val_acc=85.4104519% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.361768 | train_acc=87.003748% | train_correct=607227 | train_total=697932 | val_loss=0.4140819 | val_acc=85.4818050% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.359442 | train_acc=87.084988% | train_correct=607794 | train_total=697932 | val_loss=0.4190935 | val_acc=85.1637251% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.357195 | train_acc=87.165942% | train_correct=608359 | train_total=697932 | val_loss=0.4112836 | val_acc=85.4448389% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.355155 | train_acc=87.188007% | train_correct=608513 | train_total=697932 | val_loss=0.4165500 | val_acc=85.5608951% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.353629 | train_acc=87.257928% | train_correct=609001 | train_total=697932 | val_loss=0.4111877 | val_acc=85.5832466% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.351836 | train_acc=87.290166% | train_correct=609226 | train_total=697932 | val_loss=0.4106687 | val_acc=85.4396809% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.350010 | train_acc=87.367537% | train_correct=609766 | train_total=697932 | val_loss=0.4109320 | val_acc=85.4224874% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.347729 | train_acc=87.394044% | train_correct=609951 | train_total=697932 | val_loss=0.4122143 | val_acc=85.1912348% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.346114 | train_acc=87.428145% | train_correct=610189 | train_total=697932 | val_loss=0.4131546 | val_acc=85.1877961% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.344173 | train_acc=87.535462% | train_correct=610938 | train_total=697932 | val_loss=0.4127703 | val_acc=85.4104519% | interpolacja=False | soft_intepolacja=False
