Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=fashion | ch1=4 | ch2=8 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_fashion_hidden_4.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=1.323753 | train_acc=54.865000% | train_correct=32919 | train_total=60000 | val_loss=0.6701589 | val_acc=75.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.601610 | train_acc=78.288333% | train_correct=46973 | train_total=60000 | val_loss=0.5807467 | val_acc=79.0700000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.549180 | train_acc=80.140000% | train_correct=48084 | train_total=60000 | val_loss=0.5671049 | val_acc=79.3800000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.527031 | train_acc=81.136667% | train_correct=48682 | train_total=60000 | val_loss=0.5347983 | val_acc=80.5400000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.509230 | train_acc=81.820000% | train_correct=49092 | train_total=60000 | val_loss=0.5515757 | val_acc=79.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.496501 | train_acc=82.211667% | train_correct=49327 | train_total=60000 | val_loss=0.5539093 | val_acc=79.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.482477 | train_acc=82.718333% | train_correct=49631 | train_total=60000 | val_loss=0.5020153 | val_acc=81.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.473322 | train_acc=83.141667% | train_correct=49885 | train_total=60000 | val_loss=0.5120499 | val_acc=81.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.462437 | train_acc=83.636667% | train_correct=50182 | train_total=60000 | val_loss=0.4920731 | val_acc=81.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.450690 | train_acc=84.066667% | train_correct=50440 | train_total=60000 | val_loss=0.4706738 | val_acc=82.9900000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.442284 | train_acc=84.356667% | train_correct=50614 | train_total=60000 | val_loss=0.4709327 | val_acc=83.1700000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.427564 | train_acc=84.941667% | train_correct=50965 | train_total=60000 | val_loss=0.4587539 | val_acc=83.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.416308 | train_acc=85.465000% | train_correct=51279 | train_total=60000 | val_loss=0.4398175 | val_acc=84.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.409386 | train_acc=85.621667% | train_correct=51373 | train_total=60000 | val_loss=0.4336384 | val_acc=84.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.400859 | train_acc=86.016667% | train_correct=51610 | train_total=60000 | val_loss=0.4313931 | val_acc=84.6800000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.392511 | train_acc=86.328333% | train_correct=51797 | train_total=60000 | val_loss=0.4408870 | val_acc=84.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.386149 | train_acc=86.455000% | train_correct=51873 | train_total=60000 | val_loss=0.4152241 | val_acc=85.3600000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.379233 | train_acc=86.780000% | train_correct=52068 | train_total=60000 | val_loss=0.4165685 | val_acc=85.3600000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.375264 | train_acc=86.886667% | train_correct=52132 | train_total=60000 | val_loss=0.4000922 | val_acc=85.5900000% | interpolacja=False | soft_intepolacja=False
