Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | ch1=12 | ch2=24 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=cnn_mnist_hidden_12.txt | cpu=None | model_name=CNN | use_cache=True
[Epoch 01] train_loss=1.284879 | train_acc=66.016667% | train_correct=39610 | train_total=60000 | val_loss=0.4005911 | val_acc=88.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.377907 | train_acc=88.758333% | train_correct=53255 | train_total=60000 | val_loss=0.3358699 | val_acc=90.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.323682 | train_acc=90.366667% | train_correct=54220 | train_total=60000 | val_loss=0.2863547 | val_acc=91.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.290158 | train_acc=91.506667% | train_correct=54904 | train_total=60000 | val_loss=0.2723048 | val_acc=92.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.264547 | train_acc=92.315000% | train_correct=55389 | train_total=60000 | val_loss=0.2398547 | val_acc=93.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.236572 | train_acc=93.130000% | train_correct=55878 | train_total=60000 | val_loss=0.2186666 | val_acc=93.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.211336 | train_acc=93.941667% | train_correct=56365 | train_total=60000 | val_loss=0.1983993 | val_acc=94.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.191966 | train_acc=94.510000% | train_correct=56706 | train_total=60000 | val_loss=0.1704541 | val_acc=95.3800000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.170405 | train_acc=95.136667% | train_correct=57082 | train_total=60000 | val_loss=0.1537304 | val_acc=95.6300000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.153262 | train_acc=95.636667% | train_correct=57382 | train_total=60000 | val_loss=0.1376547 | val_acc=96.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.140594 | train_acc=95.971667% | train_correct=57583 | train_total=60000 | val_loss=0.1329506 | val_acc=96.1900000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.129292 | train_acc=96.306667% | train_correct=57784 | train_total=60000 | val_loss=0.1175661 | val_acc=96.5800000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.118700 | train_acc=96.681667% | train_correct=58009 | train_total=60000 | val_loss=0.1119394 | val_acc=96.7700000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.110882 | train_acc=96.875000% | train_correct=58125 | train_total=60000 | val_loss=0.1051228 | val_acc=96.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.103554 | train_acc=97.086667% | train_correct=58252 | train_total=60000 | val_loss=0.0950369 | val_acc=97.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.097348 | train_acc=97.218333% | train_correct=58331 | train_total=60000 | val_loss=0.0913891 | val_acc=97.2000000% | interpolacja=False | soft_intepolacja=False
