Using device: cuda, type: cuda
Model: MLP(hidden=1000, num_classes=47)
dataset=emnist_balanced | hidden=1000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_emnist_balanced_hidden1000.txt | cpu=None | model_name=MLP
[Epoch 01] train_loss=2.985078 | train_acc=38.270390% | train_correct=43169 | train_total=112800 | val_loss=2.1593742 | val_acc=52.5159574% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.792752 | train_acc=56.219858% | train_correct=63416 | train_total=112800 | val_loss=1.5843277 | val_acc=58.1436170% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.472988 | train_acc=60.399823% | train_correct=68131 | train_total=112800 | val_loss=1.4141802 | val_acc=61.3563830% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.353049 | train_acc=62.770390% | train_correct=70805 | train_total=112800 | val_loss=1.3335796 | val_acc=63.0425532% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.286500 | train_acc=64.355496% | train_correct=72593 | train_total=112800 | val_loss=1.2811355 | val_acc=64.1648936% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=1.240171 | train_acc=65.460106% | train_correct=73839 | train_total=112800 | val_loss=1.2441872 | val_acc=65.2978723% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=1.205749 | train_acc=66.352837% | train_correct=74846 | train_total=112800 | val_loss=1.2151216 | val_acc=66.0265957% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=1.175929 | train_acc=67.191489% | train_correct=75792 | train_total=112800 | val_loss=1.1914326 | val_acc=66.6276596% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=1.150477 | train_acc=67.820922% | train_correct=76502 | train_total=112800 | val_loss=1.1673369 | val_acc=67.0691489% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=1.126254 | train_acc=68.502660% | train_correct=77271 | train_total=112800 | val_loss=1.1461696 | val_acc=67.6808511% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=1.104095 | train_acc=69.062057% | train_correct=77902 | train_total=112800 | val_loss=1.1262273 | val_acc=68.5478723% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=1.082977 | train_acc=69.685284% | train_correct=78605 | train_total=112800 | val_loss=1.1090579 | val_acc=68.7393617% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=1.061718 | train_acc=70.284574% | train_correct=79281 | train_total=112800 | val_loss=1.0875530 | val_acc=69.4255319% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=1.041345 | train_acc=70.775709% | train_correct=79835 | train_total=112800 | val_loss=1.0682121 | val_acc=70.2021277% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=1.021285 | train_acc=71.381206% | train_correct=80518 | train_total=112800 | val_loss=1.0512080 | val_acc=70.3617021% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=1.001020 | train_acc=71.938830% | train_correct=81147 | train_total=112800 | val_loss=1.0319039 | val_acc=70.8989362% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.981585 | train_acc=72.375887% | train_correct=81640 | train_total=112800 | val_loss=1.0118853 | val_acc=71.5372340% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.962098 | train_acc=72.957447% | train_correct=82296 | train_total=112800 | val_loss=0.9947257 | val_acc=72.0797872% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.943128 | train_acc=73.382979% | train_correct=82776 | train_total=112800 | val_loss=0.9782084 | val_acc=72.3829787% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.924317 | train_acc=73.925532% | train_correct=83388 | train_total=112800 | val_loss=0.9593446 | val_acc=72.9574468% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.906194 | train_acc=74.477837% | train_correct=84011 | train_total=112800 | val_loss=0.9435086 | val_acc=73.3617021% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.888267 | train_acc=74.908688% | train_correct=84497 | train_total=112800 | val_loss=0.9266850 | val_acc=73.8031915% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.871338 | train_acc=75.368794% | train_correct=85016 | train_total=112800 | val_loss=0.9087489 | val_acc=74.2819149% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.854417 | train_acc=75.750000% | train_correct=85446 | train_total=112800 | val_loss=0.8946166 | val_acc=74.6914894% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.838621 | train_acc=76.164007% | train_correct=85913 | train_total=112800 | val_loss=0.8805525 | val_acc=74.9946809% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.823363 | train_acc=76.574468% | train_correct=86376 | train_total=112800 | val_loss=0.8643297 | val_acc=75.4680851% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.808515 | train_acc=76.980496% | train_correct=86834 | train_total=112800 | val_loss=0.8513356 | val_acc=75.9255319% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.794070 | train_acc=77.324468% | train_correct=87222 | train_total=112800 | val_loss=0.8375953 | val_acc=76.1489362% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.780594 | train_acc=77.751773% | train_correct=87704 | train_total=112800 | val_loss=0.8264897 | val_acc=76.4787234% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.767548 | train_acc=78.034574% | train_correct=88023 | train_total=112800 | val_loss=0.8136677 | val_acc=76.8670213% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.755173 | train_acc=78.349291% | train_correct=88378 | train_total=112800 | val_loss=0.8028532 | val_acc=77.1063830% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.743369 | train_acc=78.602837% | train_correct=88664 | train_total=112800 | val_loss=0.7916306 | val_acc=77.4202128% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.731628 | train_acc=78.896277% | train_correct=88995 | train_total=112800 | val_loss=0.7802745 | val_acc=77.6861702% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.720670 | train_acc=79.164894% | train_correct=89298 | train_total=112800 | val_loss=0.7714817 | val_acc=77.9946809% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.710178 | train_acc=79.401596% | train_correct=89565 | train_total=112800 | val_loss=0.7626615 | val_acc=77.8138298% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.700178 | train_acc=79.672872% | train_correct=89871 | train_total=112800 | val_loss=0.7512452 | val_acc=78.3989362% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.690492 | train_acc=79.900709% | train_correct=90128 | train_total=112800 | val_loss=0.7432588 | val_acc=78.6968085% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.681195 | train_acc=80.142730% | train_correct=90401 | train_total=112800 | val_loss=0.7349829 | val_acc=78.8244681% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.672216 | train_acc=80.342199% | train_correct=90626 | train_total=112800 | val_loss=0.7272334 | val_acc=78.8404255% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.663812 | train_acc=80.566489% | train_correct=90879 | train_total=112800 | val_loss=0.7200051 | val_acc=79.1276596% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.655182 | train_acc=80.808511% | train_correct=91152 | train_total=112800 | val_loss=0.7120740 | val_acc=79.4148936% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.647400 | train_acc=80.903369% | train_correct=91259 | train_total=112800 | val_loss=0.7043955 | val_acc=79.5053191% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.639670 | train_acc=81.158688% | train_correct=91547 | train_total=112800 | val_loss=0.6984451 | val_acc=79.6276596% | interpolacja=False | soft_intepolacja=False
