Using device: cuda, type: cuda
Model: MLP(hidden=1000, num_classes=62)
dataset=emnist_byclass | hidden=1000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_emnist_byclass_hidden1000.txt | cpu=None | model_name=MLP | use_cache=True
[Epoch 01] train_loss=1.588330 | train_acc=60.046824% | train_correct=419086 | train_total=697932 | val_loss=1.1517489 | val_acc=67.8154793% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.080210 | train_acc=69.555487% | train_correct=485450 | train_total=697932 | val_loss=1.0140027 | val_acc=71.3324106% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.974520 | train_acc=72.210903% | train_correct=503983 | train_total=697932 | val_loss=0.9265702 | val_acc=73.6045322% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.894288 | train_acc=74.251503% | train_correct=518225 | train_total=697932 | val_loss=0.8520623 | val_acc=75.3849196% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.828134 | train_acc=75.921866% | train_correct=529883 | train_total=697932 | val_loss=0.7944767 | val_acc=76.8661400% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.774789 | train_acc=77.207092% | train_correct=538853 | train_total=697932 | val_loss=0.7471535 | val_acc=78.0249822% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.731476 | train_acc=78.276680% | train_correct=546318 | train_total=697932 | val_loss=0.7096004 | val_acc=78.7935318% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.696186 | train_acc=79.072030% | train_correct=551869 | train_total=697932 | val_loss=0.6793679 | val_acc=79.5569234% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.667078 | train_acc=79.789578% | train_correct=556877 | train_total=697932 | val_loss=0.6551464 | val_acc=80.1045365% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.642578 | train_acc=80.330175% | train_correct=560650 | train_total=697932 | val_loss=0.6324194 | val_acc=80.6100255% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.622016 | train_acc=80.804290% | train_correct=563959 | train_total=697932 | val_loss=0.6134847 | val_acc=81.0433018% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.604363 | train_acc=81.192294% | train_correct=566667 | train_total=697932 | val_loss=0.5984899 | val_acc=81.3992074% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.588986 | train_acc=81.516394% | train_correct=568929 | train_total=697932 | val_loss=0.5853458 | val_acc=81.5728618% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.575551 | train_acc=81.828029% | train_correct=571104 | train_total=697932 | val_loss=0.5728246 | val_acc=81.8866432% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.563539 | train_acc=82.110578% | train_correct=573076 | train_total=697932 | val_loss=0.5621790 | val_acc=82.0645960% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.553145 | train_acc=82.333952% | train_correct=574635 | train_total=697932 | val_loss=0.5528737 | val_acc=82.3362534% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.543511 | train_acc=82.529387% | train_correct=575999 | train_total=697932 | val_loss=0.5451227 | val_acc=82.4050274% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.534976 | train_acc=82.744021% | train_correct=577497 | train_total=697932 | val_loss=0.5373477 | val_acc=82.6276833% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.527145 | train_acc=82.930715% | train_correct=578800 | train_total=697932 | val_loss=0.5305782 | val_acc=82.7394410% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.520049 | train_acc=83.086175% | train_correct=579885 | train_total=697932 | val_loss=0.5257101 | val_acc=82.8864455% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.513460 | train_acc=83.261407% | train_correct=581108 | train_total=697932 | val_loss=0.5186012 | val_acc=83.0970659% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.507549 | train_acc=83.382479% | train_correct=581953 | train_total=697932 | val_loss=0.5143499 | val_acc=83.1615416% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.501849 | train_acc=83.504410% | train_correct=582804 | train_total=697932 | val_loss=0.5110422 | val_acc=83.2328946% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.496692 | train_acc=83.628204% | train_correct=583668 | train_total=697932 | val_loss=0.5057472 | val_acc=83.2999493% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.491916 | train_acc=83.736954% | train_correct=584427 | train_total=697932 | val_loss=0.5015802 | val_acc=83.4650069% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.487390 | train_acc=83.852152% | train_correct=585231 | train_total=697932 | val_loss=0.4970400 | val_acc=83.5449567% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.483095 | train_acc=83.963767% | train_correct=586010 | train_total=697932 | val_loss=0.4933496 | val_acc=83.6816451% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.479000 | train_acc=84.030393% | train_correct=586475 | train_total=697932 | val_loss=0.4892714 | val_acc=83.7014176% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.475213 | train_acc=84.131262% | train_correct=587179 | train_total=697932 | val_loss=0.4859098 | val_acc=83.8080173% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.471777 | train_acc=84.196168% | train_correct=587632 | train_total=697932 | val_loss=0.4840968 | val_acc=83.8002803% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.468287 | train_acc=84.284142% | train_correct=588246 | train_total=697932 | val_loss=0.4830508 | val_acc=83.7908238% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.464959 | train_acc=84.369537% | train_correct=588842 | train_total=697932 | val_loss=0.4790732 | val_acc=83.9326702% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.461870 | train_acc=84.433011% | train_correct=589285 | train_total=697932 | val_loss=0.4762107 | val_acc=83.9687766% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.458953 | train_acc=84.520985% | train_correct=589899 | train_total=697932 | val_loss=0.4735189 | val_acc=84.0487264% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.456106 | train_acc=84.573855% | train_correct=590268 | train_total=697932 | val_loss=0.4713495 | val_acc=84.1166407% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.453530 | train_acc=84.645066% | train_correct=590765 | train_total=697932 | val_loss=0.4696746 | val_acc=84.1441503% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.450940 | train_acc=84.706103% | train_correct=591191 | train_total=697932 | val_loss=0.4673438 | val_acc=84.2155034% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.448394 | train_acc=84.790782% | train_correct=591782 | train_total=697932 | val_loss=0.4657205 | val_acc=84.2361356% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.445903 | train_acc=84.849813% | train_correct=592194 | train_total=697932 | val_loss=0.4634908 | val_acc=84.3023306% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.443768 | train_acc=84.874458% | train_correct=592366 | train_total=697932 | val_loss=0.4620856 | val_acc=84.3573498% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.441368 | train_acc=84.948247% | train_correct=592881 | train_total=697932 | val_loss=0.4610850 | val_acc=84.2662242% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.439322 | train_acc=84.998109% | train_correct=593229 | train_total=697932 | val_loss=0.4583781 | val_acc=84.3771223% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.437305 | train_acc=85.011434% | train_correct=593322 | train_total=697932 | val_loss=0.4579471 | val_acc=84.4063513% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.435231 | train_acc=85.106142% | train_correct=593983 | train_total=697932 | val_loss=0.4554773 | val_acc=84.4003336% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.433299 | train_acc=85.129354% | train_correct=594145 | train_total=697932 | val_loss=0.4544150 | val_acc=84.4974769% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.431324 | train_acc=85.193686% | train_correct=594594 | train_total=697932 | val_loss=0.4534192 | val_acc=84.5224074% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.429434 | train_acc=85.249566% | train_correct=594984 | train_total=697932 | val_loss=0.4550641 | val_acc=84.3728239% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.427619 | train_acc=85.294269% | train_correct=595296 | train_total=697932 | val_loss=0.4510752 | val_acc=84.5971992% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.425888 | train_acc=85.331379% | train_correct=595555 | train_total=697932 | val_loss=0.4488727 | val_acc=84.6952022% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.424242 | train_acc=85.375796% | train_correct=595865 | train_total=697932 | val_loss=0.4478953 | val_acc=84.6436216% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.422592 | train_acc=85.414482% | train_correct=596135 | train_total=697932 | val_loss=0.4477097 | val_acc=84.6633942% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.420870 | train_acc=85.462624% | train_correct=596471 | train_total=697932 | val_loss=0.4467794 | val_acc=84.6092346% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.419442 | train_acc=85.473943% | train_correct=596550 | train_total=697932 | val_loss=0.4450069 | val_acc=84.6625345% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.417920 | train_acc=85.529249% | train_correct=596936 | train_total=697932 | val_loss=0.4436127 | val_acc=84.8138373% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.416364 | train_acc=85.588424% | train_correct=597349 | train_total=697932 | val_loss=0.4432520 | val_acc=84.7794503% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.414899 | train_acc=85.610633% | train_correct=597504 | train_total=697932 | val_loss=0.4429912 | val_acc=84.6616748% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.413484 | train_acc=85.652470% | train_correct=597796 | train_total=697932 | val_loss=0.4411061 | val_acc=84.8740146% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.412104 | train_acc=85.692732% | train_correct=598077 | train_total=697932 | val_loss=0.4415078 | val_acc=84.8078196% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.410961 | train_acc=85.710786% | train_correct=598203 | train_total=697932 | val_loss=0.4388270 | val_acc=84.8662775% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.409432 | train_acc=85.779990% | train_correct=598686 | train_total=697932 | val_loss=0.4389470 | val_acc=84.9015242% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.408203 | train_acc=85.795894% | train_correct=598797 | train_total=697932 | val_loss=0.4377259 | val_acc=84.8662775% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.406940 | train_acc=85.835869% | train_correct=599076 | train_total=697932 | val_loss=0.4373574 | val_acc=84.8636985% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.405714 | train_acc=85.863666% | train_correct=599270 | train_total=697932 | val_loss=0.4361772 | val_acc=84.9161387% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.404548 | train_acc=85.871690% | train_correct=599326 | train_total=697932 | val_loss=0.4366863 | val_acc=84.7442036% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.403293 | train_acc=85.928285% | train_correct=599721 | train_total=697932 | val_loss=0.4369685 | val_acc=84.9015242% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.402124 | train_acc=85.957228% | train_correct=599923 | train_total=697932 | val_loss=0.4339111 | val_acc=85.0313352% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.400814 | train_acc=85.966541% | train_correct=599988 | train_total=697932 | val_loss=0.4336607 | val_acc=85.0055449% | interpolacja=False | soft_intepolacja=False
[Epoch 68] train_loss=0.399611 | train_acc=86.020701% | train_correct=600366 | train_total=697932 | val_loss=0.4327744 | val_acc=85.0476690% | interpolacja=False | soft_intepolacja=False
[Epoch 69] train_loss=0.398630 | train_acc=86.035029% | train_correct=600466 | train_total=697932 | val_loss=0.4308486 | val_acc=85.0433706% | interpolacja=False | soft_intepolacja=False
[Epoch 70] train_loss=0.397643 | train_acc=86.102514% | train_correct=600937 | train_total=697932 | val_loss=0.4322283 | val_acc=85.0683012% | interpolacja=False | soft_intepolacja=False
[Epoch 71] train_loss=0.396595 | train_acc=86.120997% | train_correct=601066 | train_total=697932 | val_loss=0.4301956 | val_acc=85.1181624% | interpolacja=False | soft_intepolacja=False
[Epoch 72] train_loss=0.395453 | train_acc=86.123433% | train_correct=601083 | train_total=697932 | val_loss=0.4316660 | val_acc=84.9376306% | interpolacja=False | soft_intepolacja=False
[Epoch 73] train_loss=0.394411 | train_acc=86.153379% | train_correct=601292 | train_total=697932 | val_loss=0.4325240 | val_acc=84.7966438% | interpolacja=False | soft_intepolacja=False
[Epoch 74] train_loss=0.393398 | train_acc=86.209975% | train_correct=601687 | train_total=697932 | val_loss=0.4280467 | val_acc=85.1078463% | interpolacja=False | soft_intepolacja=False
[Epoch 75] train_loss=0.392467 | train_acc=86.210261% | train_correct=601689 | train_total=697932 | val_loss=0.4294370 | val_acc=85.1534090% | interpolacja=False | soft_intepolacja=False
[Epoch 76] train_loss=0.391394 | train_acc=86.238058% | train_correct=601883 | train_total=697932 | val_loss=0.4284659 | val_acc=85.1258994% | interpolacja=False | soft_intepolacja=False
[Epoch 77] train_loss=0.390459 | train_acc=86.274451% | train_correct=602137 | train_total=697932 | val_loss=0.4280895 | val_acc=85.0863544% | interpolacja=False | soft_intepolacja=False
[Epoch 78] train_loss=0.389582 | train_acc=86.283907% | train_correct=602203 | train_total=697932 | val_loss=0.4271015 | val_acc=85.1276188% | interpolacja=False | soft_intepolacja=False
[Epoch 79] train_loss=0.388595 | train_acc=86.298379% | train_correct=602304 | train_total=697932 | val_loss=0.4257016 | val_acc=85.1869364% | interpolacja=False | soft_intepolacja=False
[Epoch 80] train_loss=0.387735 | train_acc=86.330473% | train_correct=602528 | train_total=697932 | val_loss=0.4259103 | val_acc=85.1886557% | interpolacja=False | soft_intepolacja=False
[Epoch 81] train_loss=0.386643 | train_acc=86.353542% | train_correct=602689 | train_total=697932 | val_loss=0.4252641 | val_acc=85.1362155% | interpolacja=False | soft_intepolacja=False
[Epoch 82] train_loss=0.385740 | train_acc=86.400681% | train_correct=603018 | train_total=697932 | val_loss=0.4250119 | val_acc=85.1774799% | interpolacja=False | soft_intepolacja=False
[Epoch 83] train_loss=0.384853 | train_acc=86.395093% | train_correct=602979 | train_total=697932 | val_loss=0.4234949 | val_acc=85.2840797% | interpolacja=False | soft_intepolacja=False
[Epoch 84] train_loss=0.384131 | train_acc=86.427044% | train_correct=603202 | train_total=697932 | val_loss=0.4253078 | val_acc=85.0657222% | interpolacja=False | soft_intepolacja=False
[Epoch 85] train_loss=0.383230 | train_acc=86.476906% | train_correct=603550 | train_total=697932 | val_loss=0.4236262 | val_acc=85.2471136% | interpolacja=False | soft_intepolacja=False
[Epoch 86] train_loss=0.382213 | train_acc=86.493670% | train_correct=603667 | train_total=697932 | val_loss=0.4239968 | val_acc=85.1981122% | interpolacja=False | soft_intepolacja=False
[Epoch 87] train_loss=0.381449 | train_acc=86.516881% | train_correct=603829 | train_total=697932 | val_loss=0.4270694 | val_acc=84.7622568% | interpolacja=False | soft_intepolacja=False
