Using device: cuda, type: cuda
Model: MLP(hidden=150, num_classes=10)
dataset=fashion | hidden=150 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp_fashion_hidden150.txt | cpu=None | model_name=MLP
[Epoch 01] train_loss=1.320256 | train_acc=62.723333% | train_correct=37634 | train_total=60000 | val_loss=0.8358558 | val_acc=72.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.725236 | train_acc=75.546667% | train_correct=45328 | train_total=60000 | val_loss=0.6780570 | val_acc=76.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.626590 | train_acc=78.175000% | train_correct=46905 | train_total=60000 | val_loss=0.6173908 | val_acc=77.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.577228 | train_acc=79.811667% | train_correct=47887 | train_total=60000 | val_loss=0.5816747 | val_acc=79.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.545094 | train_acc=81.050000% | train_correct=48630 | train_total=60000 | val_loss=0.5563926 | val_acc=80.2300000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.522168 | train_acc=81.786667% | train_correct=49072 | train_total=60000 | val_loss=0.5377697 | val_acc=80.8800000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.504838 | train_acc=82.455000% | train_correct=49473 | train_total=60000 | val_loss=0.5232367 | val_acc=81.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.490842 | train_acc=82.835000% | train_correct=49701 | train_total=60000 | val_loss=0.5137041 | val_acc=81.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.479663 | train_acc=83.246667% | train_correct=49948 | train_total=60000 | val_loss=0.5036827 | val_acc=82.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.469979 | train_acc=83.548333% | train_correct=50129 | train_total=60000 | val_loss=0.4955384 | val_acc=82.1900000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.461298 | train_acc=83.871667% | train_correct=50323 | train_total=60000 | val_loss=0.4875879 | val_acc=82.6400000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.453966 | train_acc=84.073333% | train_correct=50444 | train_total=60000 | val_loss=0.4817084 | val_acc=82.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.447222 | train_acc=84.298333% | train_correct=50579 | train_total=60000 | val_loss=0.4753551 | val_acc=82.9700000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.441563 | train_acc=84.483333% | train_correct=50690 | train_total=60000 | val_loss=0.4710780 | val_acc=83.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.435662 | train_acc=84.720000% | train_correct=50832 | train_total=60000 | val_loss=0.4662326 | val_acc=83.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.430807 | train_acc=84.925000% | train_correct=50955 | train_total=60000 | val_loss=0.4617323 | val_acc=83.4500000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.426129 | train_acc=85.001667% | train_correct=51001 | train_total=60000 | val_loss=0.4581043 | val_acc=83.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.421846 | train_acc=85.101667% | train_correct=51061 | train_total=60000 | val_loss=0.4545607 | val_acc=83.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.417607 | train_acc=85.353333% | train_correct=51212 | train_total=60000 | val_loss=0.4511913 | val_acc=83.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.413676 | train_acc=85.445000% | train_correct=51267 | train_total=60000 | val_loss=0.4481329 | val_acc=83.7300000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.410400 | train_acc=85.605000% | train_correct=51363 | train_total=60000 | val_loss=0.4451396 | val_acc=84.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.407140 | train_acc=85.661667% | train_correct=51397 | train_total=60000 | val_loss=0.4415338 | val_acc=84.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.403384 | train_acc=85.745000% | train_correct=51447 | train_total=60000 | val_loss=0.4390630 | val_acc=84.3800000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.400200 | train_acc=85.965000% | train_correct=51579 | train_total=60000 | val_loss=0.4356865 | val_acc=84.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.397395 | train_acc=86.048333% | train_correct=51629 | train_total=60000 | val_loss=0.4343413 | val_acc=84.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.394522 | train_acc=86.130000% | train_correct=51678 | train_total=60000 | val_loss=0.4313799 | val_acc=84.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.391947 | train_acc=86.228333% | train_correct=51737 | train_total=60000 | val_loss=0.4290686 | val_acc=84.6600000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.389219 | train_acc=86.241667% | train_correct=51745 | train_total=60000 | val_loss=0.4275347 | val_acc=84.6600000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.386565 | train_acc=86.371667% | train_correct=51823 | train_total=60000 | val_loss=0.4250510 | val_acc=84.7100000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.384147 | train_acc=86.428333% | train_correct=51857 | train_total=60000 | val_loss=0.4246037 | val_acc=84.7100000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.381704 | train_acc=86.461667% | train_correct=51877 | train_total=60000 | val_loss=0.4211975 | val_acc=84.8800000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.379384 | train_acc=86.620000% | train_correct=51972 | train_total=60000 | val_loss=0.4208054 | val_acc=85.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.377291 | train_acc=86.716667% | train_correct=52030 | train_total=60000 | val_loss=0.4172027 | val_acc=85.0000000% | interpolacja=False | soft_intepolacja=False
