Using device: cuda, type: cuda
Model: MLP(hidden=300, num_classes=47)
dataset=emnist_balanced | hidden=300 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_emnist_balanced_hidden_300.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=3.665812 | train_acc=18.446809% | train_correct=20808 | train_total=112800 | val_loss=3.2753554 | val_acc=33.6702128% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=2.540232 | train_acc=43.417553% | train_correct=48975 | train_total=112800 | val_loss=1.9502683 | val_acc=51.1702128% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.698355 | train_acc=55.063830% | train_correct=62112 | train_total=112800 | val_loss=1.5433406 | val_acc=57.7234043% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.451432 | train_acc=59.567376% | train_correct=67192 | train_total=112800 | val_loss=1.3968046 | val_acc=61.0053191% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.341851 | train_acc=62.284574% | train_correct=70257 | train_total=112800 | val_loss=1.3163173 | val_acc=62.7712766% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=1.274296 | train_acc=63.999113% | train_correct=72191 | train_total=112800 | val_loss=1.2657694 | val_acc=64.0159574% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=1.224032 | train_acc=65.398050% | train_correct=73769 | train_total=112800 | val_loss=1.2211476 | val_acc=65.2553191% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=1.181856 | train_acc=66.499113% | train_correct=75011 | train_total=112800 | val_loss=1.1840533 | val_acc=66.0478723% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=1.143387 | train_acc=67.546986% | train_correct=76193 | train_total=112800 | val_loss=1.1512969 | val_acc=67.2021277% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=1.107950 | train_acc=68.413121% | train_correct=77170 | train_total=112800 | val_loss=1.1177429 | val_acc=67.8989362% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=1.074905 | train_acc=69.236702% | train_correct=78099 | train_total=112800 | val_loss=1.0875512 | val_acc=68.8989362% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=1.041882 | train_acc=70.191489% | train_correct=79176 | train_total=112800 | val_loss=1.0563155 | val_acc=69.5478723% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=1.011053 | train_acc=70.921986% | train_correct=80000 | train_total=112800 | val_loss=1.0258272 | val_acc=70.4148936% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.980515 | train_acc=71.742908% | train_correct=80926 | train_total=112800 | val_loss=1.0006685 | val_acc=70.8191489% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.951447 | train_acc=72.507092% | train_correct=81788 | train_total=112800 | val_loss=0.9740307 | val_acc=71.8138298% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.923971 | train_acc=73.234929% | train_correct=82609 | train_total=112800 | val_loss=0.9444431 | val_acc=72.6489362% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.897540 | train_acc=73.914007% | train_correct=83375 | train_total=112800 | val_loss=0.9213953 | val_acc=73.1702128% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.872653 | train_acc=74.581560% | train_correct=84128 | train_total=112800 | val_loss=0.8980042 | val_acc=74.0319149% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.848591 | train_acc=75.257979% | train_correct=84891 | train_total=112800 | val_loss=0.8762087 | val_acc=74.6223404% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.827012 | train_acc=75.790780% | train_correct=85492 | train_total=112800 | val_loss=0.8562473 | val_acc=75.2021277% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.806225 | train_acc=76.277482% | train_correct=86041 | train_total=112800 | val_loss=0.8379148 | val_acc=75.5851064% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.786342 | train_acc=76.852837% | train_correct=86690 | train_total=112800 | val_loss=0.8214040 | val_acc=76.0425532% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.768530 | train_acc=77.295213% | train_correct=87189 | train_total=112800 | val_loss=0.8022513 | val_acc=76.4414894% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.751496 | train_acc=77.707447% | train_correct=87654 | train_total=112800 | val_loss=0.7892879 | val_acc=76.8031915% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.736142 | train_acc=78.120567% | train_correct=88120 | train_total=112800 | val_loss=0.7734801 | val_acc=77.2340426% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.721336 | train_acc=78.446809% | train_correct=88488 | train_total=112800 | val_loss=0.7622233 | val_acc=77.5425532% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.707253 | train_acc=78.882979% | train_correct=88980 | train_total=112800 | val_loss=0.7507443 | val_acc=77.9414894% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.694414 | train_acc=79.185284% | train_correct=89321 | train_total=112800 | val_loss=0.7367599 | val_acc=78.0212766% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.682180 | train_acc=79.458333% | train_correct=89629 | train_total=112800 | val_loss=0.7256823 | val_acc=78.3510638% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.670287 | train_acc=79.687057% | train_correct=89887 | train_total=112800 | val_loss=0.7149897 | val_acc=78.6223404% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.659237 | train_acc=80.092199% | train_correct=90344 | train_total=112800 | val_loss=0.7083148 | val_acc=78.7393617% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.648612 | train_acc=80.340426% | train_correct=90624 | train_total=112800 | val_loss=0.6959242 | val_acc=79.0744681% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.639131 | train_acc=80.565603% | train_correct=90878 | train_total=112800 | val_loss=0.6881235 | val_acc=79.4893617% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.629633 | train_acc=80.859043% | train_correct=91209 | train_total=112800 | val_loss=0.6796778 | val_acc=79.5851064% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.620769 | train_acc=81.101950% | train_correct=91483 | train_total=112800 | val_loss=0.6736198 | val_acc=79.6329787% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.612054 | train_acc=81.200355% | train_correct=91594 | train_total=112800 | val_loss=0.6634213 | val_acc=79.9202128% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.604039 | train_acc=81.446809% | train_correct=91872 | train_total=112800 | val_loss=0.6623352 | val_acc=79.8776596% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.596614 | train_acc=81.581560% | train_correct=92024 | train_total=112800 | val_loss=0.6526432 | val_acc=80.3138298% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.588871 | train_acc=81.857270% | train_correct=92335 | train_total=112800 | val_loss=0.6443382 | val_acc=80.4414894% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.581931 | train_acc=81.977837% | train_correct=92471 | train_total=112800 | val_loss=0.6391094 | val_acc=80.5531915% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.574779 | train_acc=82.176418% | train_correct=92695 | train_total=112800 | val_loss=0.6325974 | val_acc=80.7340426% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.567989 | train_acc=82.412234% | train_correct=92961 | train_total=112800 | val_loss=0.6261616 | val_acc=80.8882979% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.561545 | train_acc=82.539007% | train_correct=93104 | train_total=112800 | val_loss=0.6232307 | val_acc=80.8351064% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.555271 | train_acc=82.663121% | train_correct=93244 | train_total=112800 | val_loss=0.6190840 | val_acc=80.9787234% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.549611 | train_acc=82.812057% | train_correct=93412 | train_total=112800 | val_loss=0.6116694 | val_acc=81.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.543845 | train_acc=83.016844% | train_correct=93643 | train_total=112800 | val_loss=0.6088201 | val_acc=81.0691489% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.538244 | train_acc=83.148936% | train_correct=93792 | train_total=112800 | val_loss=0.6022295 | val_acc=81.3138298% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.532700 | train_acc=83.263298% | train_correct=93921 | train_total=112800 | val_loss=0.5978063 | val_acc=81.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.527848 | train_acc=83.444149% | train_correct=94125 | train_total=112800 | val_loss=0.5951243 | val_acc=81.3723404% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.522917 | train_acc=83.562943% | train_correct=94259 | train_total=112800 | val_loss=0.5891559 | val_acc=81.7021277% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.517882 | train_acc=83.624113% | train_correct=94328 | train_total=112800 | val_loss=0.5868776 | val_acc=81.5691489% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.513393 | train_acc=83.703901% | train_correct=94418 | train_total=112800 | val_loss=0.5825555 | val_acc=81.8085106% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.508553 | train_acc=83.921986% | train_correct=94664 | train_total=112800 | val_loss=0.5801759 | val_acc=81.7234043% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.504167 | train_acc=84.047872% | train_correct=94806 | train_total=112800 | val_loss=0.5774677 | val_acc=81.8510638% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.500202 | train_acc=84.130319% | train_correct=94899 | train_total=112800 | val_loss=0.5717359 | val_acc=82.0585106% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.495233 | train_acc=84.234043% | train_correct=95016 | train_total=112800 | val_loss=0.5689507 | val_acc=82.1755319% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.491349 | train_acc=84.367908% | train_correct=95167 | train_total=112800 | val_loss=0.5665493 | val_acc=82.2393617% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.487267 | train_acc=84.517730% | train_correct=95336 | train_total=112800 | val_loss=0.5614358 | val_acc=82.1861702% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.483440 | train_acc=84.534574% | train_correct=95355 | train_total=112800 | val_loss=0.5595780 | val_acc=82.3776596% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.479882 | train_acc=84.668440% | train_correct=95506 | train_total=112800 | val_loss=0.5569968 | val_acc=82.4148936% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.475819 | train_acc=84.817376% | train_correct=95674 | train_total=112800 | val_loss=0.5539463 | val_acc=82.5212766% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.472287 | train_acc=84.823582% | train_correct=95681 | train_total=112800 | val_loss=0.5494925 | val_acc=82.6808511% | interpolacja=False | soft_intepolacja=False
