Using device: cuda, type: cuda
Model: MLP(hidden=20, num_classes=62)
dataset=emnist_byclass | hidden=20 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_emnist_byclass_hidden_20.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=2.089424 | train_acc=47.801075% | train_correct=333619 | train_total=697932 | val_loss=1.3863226 | val_acc=61.3533007% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.268649 | train_acc=64.341512% | train_correct=449060 | train_total=697932 | val_loss=1.1771470 | val_acc=66.6403033% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.132594 | train_acc=67.663182% | train_correct=472243 | train_total=697932 | val_loss=1.0839598 | val_acc=69.0009714% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.052088 | train_acc=69.611080% | train_correct=485838 | train_total=697932 | val_loss=1.0118792 | val_acc=70.7478315% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.989847 | train_acc=71.184012% | train_correct=496816 | train_total=697932 | val_loss=0.9579662 | val_acc=72.1035393% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.941378 | train_acc=72.455339% | train_correct=505689 | train_total=697932 | val_loss=0.9173344 | val_acc=73.0620771% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.903585 | train_acc=73.427497% | train_correct=512474 | train_total=697932 | val_loss=0.8845007 | val_acc=73.8624348% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.873823 | train_acc=74.142037% | train_correct=517461 | train_total=697932 | val_loss=0.8553068 | val_acc=74.6292651% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.849666 | train_acc=74.732782% | train_correct=521584 | train_total=697932 | val_loss=0.8341317 | val_acc=75.1467895% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.829228 | train_acc=75.200593% | train_correct=524849 | train_total=697932 | val_loss=0.8174667 | val_acc=75.5929610% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.811979 | train_acc=75.638744% | train_correct=527907 | train_total=697932 | val_loss=0.7999945 | val_acc=75.8190556% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.796966 | train_acc=75.981614% | train_correct=530300 | train_total=697932 | val_loss=0.7872132 | val_acc=76.1526095% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.783886 | train_acc=76.299983% | train_correct=532522 | train_total=697932 | val_loss=0.7740653 | val_acc=76.5205505% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.772798 | train_acc=76.550724% | train_correct=534272 | train_total=697932 | val_loss=0.7626726 | val_acc=76.7707160% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.762524 | train_acc=76.804474% | train_correct=536043 | train_total=697932 | val_loss=0.7538913 | val_acc=77.0380750% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.754408 | train_acc=76.955348% | train_correct=537096 | train_total=697932 | val_loss=0.7445375 | val_acc=77.2478358% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.746431 | train_acc=77.202793% | train_correct=538823 | train_total=697932 | val_loss=0.7368940 | val_acc=77.3656113% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.739653 | train_acc=77.341919% | train_correct=539794 | train_total=697932 | val_loss=0.7312447 | val_acc=77.5727930% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.733274 | train_acc=77.493223% | train_correct=540850 | train_total=697932 | val_loss=0.7274080 | val_acc=77.6415670% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.727988 | train_acc=77.603262% | train_correct=541618 | train_total=697932 | val_loss=0.7255310 | val_acc=77.5427044% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.722846 | train_acc=77.741814% | train_correct=542585 | train_total=697932 | val_loss=0.7166120 | val_acc=77.8986099% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.718446 | train_acc=77.823341% | train_correct=543154 | train_total=697932 | val_loss=0.7146474 | val_acc=77.9948935% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.714114 | train_acc=77.933237% | train_correct=543921 | train_total=697932 | val_loss=0.7097829 | val_acc=78.0636675% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.710233 | train_acc=78.034966% | train_correct=544631 | train_total=697932 | val_loss=0.7096349 | val_acc=78.0241225% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.706648 | train_acc=78.098726% | train_correct=545076 | train_total=697932 | val_loss=0.7061071 | val_acc=78.0731240% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.703361 | train_acc=78.169936% | train_correct=545573 | train_total=697932 | val_loss=0.7008684 | val_acc=78.2416203% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.700247 | train_acc=78.235702% | train_correct=546032 | train_total=697932 | val_loss=0.6993420 | val_acc=78.3232895% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.697093 | train_acc=78.304620% | train_correct=546513 | train_total=697932 | val_loss=0.6930636 | val_acc=78.4591181% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.694227 | train_acc=78.389299% | train_correct=547104 | train_total=697932 | val_loss=0.6907465 | val_acc=78.5124180% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.691969 | train_acc=78.437441% | train_correct=547440 | train_total=697932 | val_loss=0.6904857 | val_acc=78.5184357% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.689503 | train_acc=78.496472% | train_correct=547852 | train_total=697932 | val_loss=0.6887747 | val_acc=78.4677149% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.687082 | train_acc=78.580005% | train_correct=548435 | train_total=697932 | val_loss=0.6870289 | val_acc=78.5064003% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.684722 | train_acc=78.624995% | train_correct=548749 | train_total=697932 | val_loss=0.6853860 | val_acc=78.5399276% | interpolacja=False | soft_intepolacja=False
