Using device: cuda, type: cuda
Model: MLP(hidden=10000, num_classes=10)
dataset=fashion | hidden=10000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_fashion_hidden_10000.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=0.932423 | train_acc=71.531667% | train_correct=42919 | train_total=60000 | val_loss=0.6414106 | val_acc=77.7700000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.568808 | train_acc=80.428333% | train_correct=48257 | train_total=60000 | val_loss=0.5485845 | val_acc=80.7100000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.503491 | train_acc=82.436667% | train_correct=49462 | train_total=60000 | val_loss=0.5080236 | val_acc=81.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.468759 | train_acc=83.705000% | train_correct=50223 | train_total=60000 | val_loss=0.4825398 | val_acc=82.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.444825 | train_acc=84.396667% | train_correct=50638 | train_total=60000 | val_loss=0.4685636 | val_acc=83.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.428852 | train_acc=85.005000% | train_correct=51003 | train_total=60000 | val_loss=0.4577451 | val_acc=83.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.414481 | train_acc=85.470000% | train_correct=51282 | train_total=60000 | val_loss=0.4430814 | val_acc=83.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.403485 | train_acc=85.778333% | train_correct=51467 | train_total=60000 | val_loss=0.4325043 | val_acc=84.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.393350 | train_acc=86.183333% | train_correct=51710 | train_total=60000 | val_loss=0.4233140 | val_acc=84.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.383775 | train_acc=86.488333% | train_correct=51893 | train_total=60000 | val_loss=0.4170676 | val_acc=84.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.376261 | train_acc=86.718333% | train_correct=52031 | train_total=60000 | val_loss=0.4204822 | val_acc=85.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.370403 | train_acc=86.845000% | train_correct=52107 | train_total=60000 | val_loss=0.4089418 | val_acc=85.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.362908 | train_acc=87.230000% | train_correct=52338 | train_total=60000 | val_loss=0.4045828 | val_acc=85.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.358065 | train_acc=87.371667% | train_correct=52423 | train_total=60000 | val_loss=0.3982996 | val_acc=85.8300000% | interpolacja=False | soft_intepolacja=False
