Using device: cuda, type: cuda
Model: MLP(hidden=750, num_classes=10)
dataset=mnist | hidden=750 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_mnist_hidden_750.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=1.736156 | train_acc=58.326667% | train_correct=34996 | train_total=60000 | val_loss=0.9831979 | val_acc=81.1800000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.699174 | train_acc=84.128333% | train_correct=50477 | train_total=60000 | val_loss=0.5129088 | val_acc=87.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.471294 | train_acc=87.548333% | train_correct=52529 | train_total=60000 | val_loss=0.4072692 | val_acc=89.0400000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.400571 | train_acc=88.816667% | train_correct=53290 | train_total=60000 | val_loss=0.3619145 | val_acc=89.7800000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.365399 | train_acc=89.623333% | train_correct=53774 | train_total=60000 | val_loss=0.3357450 | val_acc=90.3000000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.342121 | train_acc=90.158333% | train_correct=54095 | train_total=60000 | val_loss=0.3167019 | val_acc=90.8600000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.325445 | train_acc=90.590000% | train_correct=54354 | train_total=60000 | val_loss=0.3058063 | val_acc=91.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.312664 | train_acc=90.953333% | train_correct=54572 | train_total=60000 | val_loss=0.2943951 | val_acc=91.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.301746 | train_acc=91.273333% | train_correct=54764 | train_total=60000 | val_loss=0.2871052 | val_acc=91.7200000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.292229 | train_acc=91.548333% | train_correct=54929 | train_total=60000 | val_loss=0.2746000 | val_acc=92.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.282858 | train_acc=91.881667% | train_correct=55129 | train_total=60000 | val_loss=0.2694522 | val_acc=92.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.275387 | train_acc=92.026667% | train_correct=55216 | train_total=60000 | val_loss=0.2631832 | val_acc=92.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.267349 | train_acc=92.288333% | train_correct=55373 | train_total=60000 | val_loss=0.2560776 | val_acc=92.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.260738 | train_acc=92.448333% | train_correct=55469 | train_total=60000 | val_loss=0.2494988 | val_acc=92.8300000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.254084 | train_acc=92.680000% | train_correct=55608 | train_total=60000 | val_loss=0.2462720 | val_acc=92.8600000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.247741 | train_acc=92.838333% | train_correct=55703 | train_total=60000 | val_loss=0.2394387 | val_acc=93.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.241001 | train_acc=93.078333% | train_correct=55847 | train_total=60000 | val_loss=0.2325648 | val_acc=93.2900000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.235114 | train_acc=93.250000% | train_correct=55950 | train_total=60000 | val_loss=0.2273267 | val_acc=93.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.229079 | train_acc=93.451667% | train_correct=56071 | train_total=60000 | val_loss=0.2218269 | val_acc=93.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.223685 | train_acc=93.598333% | train_correct=56159 | train_total=60000 | val_loss=0.2175203 | val_acc=93.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.217611 | train_acc=93.776667% | train_correct=56266 | train_total=60000 | val_loss=0.2131007 | val_acc=93.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.212805 | train_acc=93.928333% | train_correct=56357 | train_total=60000 | val_loss=0.2100823 | val_acc=94.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.207390 | train_acc=94.080000% | train_correct=56448 | train_total=60000 | val_loss=0.2043180 | val_acc=94.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.202258 | train_acc=94.223333% | train_correct=56534 | train_total=60000 | val_loss=0.1979413 | val_acc=94.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.197754 | train_acc=94.416667% | train_correct=56650 | train_total=60000 | val_loss=0.1944491 | val_acc=94.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.192798 | train_acc=94.480000% | train_correct=56688 | train_total=60000 | val_loss=0.1893043 | val_acc=94.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.188366 | train_acc=94.625000% | train_correct=56775 | train_total=60000 | val_loss=0.1868495 | val_acc=94.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.184260 | train_acc=94.746667% | train_correct=56848 | train_total=60000 | val_loss=0.1824534 | val_acc=94.5400000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.179874 | train_acc=94.890000% | train_correct=56934 | train_total=60000 | val_loss=0.1787199 | val_acc=94.7800000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.175648 | train_acc=95.065000% | train_correct=57039 | train_total=60000 | val_loss=0.1741878 | val_acc=94.9100000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.171800 | train_acc=95.118333% | train_correct=57071 | train_total=60000 | val_loss=0.1723616 | val_acc=94.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.168331 | train_acc=95.180000% | train_correct=57108 | train_total=60000 | val_loss=0.1674976 | val_acc=95.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.164303 | train_acc=95.360000% | train_correct=57216 | train_total=60000 | val_loss=0.1637791 | val_acc=95.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.160955 | train_acc=95.380000% | train_correct=57228 | train_total=60000 | val_loss=0.1610241 | val_acc=95.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.157685 | train_acc=95.476667% | train_correct=57286 | train_total=60000 | val_loss=0.1593122 | val_acc=95.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.154105 | train_acc=95.593333% | train_correct=57356 | train_total=60000 | val_loss=0.1556286 | val_acc=95.4600000% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.151193 | train_acc=95.730000% | train_correct=57438 | train_total=60000 | val_loss=0.1553248 | val_acc=95.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.148311 | train_acc=95.793333% | train_correct=57476 | train_total=60000 | val_loss=0.1523101 | val_acc=95.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.144914 | train_acc=95.895000% | train_correct=57537 | train_total=60000 | val_loss=0.1495818 | val_acc=95.6300000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.142114 | train_acc=95.961667% | train_correct=57577 | train_total=60000 | val_loss=0.1460770 | val_acc=95.7300000% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.139306 | train_acc=96.025000% | train_correct=57615 | train_total=60000 | val_loss=0.1433235 | val_acc=95.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.136426 | train_acc=96.140000% | train_correct=57684 | train_total=60000 | val_loss=0.1420908 | val_acc=95.8800000% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.133855 | train_acc=96.221667% | train_correct=57733 | train_total=60000 | val_loss=0.1381081 | val_acc=96.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.131358 | train_acc=96.283333% | train_correct=57770 | train_total=60000 | val_loss=0.1379573 | val_acc=96.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.128734 | train_acc=96.383333% | train_correct=57830 | train_total=60000 | val_loss=0.1343267 | val_acc=96.1300000% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.126423 | train_acc=96.446667% | train_correct=57868 | train_total=60000 | val_loss=0.1331752 | val_acc=96.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.124524 | train_acc=96.468333% | train_correct=57881 | train_total=60000 | val_loss=0.1315431 | val_acc=96.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.121859 | train_acc=96.563333% | train_correct=57938 | train_total=60000 | val_loss=0.1294862 | val_acc=96.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.119199 | train_acc=96.678333% | train_correct=58007 | train_total=60000 | val_loss=0.1281247 | val_acc=96.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.117123 | train_acc=96.690000% | train_correct=58014 | train_total=60000 | val_loss=0.1264681 | val_acc=96.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.115111 | train_acc=96.801667% | train_correct=58081 | train_total=60000 | val_loss=0.1261271 | val_acc=96.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.113157 | train_acc=96.843333% | train_correct=58106 | train_total=60000 | val_loss=0.1219550 | val_acc=96.5500000% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.111123 | train_acc=96.915000% | train_correct=58149 | train_total=60000 | val_loss=0.1209121 | val_acc=96.4100000% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.109301 | train_acc=96.920000% | train_correct=58152 | train_total=60000 | val_loss=0.1197543 | val_acc=96.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.107482 | train_acc=96.945000% | train_correct=58167 | train_total=60000 | val_loss=0.1182315 | val_acc=96.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.105343 | train_acc=97.088333% | train_correct=58253 | train_total=60000 | val_loss=0.1184589 | val_acc=96.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.103581 | train_acc=97.120000% | train_correct=58272 | train_total=60000 | val_loss=0.1159447 | val_acc=96.6600000% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.101757 | train_acc=97.145000% | train_correct=58287 | train_total=60000 | val_loss=0.1153575 | val_acc=96.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.100013 | train_acc=97.233333% | train_correct=58340 | train_total=60000 | val_loss=0.1136786 | val_acc=96.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.098347 | train_acc=97.276667% | train_correct=58366 | train_total=60000 | val_loss=0.1118107 | val_acc=96.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.096817 | train_acc=97.283333% | train_correct=58370 | train_total=60000 | val_loss=0.1114058 | val_acc=96.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.095484 | train_acc=97.355000% | train_correct=58413 | train_total=60000 | val_loss=0.1105068 | val_acc=96.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.093714 | train_acc=97.405000% | train_correct=58443 | train_total=60000 | val_loss=0.1076658 | val_acc=96.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.091946 | train_acc=97.445000% | train_correct=58467 | train_total=60000 | val_loss=0.1076911 | val_acc=96.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.090521 | train_acc=97.496667% | train_correct=58498 | train_total=60000 | val_loss=0.1059483 | val_acc=96.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.089131 | train_acc=97.528333% | train_correct=58517 | train_total=60000 | val_loss=0.1051549 | val_acc=96.9500000% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.087925 | train_acc=97.518333% | train_correct=58511 | train_total=60000 | val_loss=0.1035792 | val_acc=96.9700000% | interpolacja=False | soft_intepolacja=False
