Using device: cuda, type: cuda
Model: Net(num_classes=47)
dataset=emnist_balanced | RFF | n_features=10000 | sigma=5.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_emnist_balanced_hidden_10000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=2.988008 | train_acc=30.567376% | train_correct=34480 | train_total=112800 | val_loss=2.4348709 | val_acc=45.7765957% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.946418 | train_acc=58.536348% | train_correct=66029 | train_total=112800 | val_loss=2.0497388 | val_acc=53.0904255% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.522398 | train_acc=68.129433% | train_correct=76850 | train_total=112800 | val_loss=1.8789224 | val_acc=56.1436170% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.269508 | train_acc=73.967199% | train_correct=83435 | train_total=112800 | val_loss=1.7905084 | val_acc=57.2021277% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.095690 | train_acc=77.897163% | train_correct=87868 | train_total=112800 | val_loss=1.7385267 | val_acc=57.8670213% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.966688 | train_acc=80.995567% | train_correct=91363 | train_total=112800 | val_loss=1.7105073 | val_acc=57.7393617% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.865823 | train_acc=83.296099% | train_correct=93958 | train_total=112800 | val_loss=1.6946660 | val_acc=57.8510638% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.784516 | train_acc=85.343972% | train_correct=96268 | train_total=112800 | val_loss=1.6878145 | val_acc=57.6010638% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.717033 | train_acc=87.000000% | train_correct=98136 | train_total=112800 | val_loss=1.6872165 | val_acc=57.2446809% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.659894 | train_acc=88.474291% | train_correct=99799 | train_total=112800 | val_loss=1.6886445 | val_acc=57.1542553% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.611152 | train_acc=89.609043% | train_correct=101079 | train_total=112800 | val_loss=1.6958597 | val_acc=56.8031915% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.568555 | train_acc=90.720745% | train_correct=102333 | train_total=112800 | val_loss=1.7025636 | val_acc=56.6542553% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.531017 | train_acc=91.650709% | train_correct=103382 | train_total=112800 | val_loss=1.7113245 | val_acc=56.4202128% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.497879 | train_acc=92.510638% | train_correct=104352 | train_total=112800 | val_loss=1.7224218 | val_acc=56.1382979% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.468323 | train_acc=93.318262% | train_correct=105263 | train_total=112800 | val_loss=1.7344005 | val_acc=55.8989362% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.441785 | train_acc=94.030142% | train_correct=106066 | train_total=112800 | val_loss=1.7453334 | val_acc=55.7393617% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.417754 | train_acc=94.659574% | train_correct=106776 | train_total=112800 | val_loss=1.7578874 | val_acc=55.5319149% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.396218 | train_acc=95.156028% | train_correct=107336 | train_total=112800 | val_loss=1.7701820 | val_acc=55.1382979% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.376398 | train_acc=95.659574% | train_correct=107904 | train_total=112800 | val_loss=1.7830633 | val_acc=54.9946809% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.358246 | train_acc=96.084220% | train_correct=108383 | train_total=112800 | val_loss=1.7945176 | val_acc=54.8457447% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.341661 | train_acc=96.433511% | train_correct=108777 | train_total=112800 | val_loss=1.8073590 | val_acc=54.6648936% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.326428 | train_acc=96.804965% | train_correct=109196 | train_total=112800 | val_loss=1.8201788 | val_acc=54.5957447% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.312333 | train_acc=97.103723% | train_correct=109533 | train_total=112800 | val_loss=1.8319416 | val_acc=54.4521277% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.299140 | train_acc=97.414894% | train_correct=109884 | train_total=112800 | val_loss=1.8448657 | val_acc=54.2925532% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.287192 | train_acc=97.621454% | train_correct=110117 | train_total=112800 | val_loss=1.8569217 | val_acc=54.1861702% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.275958 | train_acc=97.820922% | train_correct=110342 | train_total=112800 | val_loss=1.8685631 | val_acc=54.1063830% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.265500 | train_acc=97.987589% | train_correct=110530 | train_total=112800 | val_loss=1.8811470 | val_acc=54.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.255792 | train_acc=98.153369% | train_correct=110717 | train_total=112800 | val_loss=1.8925638 | val_acc=53.9095745% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.246728 | train_acc=98.297872% | train_correct=110880 | train_total=112800 | val_loss=1.9035778 | val_acc=53.8085106% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.238168 | train_acc=98.445922% | train_correct=111047 | train_total=112800 | val_loss=1.9158596 | val_acc=53.6861702% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.230187 | train_acc=98.543440% | train_correct=111157 | train_total=112800 | val_loss=1.9275794 | val_acc=53.5957447% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.222668 | train_acc=98.655142% | train_correct=111283 | train_total=112800 | val_loss=1.9378998 | val_acc=53.4787234% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.215720 | train_acc=98.719858% | train_correct=111356 | train_total=112800 | val_loss=1.9489271 | val_acc=53.4893617% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.209118 | train_acc=98.780142% | train_correct=111424 | train_total=112800 | val_loss=1.9589001 | val_acc=53.4468085% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.202812 | train_acc=98.836879% | train_correct=111488 | train_total=112800 | val_loss=1.9698720 | val_acc=53.2819149% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.197018 | train_acc=98.898050% | train_correct=111557 | train_total=112800 | val_loss=1.9796937 | val_acc=53.2446809% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.191406 | train_acc=98.968085% | train_correct=111636 | train_total=112800 | val_loss=1.9903152 | val_acc=53.1808511% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.186158 | train_acc=98.993794% | train_correct=111665 | train_total=112800 | val_loss=2.0002512 | val_acc=53.1117021% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.181180 | train_acc=99.038121% | train_correct=111715 | train_total=112800 | val_loss=2.0100667 | val_acc=53.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.176432 | train_acc=99.101950% | train_correct=111787 | train_total=112800 | val_loss=2.0192852 | val_acc=52.9734043% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.171894 | train_acc=99.138298% | train_correct=111828 | train_total=112800 | val_loss=2.0291737 | val_acc=52.8723404% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.167583 | train_acc=99.200355% | train_correct=111898 | train_total=112800 | val_loss=2.0380846 | val_acc=52.8031915% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.163503 | train_acc=99.199468% | train_correct=111897 | train_total=112800 | val_loss=2.0471945 | val_acc=52.8617021% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.159712 | train_acc=99.194149% | train_correct=111891 | train_total=112800 | val_loss=2.0554817 | val_acc=52.7659574% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.156055 | train_acc=99.223404% | train_correct=111924 | train_total=112800 | val_loss=2.0645297 | val_acc=52.7287234% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.152400 | train_acc=99.257092% | train_correct=111962 | train_total=112800 | val_loss=2.0738072 | val_acc=52.6914894% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.149215 | train_acc=99.253546% | train_correct=111958 | train_total=112800 | val_loss=2.0817225 | val_acc=52.6489362% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.145934 | train_acc=99.283688% | train_correct=111992 | train_total=112800 | val_loss=2.0902424 | val_acc=52.5638298% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.142895 | train_acc=99.294326% | train_correct=112004 | train_total=112800 | val_loss=2.0992199 | val_acc=52.5797872% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.139944 | train_acc=99.288121% | train_correct=111997 | train_total=112800 | val_loss=2.1071623 | val_acc=52.4468085% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.137042 | train_acc=99.306738% | train_correct=112018 | train_total=112800 | val_loss=2.1149136 | val_acc=52.5000000% | interpolacja=False | soft_intepolacja=False
