Using device: cuda, type: cuda
Model: Net(num_classes=47)
dataset=emnist_balanced | RFF(real-2N) | n_features(N)=40000 | output_feats=2N=80000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_emnist_balanced_hidden_40000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=0.823698 | train_acc=76.069149% | train_correct=85806 | train_total=112800 | val_loss=0.6014966 | val_acc=81.7606383% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.400628 | train_acc=87.855496% | train_correct=99101 | train_total=112800 | val_loss=0.5423917 | val_acc=83.1010638% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.289937 | train_acc=91.385638% | train_correct=103083 | train_total=112800 | val_loss=0.5130043 | val_acc=83.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.229642 | train_acc=93.362589% | train_correct=105313 | train_total=112800 | val_loss=0.5052142 | val_acc=83.8563830% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.188926 | train_acc=94.756206% | train_correct=106885 | train_total=112800 | val_loss=0.4917384 | val_acc=84.4468085% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.162732 | train_acc=95.574468% | train_correct=107808 | train_total=112800 | val_loss=0.4884135 | val_acc=84.6063830% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.145591 | train_acc=96.057624% | train_correct=108353 | train_total=112800 | val_loss=0.4919576 | val_acc=84.4680851% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.130352 | train_acc=96.525709% | train_correct=108881 | train_total=112800 | val_loss=0.4855929 | val_acc=84.7180851% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.118795 | train_acc=96.851950% | train_correct=109249 | train_total=112800 | val_loss=0.4926263 | val_acc=84.6489362% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.109310 | train_acc=97.046986% | train_correct=109469 | train_total=112800 | val_loss=0.4879154 | val_acc=84.6329787% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.104881 | train_acc=97.208333% | train_correct=109651 | train_total=112800 | val_loss=0.4905567 | val_acc=84.6436170% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.097310 | train_acc=97.385638% | train_correct=109851 | train_total=112800 | val_loss=0.5015360 | val_acc=84.4680851% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.095279 | train_acc=97.484929% | train_correct=109963 | train_total=112800 | val_loss=0.4919921 | val_acc=84.9840426% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.089229 | train_acc=97.603723% | train_correct=110097 | train_total=112800 | val_loss=0.4953382 | val_acc=84.6489362% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.084317 | train_acc=97.703014% | train_correct=110209 | train_total=112800 | val_loss=0.5058956 | val_acc=84.3510638% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.081805 | train_acc=97.796099% | train_correct=110314 | train_total=112800 | val_loss=0.5012118 | val_acc=84.5957447% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.079344 | train_acc=97.826241% | train_correct=110348 | train_total=112800 | val_loss=0.5209149 | val_acc=84.2872340% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.077944 | train_acc=97.849291% | train_correct=110374 | train_total=112800 | val_loss=0.5061411 | val_acc=84.7446809% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.075285 | train_acc=97.913121% | train_correct=110446 | train_total=112800 | val_loss=0.5029408 | val_acc=84.5319149% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.072189 | train_acc=98.004433% | train_correct=110549 | train_total=112800 | val_loss=0.5035157 | val_acc=84.8297872% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.070199 | train_acc=98.031915% | train_correct=110580 | train_total=112800 | val_loss=0.5092019 | val_acc=84.7659574% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.069388 | train_acc=98.000887% | train_correct=110545 | train_total=112800 | val_loss=0.5083138 | val_acc=84.8617021% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.066460 | train_acc=98.101950% | train_correct=110659 | train_total=112800 | val_loss=0.5131629 | val_acc=84.4574468% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.065149 | train_acc=98.130319% | train_correct=110691 | train_total=112800 | val_loss=0.5123765 | val_acc=84.7659574% | interpolacja=False | soft_intepolacja=False
