Using device: cuda, type: cuda
Model: Net(num_classes=62)
dataset=emnist_byclass | RFF(real-2N) | n_features(N)=2000 | output_feats=2N=4000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_emnist_byclass_hidden_2000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=1.044496 | train_acc=72.597760% | train_correct=506683 | train_total=697932 | val_loss=0.7600168 | val_acc=78.1513544% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.698845 | train_acc=79.455162% | train_correct=554543 | train_total=697932 | val_loss=0.6630016 | val_acc=80.0211480% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.626168 | train_acc=81.064774% | train_correct=565777 | train_total=697932 | val_loss=0.6178663 | val_acc=81.1077775% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.585548 | train_acc=81.966581% | train_correct=572071 | train_total=697932 | val_loss=0.5914732 | val_acc=81.6132665% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.558212 | train_acc=82.569505% | train_correct=576279 | train_total=697932 | val_loss=0.5743842 | val_acc=81.9150125% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.537884 | train_acc=83.051644% | train_correct=579644 | train_total=697932 | val_loss=0.5607814 | val_acc=82.1952666% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.521775 | train_acc=83.434489% | train_correct=582316 | train_total=697932 | val_loss=0.5504110 | val_acc=82.4213612% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.508606 | train_acc=83.716322% | train_correct=584283 | train_total=697932 | val_loss=0.5436305 | val_acc=82.5322593% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.497578 | train_acc=83.994286% | train_correct=586223 | train_total=697932 | val_loss=0.5376088 | val_acc=82.5941559% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.487946 | train_acc=84.224967% | train_correct=587833 | train_total=697932 | val_loss=0.5326649 | val_acc=82.6294026% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.479717 | train_acc=84.435876% | train_correct=589305 | train_total=697932 | val_loss=0.5270278 | val_acc=82.8073554% | interpolacja=False | soft_intepolacja=False
