Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=fashion | RFF(real-2N) | n_features(N)=2000 | output_feats=2N=4000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_fashion_hidden_2000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=0.661505 | train_acc=77.741667% | train_correct=46645 | train_total=60000 | val_loss=0.4939768 | val_acc=82.7200000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.431442 | train_acc=85.206667% | train_correct=51124 | train_total=60000 | val_loss=0.4404375 | val_acc=84.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.388343 | train_acc=86.563333% | train_correct=51938 | train_total=60000 | val_loss=0.4164143 | val_acc=85.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.362723 | train_acc=87.426667% | train_correct=52456 | train_total=60000 | val_loss=0.4004662 | val_acc=85.9700000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.344560 | train_acc=88.020000% | train_correct=52812 | train_total=60000 | val_loss=0.3905509 | val_acc=86.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.330853 | train_acc=88.491667% | train_correct=53095 | train_total=60000 | val_loss=0.3830694 | val_acc=86.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.319574 | train_acc=88.935000% | train_correct=53361 | train_total=60000 | val_loss=0.3761669 | val_acc=86.7100000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.310089 | train_acc=89.190000% | train_correct=53514 | train_total=60000 | val_loss=0.3694935 | val_acc=86.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.301690 | train_acc=89.515000% | train_correct=53709 | train_total=60000 | val_loss=0.3656894 | val_acc=86.9400000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.293980 | train_acc=89.860000% | train_correct=53916 | train_total=60000 | val_loss=0.3613308 | val_acc=87.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.287483 | train_acc=90.058333% | train_correct=54035 | train_total=60000 | val_loss=0.3584756 | val_acc=87.4700000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.281739 | train_acc=90.185000% | train_correct=54111 | train_total=60000 | val_loss=0.3575919 | val_acc=87.4100000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.276319 | train_acc=90.420000% | train_correct=54252 | train_total=60000 | val_loss=0.3541498 | val_acc=87.5500000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.271321 | train_acc=90.635000% | train_correct=54381 | train_total=60000 | val_loss=0.3509605 | val_acc=87.6400000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.266859 | train_acc=90.780000% | train_correct=54468 | train_total=60000 | val_loss=0.3492553 | val_acc=87.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.262401 | train_acc=90.983333% | train_correct=54590 | train_total=60000 | val_loss=0.3478462 | val_acc=87.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.258280 | train_acc=91.133333% | train_correct=54680 | train_total=60000 | val_loss=0.3475857 | val_acc=87.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.254654 | train_acc=91.220000% | train_correct=54732 | train_total=60000 | val_loss=0.3446747 | val_acc=87.8100000% | interpolacja=False | soft_intepolacja=False
